Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.005698,7.643391,[61 27] ; [30  2],[66.73333333 21.26666667] ; [24.26666667  7.73333333],0
p7,1,0.006215,7.486885,[24 63] ; [17 14],[30.22881356 56.77118644] ; [10.77118644 20.22881356],0
d2,1,0.006221,7.485126,[39 47] ; [ 6 27],[32.5210084 53.4789916] ; [12.4789916 20.5210084],0
a3,1,0.006837,7.315271,[53 34] ; [11 22],[46.4 40.6] ; [17.6 15.4],0
p2,1,0.010784,6.500602,[43 45] ; [24  8],[49.13333333 38.86666667] ; [17.86666667 14.13333333],0
b1,1,0.010896,6.482143,[38 50] ; [ 6 27],[32. 56.] ; [12. 21.],0
r3,1,0.013184,6.144201,[60 27] ; [30  3],[65.25 21.75] ; [24.75  8.25],0
n6,1,0.01833,5.564376,[55 33] ; [28  5],[60.36363636 27.63636364] ; [22.63636364 10.36363636],0
p11,1,0.025724,4.974502,[47 41] ; [25  8],[52.36363636 35.63636364] ; [19.63636364 13.36363636],0
s1,1,0.030467,4.682737,[ 1 86] ; [ 3 30],[ 2.9 84.1] ; [ 1.1 31.9],0
p10,1,0.057061,3.620806,[47 39] ; [23  8],[51.45299145 34.54700855] ; [18.54700855 12.45299145],0
r4,1,0.08751,2.919586,[38 50] ; [20 13],[42.18181818 45.81818182] ; [15.81818182 17.18181818],0
p6,1,0.132848,2.258906,[12 74] ; [ 8 23],[14.7008547 71.2991453] ; [ 5.2991453 25.7008547],0
s2,1,0.155412,2.018314,[23 65] ; [13 20],[26.18181818 61.81818182] ; [ 9.81818182 23.18181818],0
p9,1,0.172706,1.859294,[54 28] ; [26  7],[57.04347826 24.95652174] ; [22.95652174 10.04347826],0
a4,1,0.195498,1.675691,[26 61] ; [ 6 27],[23.2 63.8] ; [ 8.8 24.2],0
v3,1,0.222425,1.48866,[20 66] ; [11 21],[22.59322034 63.40677966] ; [ 8.40677966 23.59322034],0
r2,1,0.228772,1.448477,[62 22] ; [27  5],[64.44827586 19.55172414] ; [24.55172414  7.44827586],0
d1,1,0.249546,1.325842,[31 57] ; [ 8 25],[28.36363636 59.63636364] ; [10.63636364 22.36363636],0
a1,1,0.25782,1.280423,[ 8 80] ; [ 1 32],[ 6.54545455 81.45454545] ; [ 2.45454545 30.54545455],0
p3,1,0.284732,1.144366,[16 71] ; [ 9 24],[18.125 68.875] ; [ 6.875 26.125],0
s8,1,0.289839,1.12037,[14 74] ; [ 8 25],[16. 72.] ; [ 6. 27.],0
n5,1,0.302004,1.065326,[57 31] ; [18 15],[54.54545455 33.45454545] ; [20.45454545 12.54545455],0
n3,1,0.373934,0.790548,[22 16] ; [8 3],[23.26530612 14.73469388] ; [6.73469388 4.26530612],0
a7,1,0.402327,0.701361,[48 39] ; [21 12],[50.025 36.975] ; [18.975 14.025],0
a8,1,0.411134,0.675519,[ 7 79] ; [ 1 27],[ 6.03508772 79.96491228] ; [ 1.96491228 26.03508772],0
a5,1,0.412278,0.672222,[42 46] ; [13 20],[40. 48.] ; [15. 18.],0
b3,1,0.417657,0.656899,[21 31] ; [ 5 12],[19.5942029 32.4057971] ; [ 6.4057971 10.5942029],0
b2,1,0.417657,0.656899,[21 31] ; [ 5 12],[19.5942029 32.4057971] ; [ 6.4057971 10.5942029],0
s5,1,0.440478,0.595036,[16 68] ; [ 4 27],[14.60869565 69.39130435] ; [ 5.39130435 25.60869565],0
n1,1,0.449238,0.572573,[11 26] ; [2 9],[10.02083333 26.97916667] ; [2.97916667 8.02083333],0
d4,1,0.465693,0.532176,[57 31] ; [19 14],[55.27272727 32.72727273] ; [20.72727273 12.27272727],0
u4,1,0.466781,0.529587,[ 1 87] ; [ 1 32],[ 1.45454545 86.54545455] ; [ 0.54545455 32.45454545],0
s7,1,0.514221,0.425469,[19 66] ; [ 9 23],[20.34188034 64.65811966] ; [ 7.65811966 24.34188034],0
p1,1,0.532504,0.38961,[10 78] ; [ 5 27],[11. 77.] ; [ 4. 28.],0
d3,1,0.624751,0.239246,[40 46] ; [17 16],[41.19327731 44.80672269] ; [15.80672269 17.19327731],0
n2,1,0.665664,0.186716,[25 13] ; [8 3],[25.59183673 12.40816327] ; [7.40816327 3.59183673],0
d5,1,0.702591,0.145791,[56 31] ; [20 13],[55.1 31.9] ; [20.9 12.1],0
u2,1,0.718728,0.129715,[14 20] ; [ 8 14],[13.35714286 20.64285714] ; [ 8.64285714 13.35714286],0
s6,1,0.755601,0.096885,[34 54] ; [11 20],[33.27731092 54.72268908] ; [11.72268908 19.27731092],0
a6,1,0.765907,0.088645,[48 40] ; [17 16],[47.27272727 40.72727273] ; [17.72727273 15.27272727],0
s3,1,0.784606,0.074705,[34 53] ; [12 21],[33.35 53.65] ; [12.65 20.35],0
p12,1,0.791439,0.06993,[ 2 86] ; [ 1 31],[ 2.2 85.8] ; [ 0.8 31.2],0
b5,1,0.818585,0.052609,[54 34] ; [21 12],[54.54545455 33.45454545] ; [20.45454545 12.54545455],0
a2,1,0.852246,0.03469,[ 9 79] ; [ 3 30],[ 8.72727273 79.27272727] ; [ 3.27272727 29.72727273],0
v1,1,0.862565,0.029967,[25 59] ; [ 9 23],[24.62068966 59.37931034] ; [ 9.37931034 22.62068966],0
n4,1,0.88018,0.022723,[52 36] ; [19 14],[51.63636364 36.36363636] ; [19.36363636 13.63636364],0
b4,1,0.88018,0.022723,[52 36] ; [19 14],[51.63636364 36.36363636] ; [19.36363636 13.63636364],0
u1,1,0.936647,0.006318,[ 5 83] ; [ 2 31],[ 5.09090909 82.90909091] ; [ 1.90909091 31.09090909],0
v2,1,0.957438,0.002848,[27 58] ; [10 22],[26.88034188 58.11965812] ; [10.11965812 21.88034188],0
s4,1,0.963964,0.002041,[19 69] ; [ 7 26],[18.90909091 69.09090909] ; [ 7.09090909 25.90909091],0
u3,1,0.975424,0.000949,[11 24] ; [ 7 15],[11.05263158 23.94736842] ; [ 6.94736842 15.05263158],0
