Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.490909,[75 21] ; [ 2 14],[66. 30.] ; [11.  5.],1
r2,1,0.004154,8.215278,[86 10] ; [10  6],[82.28571429 13.71428571] ; [13.71428571  2.28571429],0
s3,1,0.005213,7.803871,[48 48] ; [ 2 14],[42.85714286 53.14285714] ; [7.14285714 8.85714286],0
p11,1,0.011805,6.339856,[62 34] ; [ 5 11],[57.42857143 38.57142857] ; [9.57142857 6.42857143],0
n6,1,0.012982,6.171609,[61 34] ; [ 5 11],[56.48648649 38.51351351] ; [9.51351351 6.48648649],0
a6,1,0.013421,6.112781,[50 46] ; [ 3 13],[45.42857143 50.57142857] ; [7.57142857 8.42857143],0
s2,1,0.025675,4.977778,[40 56] ; [ 2 14],[36. 60.] ; [ 6. 10.],0
s6,1,0.029905,4.714766,[45 49] ; [ 3 13],[41.01818182 52.98181818] ; [6.98181818 9.01818182],0
a7,1,0.03556,4.418092,[67 28] ; [7 9],[63.33333333 31.66666667] ; [10.66666667  5.33333333],0
v4,1,0.050491,3.825083,[86  8] ; [12  4],[83.74545455 10.25454545] ; [14.25454545  1.74545455],0
b1,1,0.051974,3.776607,[30 66] ; [9 7],[33.42857143 62.57142857] ; [ 5.57142857 10.42857143],0
r1,1,0.072199,3.232297,[59 37] ; [ 6 10],[55.71428571 40.28571429] ; [9.28571429 6.71428571],0
s1,1,0.092739,2.826168,[ 3 93] ; [ 2 14],[ 4.28571429 91.71428571] ; [ 0.71428571 15.28571429],0
v2,1,0.156681,2.005975,[34 58] ; [ 3 13],[31.51851852 60.48148148] ; [ 5.48148148 10.51851852],0
p1,1,0.17492,1.840263,[ 4 91] ; [ 2 14],[ 5.13513514 89.86486486] ; [ 0.86486486 15.13513514],0
d5,1,0.193687,1.68935,[58 37] ; [7 9],[55.63063063 39.36936937] ; [9.36936937 6.63063063],0
n3,1,0.224044,1.478281,[22  9] ; [5 5],[20.41463415 10.58536585] ; [6.58536585 3.41463415],0
p4,1,0.234286,1.414652,[32 63] ; [ 3 13],[29.95495495 65.04504505] ; [ 5.04504505 10.95495495],0
p6,1,0.256697,1.286484,[24 70] ; [ 2 14],[22.21818182 71.78181818] ; [ 3.78181818 12.21818182],0
u3,1,0.280408,1.165113,[36 25] ; [7 2],[37.47142857 23.52857143] ; [5.52857143 3.47142857],0
p3,1,0.308178,1.038467,[23 73] ; [ 2 14],[21.42857143 74.57142857] ; [ 3.57142857 12.42857143],0
d3,1,0.3082,1.038373,[54 40] ; [7 9],[52.12727273 41.87272727] ; [8.87272727 7.12727273],0
s5,1,0.319868,0.989486,[22 71] ; [ 2 14],[20.47706422 72.52293578] ; [ 3.52293578 12.47706422],0
p7,1,0.333042,0.937033,[43 49] ; [ 5 10],[41.27102804 50.72897196] ; [6.72897196 8.27102804],0
p5,1,0.344241,0.894572,[ 2 93] ; [ 1 15],[ 2.56756757 92.43243243] ; [ 0.43243243 15.56756757],0
v1,1,0.34685,0.88495,[24 68] ; [ 6 10],[25.55555556 66.44444444] ; [ 4.44444444 11.55555556],0
d1,1,0.347575,0.882292,[29 67] ; [ 3 13],[27.42857143 68.57142857] ; [ 4.57142857 11.42857143],0
a4,1,0.364866,0.821077,[14 82] ; [ 1 15],[12.85714286 83.14285714] ; [ 2.14285714 13.85714286],0
p9,1,0.386103,0.751179,[62 30] ; [9 7],[60.48148148 31.51851852] ; [10.51851852  5.48148148],0
d2,1,0.390096,0.738642,[21 75] ; [ 2 14],[19.71428571 76.28571429] ; [ 3.28571429 12.71428571],0
p2,1,0.407842,0.685084,[69 26] ; [10  6],[67.61261261 27.38738739] ; [11.38738739  4.61261261],0
b5,1,0.521768,0.410397,[62 34] ; [9 7],[60.85714286 35.14285714] ; [10.14285714  5.85714286],0
b3,1,0.540965,0.373754,[ 8 35] ; [2 5],[ 8.6 34.4] ; [1.4 5.6],0
b2,1,0.540965,0.373754,[ 8 35] ; [2 5],[ 8.6 34.4] ; [1.4 5.6],0
a3,1,0.541625,0.372536,[34 61] ; [7 9],[35.09009009 59.90990991] ; [ 5.90990991 10.09009009],0
s8,1,0.588425,0.29281,[24 72] ; [ 3 13],[23.14285714 72.85714286] ; [ 3.85714286 12.14285714],0
s7,1,0.614771,0.253285,[24 68] ; [ 3 12],[23.21495327 68.78504673] ; [ 3.78504673 11.21495327],0
d4,1,0.639743,0.219079,[65 30] ; [10  6],[64.18918919 30.81081081] ; [10.81081081  5.18918919],0
s4,1,0.647784,0.208706,[23 73] ; [ 3 13],[22.28571429 73.71428571] ; [ 3.71428571 12.28571429],0
n5,1,0.702337,0.146053,[31 64] ; [ 6 10],[31.66666667 63.33333333] ; [ 5.33333333 10.66666667],0
n1,1,0.710046,0.138231,[ 8 23] ; [2 8],[ 7.56097561 23.43902439] ; [2.43902439 7.56097561],0
p8,1,0.766018,0.088558,[32 63] ; [ 6 10],[32.52252252 62.47747748] ; [ 5.47747748 10.52252252],0
p10,1,0.790681,0.070451,[55 37] ; [9 7],[54.51851852 37.48148148] ; [9.48148148 6.51851852],0
b4,1,0.813391,0.055721,[57 39] ; [10  6],[57.42857143 38.57142857] ; [9.57142857 6.42857143],0
u2,1,0.874905,0.024784,[35 25] ; [5 4],[34.7826087 25.2173913] ; [5.2173913 3.7826087],0
v3,1,0.892002,0.018434,[18 71] ; [ 3 13],[17.8 71.2] ; [ 3.2 12.8],0
n2,1,1.0,0.0,[18 12] ; [6 4],[18. 12.] ; [6. 4.],0
