Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.002502,9.139181,[14  3] ; [45 60],[8.22131148 8.77868852] ; [50.77868852 54.22131148],0
s6,1,0.013979,6.040776,[11  7] ; [33 73],[ 6.38709677 11.61290323] ; [37.61290323 68.38709677],0
p1,1,0.031179,4.643064,[ 4 14] ; [ 7 99],[ 1.59677419 16.40322581] ; [ 9.40322581 96.59677419],0
n1,1,0.034437,4.472882,[4 2] ; [10 31],[1.78723404 4.21276596] ; [12.21276596 28.78723404],0
d1,1,0.062404,3.472322,[11  7] ; [40 66],[ 7.40322581 10.59677419] ; [43.59677419 62.40322581],0
n2,1,0.079539,3.074307,[6 1] ; [20 20],[3.87234043 3.12765957] ; [22.12765957 17.87234043],0
b3,1,0.098807,2.724702,[ 1 10] ; [21 41],[3.31506849 7.68493151] ; [18.68493151 43.31506849],0
b2,1,0.098807,2.724702,[ 1 10] ; [21 41],[3.31506849 7.68493151] ; [18.68493151 43.31506849],0
r1,1,0.104485,2.635714,[15  3] ; [67 38],[12.  6.] ; [70. 35.],0
d4,1,0.158494,1.988534,[14  3] ; [69 37],[11.47154472  5.52845528] ; [71.52845528 34.47154472],0
u3,1,0.188108,1.732378,[2 6] ; [25 25],[3.72413793 4.27586207] ; [23.27586207 26.72413793],0
d5,1,0.20342,1.617648,[14  4] ; [66 40],[11.61290323  6.38709677] ; [68.38709677 37.61290323],0
u1,1,0.208334,1.582963,[ 3 15] ; [ 8 98],[ 1.59677419 16.40322581] ; [ 9.40322581 96.59677419],0
a5,1,0.244703,1.353293,[12  6] ; [55 51],[9.72580645 8.27419355] ; [57.27419355 48.72580645],0
n5,1,0.260807,1.264468,[12  6] ; [55 50],[9.80487805 8.19512195] ; [57.19512195 47.80487805],0
n3,1,0.27031,1.215171,[6 2] ; [21 18],[4.59574468 3.40425532] ; [22.40425532 16.59574468],0
v3,1,0.276588,1.183778,[ 6 12] ; [22 80],[ 4.2 13.8] ; [23.8 78.2],0
a4,1,0.34459,0.89328,[ 7 11] ; [29 75],[ 5.31147541 12.68852459] ; [30.68852459 73.31147541],0
p4,1,0.348701,0.878179,[8 9] ; [37 68],[ 6.2704918 10.7295082] ; [38.7295082 66.2704918],0
p5,1,0.35355,0.860675,[ 1 17] ; [  2 103],[ 0.43902439 17.56097561] ; [  2.56097561 102.43902439],0
v2,1,0.379559,0.77213,[8 9] ; [37 66],[ 6.375 10.625] ; [38.625 64.375],0
d3,1,0.383126,0.760648,[11  7] ; [53 53],[9.29032258 8.70967742] ; [54.70967742 51.29032258],0
a8,1,0.398604,0.712533,[ 2 15] ; [ 6 92],[ 1.1826087 15.8173913] ; [ 6.8173913 91.1826087],0
r2,1,0.399226,0.710656,[16  2] ; [83 20],[14.72727273  3.27272727] ; [84.27272727 18.72727273],0
p10,1,0.457095,0.552998,[ 4 13] ; [17 88],[ 2.92622951 14.07377049] ; [18.07377049 86.92622951],0
r4,1,0.459872,0.546207,[13  5] ; [67 39],[11.61290323  6.38709677] ; [68.38709677 37.61290323],0
s8,1,0.460386,0.544957,[ 1 17] ; [12 94],[ 1.88709677 16.11290323] ; [11.11290323 94.88709677],0
u2,1,0.472352,0.516469,[2 5] ; [21 28],[2.875 4.125] ; [20.125 28.875],0
p3,1,0.477018,0.505674,[ 4 14] ; [32 73],[ 5.26829268 12.73170732] ; [30.73170732 74.26829268],0
n4,1,0.493941,0.46793,[12  6] ; [61 44],[10.68292683  7.31707317] ; [62.31707317 42.68292683],0
