Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.001454,10.136646,[ 4 13] ; [24 10],[9.33333333 7.66666667] ; [18.66666667 15.33333333],0
s4,1,0.006476,7.412791,[ 6 11] ; [ 2 32],[ 2.66666667 14.33333333] ; [ 5.33333333 28.66666667],0
p7,1,0.01729,5.666667,[13  4] ; [14 20],[9. 8.] ; [18. 16.],0
s5,1,0.019409,5.464286,[ 6 11] ; [ 3 31],[ 3. 14.] ; [ 6. 28.],0
s7,1,0.030318,4.691142,[7 7] ; [ 6 26],[ 3.95652174 10.04347826] ; [ 9.04347826 22.95652174],0
u3,1,0.031482,4.626471,[6 4] ; [ 3 13],[3.46153846 6.53846154] ; [ 5.53846154 10.46153846],0
n1,1,0.035496,4.421154,[3 1] ; [ 3 12],[1.26315789 2.73684211] ; [ 4.73684211 10.26315789],0
p6,1,0.035656,4.413462,[ 7 10] ; [ 5 29],[ 4. 13.] ; [ 8. 26.],0
d3,1,0.047628,3.923077,[ 5 12] ; [20 14],[8.33333333 8.66666667] ; [16.66666667 17.33333333],0
p5,1,0.05667,3.632267,[ 5 12] ; [ 3 31],[ 2.66666667 14.33333333] ; [ 5.33333333 28.66666667],0
a7,1,0.074203,3.1875,[ 6 11] ; [21 13],[9. 8.] ; [18. 16.],0
p8,1,0.074203,3.1875,[11  6] ; [13 21],[8. 9.] ; [16. 18.],0
s3,1,0.101343,2.684282,[8 9] ; [ 8 25],[ 5.44 11.56] ; [10.56 22.44],0
d5,1,0.104713,2.632258,[13  4] ; [18 16],[10.33333333  6.66666667] ; [20.66666667 13.33333333],0
b5,1,0.109738,2.557994,[ 7 10] ; [22 12],[9.66666667 7.33333333] ; [19.33333333 14.66666667],0
v4,1,0.135244,2.23125,[14  3] ; [21 13],[11.66666667  5.33333333] ; [23.33333333 10.66666667],0
v3,1,0.255958,1.290486,[ 6 11] ; [ 7 27],[ 4.33333333 12.66666667] ; [ 8.66666667 25.33333333],0
p2,1,0.267272,1.230695,[14  3] ; [23 11],[12.33333333  4.66666667] ; [24.66666667  9.33333333],0
n4,1,0.310576,1.028226,[12  5] ; [19 15],[10.33333333  6.66666667] ; [20.66666667 13.33333333],0
n5,1,0.310576,1.028226,[12  5] ; [19 15],[10.33333333  6.66666667] ; [20.66666667 13.33333333],0
s2,1,0.318092,0.996776,[ 7 10] ; [ 9 24],[ 5.44 11.56] ; [10.56 22.44],0
r4,1,0.417244,0.658065,[8 9] ; [12 22],[ 6.66666667 10.33333333] ; [13.33333333 20.66666667],0
a3,1,0.428203,0.627692,[ 7 10] ; [18 16],[8.33333333 8.66666667] ; [16.66666667 17.33333333],0
s6,1,0.428203,0.627692,[10  7] ; [16 18],[8.66666667 8.33333333] ; [17.33333333 16.66666667],0
b3,1,0.446576,0.579329,[4 8] ; [ 4 15],[3.09677419 8.90322581] ; [ 4.90322581 14.09677419],0
b2,1,0.446576,0.579329,[4 8] ; [ 4 15],[3.09677419 8.90322581] ; [ 4.90322581 14.09677419],0
p12,1,0.461377,0.542553,[ 2 15] ; [ 2 32],[ 1.33333333 15.66666667] ; [ 2.66666667 31.33333333],0
v2,1,0.525309,0.403457,[ 6 10] ; [16 18],[7.04 8.96] ; [14.96 19.04],0
b1,1,0.551764,0.354167,[10  7] ; [17 17],[9. 8.] ; [18. 16.],0
p1,1,0.60998,0.260204,[ 1 16] ; [ 1 33],[ 0.66666667 16.33333333] ; [ 1.33333333 32.66666667],0
d1,1,0.657226,0.196911,[ 4 13] ; [10 24],[ 4.66666667 12.33333333] ; [ 9.33333333 24.66666667],0
d4,1,0.669538,0.182143,[11  6] ; [24 10],[11.66666667  5.33333333] ; [23.33333333 10.66666667],0
a6,1,0.689272,0.159875,[8 9] ; [14 20],[7.33333333 9.66666667] ; [14.66666667 19.33333333],0
a5,1,0.692005,0.156923,[8 9] ; [18 16],[8.66666667 8.33333333] ; [17.33333333 16.66666667],0
p9,1,0.693023,0.155833,[12  5] ; [25  8],[12.58  4.42] ; [24.42  8.58],0
a1,1,0.712656,0.135638,[ 1 16] ; [ 3 31],[ 1.33333333 15.66666667] ; [ 2.66666667 31.33333333],0
n6,1,0.778253,0.079296,[12  5] ; [22 11],[11.56  5.44] ; [22.44 10.56],0
p11,1,0.809759,0.057955,[13  4] ; [27  7],[13.33333333  3.66666667] ; [26.66666667  7.33333333],0
a4,1,0.809759,0.057955,[ 4 13] ; [ 7 27],[ 3.66666667 13.33333333] ; [ 7.33333333 26.66666667],0
d2,1,0.831022,0.045536,[ 5 12] ; [11 23],[ 5.33333333 11.66666667] ; [10.66666667 23.33333333],0
s8,1,0.833635,0.044118,[ 6 11] ; [11 23],[ 5.66666667 11.33333333] ; [11.33333333 22.66666667],0
v1,1,0.833635,0.044118,[ 6 11] ; [11 23],[ 5.66666667 11.33333333] ; [11.33333333 22.66666667],0
r1,1,0.837733,0.041941,[ 6 11] ; [13 21],[ 6.33333333 10.66666667] ; [12.66666667 21.33333333],0
a8,1,0.892637,0.018216,[ 3 14] ; [ 5 26],[ 2.83333333 14.16666667] ; [ 5.16666667 25.83333333],0
u2,1,0.898564,0.01625,[6 4] ; [10  6],[6.15384615 3.84615385] ; [9.84615385 6.15384615],0
n3,1,0.946375,0.004524,[3 1] ; [11  4],[2.94736842 1.05263158] ; [11.05263158  3.94736842],0
p10,1,0.948057,0.004244,[12  5] ; [23 10],[11.9  5.1] ; [23.1  9.9],0
s1,1,1.0,0.0,[ 1 16] ; [ 2 32],[ 1. 16.] ; [ 2. 32.],0
