Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.086161,[12  6] ; [11 64],[ 4.4516129 13.5483871] ; [18.5483871 56.4516129],1
v2,1,7.1e-05,15.777219,[12  5] ; [15 56],[ 5.21590909 11.78409091] ; [21.78409091 49.21590909],1
r4,1,0.009763,6.677562,[17  1] ; [48 28],[12.44680851  5.55319149] ; [52.55319149 23.44680851],0
p8,1,0.020315,5.384604,[9 9] ; [17 58],[ 5.03225806 12.96774194] ; [20.96774194 54.03225806],0
s5,1,0.024741,5.041896,[ 6 10] ; [10 63],[ 2.87640449 13.12359551] ; [13.12359551 59.87640449],0
r1,1,0.028389,4.804272,[15  3] ; [42 34],[10.91489362  7.08510638] ; [46.08510638 29.91489362],0
s3,1,0.036826,4.358432,[11  7] ; [25 48],[ 7.12087912 10.87912088] ; [28.87912088 44.12087912],0
u2,1,0.04236,4.120756,[7 3] ; [15 28],[4.1509434 5.8490566] ; [17.8490566 25.1509434],0
v3,1,0.044832,4.024965,[8 9] ; [17 57],[ 4.67032967 12.32967033] ; [20.32967033 53.67032967],0
p6,1,0.045003,4.018519,[ 4 14] ; [ 5 70],[ 1.74193548 16.25806452] ; [ 7.25806452 67.74193548],0
p12,1,0.049481,3.858966,[ 3 15] ; [ 3 72],[ 1.16129032 16.83870968] ; [ 4.83870968 70.16129032],0
s8,1,0.088954,2.893198,[ 6 12] ; [12 64],[ 3.44680851 14.55319149] ; [14.55319149 61.44680851],0
d1,1,0.109021,2.568356,[ 2 16] ; [ 2 74],[ 0.76595745 17.23404255] ; [ 3.23404255 72.76595745],0
a5,1,0.115766,2.473684,[12  6] ; [35 41],[9. 9.] ; [38. 38.],0
b4,1,0.118675,2.43472,[14  4] ; [44 32],[11.10638298  6.89361702] ; [46.89361702 29.10638298],0
s6,1,0.129981,2.292726,[11  7] ; [31 44],[8.12903226 9.87096774] ; [33.87096774 41.12903226],0
r3,1,0.194981,1.679577,[16  2] ; [56 19],[13.93548387  4.06451613] ; [58.06451613 16.93548387],0
s2,1,0.201079,1.634522,[ 8 10] ; [21 52],[ 5.73626374 12.26373626] ; [23.26373626 49.73626374],0
p11,1,0.202782,1.622225,[14  4] ; [47 29],[11.68085106  6.31914894] ; [49.31914894 26.68085106],0
n4,1,0.208653,1.580751,[15  3] ; [52 24],[12.82978723  5.17021277] ; [54.17021277 21.82978723],0
d4,1,0.255996,1.290282,[10  8] ; [31 45],[ 7.85106383 10.14893617] ; [33.14893617 42.85106383],0
b3,1,0.320645,0.986312,[6 4] ; [17 23],[4.6 5.4] ; [18.4 21.6],0
b2,1,0.320645,0.986312,[6 4] ; [17 23],[4.6 5.4] ; [18.4 21.6],0
s4,1,0.335113,0.929038,[ 2 16] ; [16 60],[ 3.44680851 14.55319149] ; [14.55319149 61.44680851],0
v4,1,0.335113,0.929038,[16  2] ; [60 16],[14.55319149  3.44680851] ; [61.44680851 14.55319149],0
n2,1,0.346484,0.886293,[1 1] ; [26  7],[1.54285714 0.45714286] ; [25.45714286  7.54285714],0
p10,1,0.368352,0.809215,[13  5] ; [45 29],[11.34782609  6.65217391] ; [46.65217391 27.34782609],0
a6,1,0.396151,0.71998,[11  7] ; [38 38],[9.38297872 8.61702128] ; [39.61702128 36.38297872],0
v1,1,0.532824,0.389003,[ 8 10] ; [27 47],[ 6.84782609 11.15217391] ; [28.15217391 45.84782609],0
p1,1,0.581272,0.304183,[ 3 15] ; [ 9 67],[ 2.29787234 15.70212766] ; [ 9.70212766 66.29787234],0
b1,1,0.623507,0.24097,[ 8 10] ; [29 47],[ 7.08510638 10.91489362] ; [29.91489362 46.08510638],0
n5,1,0.630712,0.231096,[12  6] ; [55 21],[12.82978723  5.17021277] ; [54.17021277 21.82978723],0
n6,1,0.654395,0.200404,[12  6] ; [54 21],[12.77419355  5.22580645] ; [53.22580645 21.77419355],0
d3,1,0.708464,0.139816,[ 7 11] ; [26 50],[ 6.31914894 11.68085106] ; [26.68085106 49.31914894],0
s1,1,0.714125,0.134191,[ 1 17] ; [ 6 68],[ 1.36956522 16.63043478] ; [ 5.63043478 68.36956522],0
a7,1,0.746108,0.104831,[ 8 10] ; [37 39],[8.61702128 9.38297872] ; [36.38297872 39.61702128],0
a4,1,0.747866,0.103333,[ 3 15] ; [15 60],[ 3.48387097 14.51612903] ; [14.51612903 60.48387097],0
b5,1,0.762813,0.091077,[9 9] ; [41 35],[9.57446809 8.42553191] ; [40.42553191 35.57446809],0
d2,1,0.813357,0.055742,[ 4 14] ; [15 61],[ 3.63829787 14.36170213] ; [15.36170213 60.63829787],0
n3,1,0.823021,0.050024,[1 1] ; [18 13],[1.15151515 0.84848485] ; [17.84848485 13.15151515],0
p2,1,0.840726,0.040387,[9 9] ; [40 36],[9.38297872 8.61702128] ; [39.61702128 36.38297872],0
s7,1,0.855462,0.03318,[ 5 13] ; [19 55],[ 4.69565217 13.30434783] ; [19.30434783 54.69565217],0
a8,1,0.857008,0.032466,[ 2 16] ; [ 9 62],[ 2.2247191 15.7752809] ; [ 8.7752809 62.2247191],0
a1,1,0.87311,0.025507,[ 1 17] ; [ 5 71],[ 1.14893617 16.85106383] ; [ 4.85106383 71.14893617],0
p9,1,0.948799,0.004124,[13  5] ; [54 20],[13.10869565  4.89130435] ; [53.89130435 20.10869565],0
u3,1,0.978391,0.000734,[4 6] ; [17 26],[3.96226415 6.03773585] ; [17.03773585 25.96226415],0
a3,1,0.990829,0.000132,[ 8 10] ; [33 41],[8.02173913 9.97826087] ; [32.97826087 41.02173913],0
