Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.002387,9.224984,[13 34] ; [14  7],[18.66176471 28.33823529] ; [ 8.33823529 12.66176471],0
n4,1,0.007003,7.272223,[41 10] ; [12 12],[36.04 14.96] ; [16.96  7.04],0
s2,1,0.016718,5.725763,[28 23] ; [20  4],[32.64 18.36] ; [15.36  8.64],0
v1,1,0.018959,5.505322,[27 19] ; [ 7 17],[22.34285714 23.65714286] ; [11.65714286 12.34285714],0
n5,1,0.031317,4.635474,[40 11] ; [13 11],[36.04 14.96] ; [16.96  7.04],0
a3,1,0.031317,4.635474,[40 11] ; [13 11],[36.04 14.96] ; [16.96  7.04],0
v2,1,0.042244,4.125419,[28 22] ; [ 7 16],[23.97260274 26.02739726] ; [11.02739726 11.97260274],0
v3,1,0.04767,3.921596,[23 27] ; [ 5 18],[19.17808219 30.82191781] ; [ 8.82191781 14.17808219],0
s3,1,0.084195,2.98201,[30 21] ; [19  5],[33.32 17.68] ; [15.68  8.32],0
p4,1,0.085804,2.951389,[34 17] ; [11 13],[30.6 20.4] ; [14.4  9.6],0
p3,1,0.086263,2.942768,[32 19] ; [10 14],[28.56 22.44] ; [13.44 10.56],0
r3,1,0.106334,2.60788,[47  4] ; [19  5],[44.88  6.12] ; [21.12  2.88],0
a2,1,0.109152,2.566459,[ 9 42] ; [ 1 23],[ 6.8 44.2] ; [ 3.2 20.8],0
n6,1,0.130135,2.290896,[42  9] ; [16  8],[39.44 11.56] ; [18.56  5.44],0
p11,1,0.173371,1.853554,[43  8] ; [17  7],[40.8 10.2] ; [19.2  4.8],0
a5,1,0.223583,1.481226,[35 16] ; [13 11],[32.64 18.36] ; [15.36  8.64],0
a4,1,0.227542,1.456159,[20 31] ; [ 6 18],[17.68 33.32] ; [ 8.32 15.68],0
n2,1,0.255704,1.291866,[14  5] ; [10  1],[15.2  3.8] ; [8.8 2.2],0
s8,1,0.296482,1.089951,[34 17] ; [13 11],[31.96 19.04] ; [15.04  8.96],0
p8,1,0.369927,0.803908,[22 29] ; [12 10],[23.75342466 27.24657534] ; [10.24657534 11.75342466],0
u3,1,0.375399,0.785714,[6 5] ; [8 3],[7. 4.] ; [7. 4.],0
a6,1,0.378396,0.775906,[31 20] ; [12 12],[29.24 21.76] ; [13.76 10.24],0
r4,1,0.381965,0.76437,[33 18] ; [13 11],[31.28 19.72] ; [14.72  9.28],0
p1,1,0.393575,0.727867,[ 5 46] ; [ 4 20],[ 6.12 44.88] ; [ 2.88 21.12],0
n1,1,0.410727,0.676695,[11  7] ; [5 6],[9.93103448 8.06896552] ; [6.06896552 4.93103448],0
n3,1,0.423925,0.639408,[13  6] ; [9 2],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
s1,1,0.42767,0.629143,[ 2 49] ; [ 2 22],[ 2.72 48.28] ; [ 1.28 22.72],0
s6,1,0.433176,0.614293,[34 15] ; [18  5],[35.38888889 13.61111111] ; [16.61111111  6.38888889],0
r2,1,0.552671,0.352554,[43  4] ; [20  3],[42.3  4.7] ; [20.7  2.3],0
d3,1,0.661694,0.191472,[27 24] ; [14 10],[27.88 23.12] ; [13.12 10.88],0
b2,1,0.661975,0.191133,[17 24] ; [ 6 11],[16.25862069 24.74137931] ; [ 6.74137931 10.25862069],0
b3,1,0.661975,0.191133,[17 24] ; [ 6 11],[16.25862069 24.74137931] ; [ 6.74137931 10.25862069],0
u2,1,0.664558,0.188034,[6 5] ; [7 4],[6.5 4.5] ; [6.5 4.5],0
p7,1,0.699795,0.148685,[30 21] ; [14  8],[30.73972603 20.26027397] ; [13.26027397  8.73972603],0
p9,1,0.706726,0.14157,[43  7] ; [19  4],[42.46575342  7.53424658] ; [19.53424658  3.46575342],0
b1,1,0.714381,0.13394,[19 32] ; [10 14],[19.72 31.28] ; [ 9.28 14.72],0
d4,1,0.740574,0.109623,[40 11] ; [18  6],[39.44 11.56] ; [18.56  5.44],0
p12,1,0.744054,0.106595,[ 3 47] ; [ 1 23],[ 2.7027027 47.2972973] ; [ 1.2972973 22.7027027],0
b5,1,0.761761,0.091912,[30 21] ; [15  9],[30.6 20.4] ; [14.4  9.6],0
p10,1,0.773969,0.082477,[39 11] ; [18  6],[38.51351351 11.48648649] ; [18.48648649  5.51351351],0
b4,1,0.780046,0.077986,[28 23] ; [14 10],[28.56 22.44] ; [13.44 10.56],0
d2,1,0.839828,0.04085,[20 31] ; [10 14],[20.4 30.6] ; [ 9.6 14.4],0
p2,1,0.901499,0.015319,[41 10] ; [19  5],[40.8 10.2] ; [19.2  4.8],0
a7,1,0.904391,0.014428,[29 22] ; [14 10],[29.24 21.76] ; [13.76 10.24],0
d1,1,0.920951,0.009848,[24 27] ; [11 13],[23.8 27.2] ; [11.2 12.8],0
u1,1,0.94181,0.005328,[ 4 47] ; [ 2 22],[ 4.08 46.92] ; [ 1.92 22.08],0
p6,1,0.94394,0.004945,[23 26] ; [11 12],[23.13888889 25.86111111] ; [10.86111111 12.13888889],0
v4,1,0.950879,0.003795,[44  6] ; [21  3],[43.91891892  6.08108108] ; [21.08108108  2.91891892],0
d5,1,0.963683,0.002073,[38 13] ; [18  6],[38.08 12.92] ; [17.92  6.08],0
