Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,24.019843,[62 15] ; [ 3 13],[53.8172043 23.1827957] ; [11.1827957  4.8172043],1
v4,1,2e-06,22.425204,[76  2] ; [9 6],[71.29032258  6.70967742] ; [13.70967742  1.29032258],1
r3,1,5e-06,20.811233,[76  2] ; [10  6],[71.36170213  6.63829787] ; [14.63829787  1.36170213],1
r2,1,1.4e-05,18.812912,[75  3] ; [9 6],[70.4516129  7.5483871] ; [13.5483871  1.4516129],1
v3,1,0.007233,7.214157,[32 45] ; [ 1 15],[27.32258065 49.67741935] ; [ 5.67741935 10.32258065],0
a7,1,0.016118,5.789932,[54 24] ; [ 6 10],[49.78723404 28.21276596] ; [10.21276596  5.78723404],0
p7,1,0.029184,4.756726,[52 26] ; [15  1],[55.59574468 22.40425532] ; [11.40425532  4.59574468],0
b1,1,0.033513,4.519369,[31 47] ; [11  5],[34.85106383 43.14893617] ; [7.14893617 8.85106383],0
n6,1,0.040563,4.194163,[66 12] ; [10  6],[63.06382979 14.93617021] ; [12.93617021  3.06382979],0
p3,1,0.091191,2.853223,[51 26] ; [7 9],[48.02150538 28.97849462] ; [9.97849462 6.02150538],0
v1,1,0.109307,2.564219,[41 36] ; [ 5 11],[38.08602151 38.91397849] ; [7.91397849 8.08602151],0
a3,1,0.115521,2.477024,[46 32] ; [ 6 10],[43.14893617 34.85106383] ; [8.85106383 7.14893617],0
a6,1,0.129032,2.304115,[50 28] ; [7 9],[47.29787234 30.70212766] ; [9.70212766 6.29787234],0
s1,1,0.170199,1.881186,[ 3 73] ; [ 2 14],[ 4.13043478 71.86956522] ; [ 0.86956522 15.13043478],0
s5,1,0.186705,1.743427,[21 53] ; [ 2 14],[18.91111111 55.08888889] ; [ 4.08888889 11.91111111],0
p1,1,0.208199,1.583903,[15 63] ; [ 1 15],[13.27659574 64.72340426] ; [ 2.72340426 13.27659574],0
u2,1,0.209482,1.575,[12 20] ; [6 4],[13.71428571 18.28571429] ; [4.28571429 5.71428571],0
p8,1,0.219354,1.508592,[38 39] ; [10  5],[40.17391304 36.82608696] ; [7.82608696 7.17391304],0
d2,1,0.249954,1.323563,[26 52] ; [ 3 13],[24.06382979 53.93617021] ; [ 4.93617021 11.06382979],0
n1,1,0.276116,1.186108,[8 9] ; [5 2],[9.20833333 7.79166667] ; [3.79166667 3.20833333],0
n3,1,0.28497,1.143235,[16  2] ; [5 2],[15.12  2.88] ; [5.88 1.12],0
n4,1,0.292407,1.108505,[58 19] ; [10  6],[56.30107527 20.69892473] ; [11.69892473  4.30107527],0
p5,1,0.321259,0.983816,[13 65] ; [ 1 14],[11.74193548 66.25806452] ; [ 2.25806452 12.74193548],0
s4,1,0.363875,0.824475,[12 65] ; [ 4 12],[13.24731183 63.75268817] ; [ 2.75268817 13.24731183],0
s6,1,0.367881,0.810811,[46 28] ; [8 8],[44.4 29.6] ; [9.6 6.4],0
a8,1,0.385245,0.753896,[10 60] ; [ 1 15],[ 8.95348837 61.04651163] ; [ 2.04651163 13.95348837],0
a5,1,0.391606,0.73395,[48 30] ; [8 8],[46.46808511 31.53191489] ; [9.53191489 6.46808511],0
s7,1,0.400273,0.707507,[35 38] ; [5 9],[33.56321839 39.43678161] ; [6.43678161 7.56321839],0
s8,1,0.411639,0.674062,[33 45] ; [ 5 11],[31.53191489 46.46808511] ; [6.46808511 9.53191489],0
b3,1,0.439996,0.596292,[14 37] ; [ 2 10],[12.95238095 38.04761905] ; [3.04761905 8.95238095],0
b2,1,0.439996,0.596292,[14 37] ; [ 2 10],[12.95238095 38.04761905] ; [3.04761905 8.95238095],0
p6,1,0.448154,0.575315,[31 47] ; [8 8],[32.36170213 45.63829787] ; [6.63829787 9.36170213],0
d5,1,0.520571,0.412762,[41 37] ; [7 9],[39.82978723 38.17021277] ; [8.17021277 7.82978723],0
s2,1,0.535651,0.383661,[27 49] ; [7 9],[28.08695652 47.91304348] ; [ 5.91304348 10.08695652],0
d3,1,0.598804,0.276803,[24 54] ; [ 6 10],[24.89361702 53.10638298] ; [ 5.10638298 10.89361702],0
p10,1,0.669084,0.182675,[58 18] ; [13  3],[58.65217391 17.34782609] ; [12.34782609  3.65217391],0
u3,1,0.703004,0.145366,[15 17] ; [4 6],[14.47619048 17.52380952] ; [4.52380952 5.47619048],0
b5,1,0.707605,0.140681,[43 35] ; [8 8],[42.31914894 35.68085106] ; [8.68085106 7.31914894],0
v2,1,0.71951,0.128962,[37 39] ; [7 9],[36.34782609 39.65217391] ; [7.65217391 8.34782609],0
n2,1,0.738568,0.11139,[14  4] ; [5 2],[13.68  4.32] ; [5.32 1.68],0
a4,1,0.74703,0.104044,[21 56] ; [ 5 11],[21.52688172 55.47311828] ; [ 4.47311828 11.52688172],0
n5,1,0.799211,0.064703,[60 17] ; [12  4],[59.61290323 17.38709677] ; [12.38709677  3.61290323],0
p11,1,0.806301,0.060123,[56 22] ; [11  5],[55.59574468 22.40425532] ; [11.40425532  4.59574468],0
p2,1,0.839927,0.040799,[65 13] ; [13  3],[64.72340426 13.27659574] ; [13.27659574  2.72340426],0
s3,1,0.849118,0.036193,[39 38] ; [8 7],[39.33695652 37.66304348] ; [7.66304348 7.33695652],0
p9,1,0.956671,0.002952,[59 19] ; [12  4],[58.91489362 19.08510638] ; [12.08510638  3.91489362],0
b4,1,1.0,0.0,[39 39] ; [8 8],[39. 39.] ; [8. 8.],0
