Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,47.492048,[83 12] ; [ 8 25],[67.5390625 27.4609375] ; [23.4609375  9.5390625],1
s6,1,1e-06,23.662989,[84  7] ; [18 15],[74.85483871 16.14516129] ; [27.14516129  5.85483871],1
s7,1,0.000165,14.195282,[68 25] ; [12 21],[59.04761905 33.95238095] ; [20.95238095 12.04761905],1
u3,1,0.001273,10.380665,[22  7] ; [ 3 10],[17.26190476 11.73809524] ; [7.73809524 5.26190476],0
r1,1,0.004341,8.13526,[76 19] ; [18 15],[69.765625 25.234375] ; [24.234375  8.765625],0
s8,1,0.004744,7.974654,[53 42] ; [ 9 24],[46.015625 48.984375] ; [15.984375 17.015625],0
r2,1,0.010604,6.530457,[90  4] ; [27  6],[86.5984252  7.4015748] ; [30.4015748  2.5984252],0
r3,1,0.011265,6.422955,[89  4] ; [27  6],[85.61904762  7.38095238] ; [30.38095238  2.61904762],0
d2,1,0.015673,5.83924,[49 46] ; [ 9 24],[43.046875 51.953125] ; [14.953125 18.046875],0
s5,1,0.020925,5.333059,[49 37] ; [11 22],[43.36134454 42.63865546] ; [16.63865546 16.36134454],0
a6,1,0.026033,4.953825,[69 26] ; [17 16],[63.828125 31.171875] ; [22.171875 10.828125],0
a4,1,0.055705,3.660867,[44 51] ; [ 9 24],[39.3359375 55.6640625] ; [13.6640625 19.3359375],0
v3,1,0.06053,3.522806,[31 63] ; [ 5 27],[26.85714286 67.14285714] ; [ 9.14285714 22.85714286],0
v4,1,0.076797,3.131408,[92  2] ; [30  3],[90.2992126  3.7007874] ; [31.7007874  1.2992126],0
d1,1,0.095203,2.78412,[59 36] ; [15 18],[54.921875 40.078125] ; [19.078125 13.921875],0
a2,1,0.115655,2.475192,[24 71] ; [ 4 29],[20.78125 74.21875] ; [ 7.21875 25.78125],0
n1,1,0.149443,2.077922,[ 4 17] ; [4 5],[ 5.6 15.4] ; [2.4 6.6],0
r4,1,0.170254,1.880707,[84 11] ; [26  7],[81.640625 13.359375] ; [28.359375  4.640625],0
d4,1,0.192881,1.695472,[79 16] ; [24  9],[76.4453125 18.5546875] ; [26.5546875  6.4453125],0
u2,1,0.22654,1.462455,[17 12] ; [5 8],[15.19047619 13.80952381] ; [6.80952381 6.19047619],0
p3,1,0.258229,1.278226,[54 41] ; [15 18],[51.2109375 43.7890625] ; [17.7890625 15.2109375],0
p4,1,0.258454,1.277022,[65 30] ; [19 14],[62.34375 32.65625] ; [21.65625 11.34375],0
n4,1,0.258454,1.277022,[65 30] ; [19 14],[62.34375 32.65625] ; [21.65625 11.34375],0
b1,1,0.270899,1.212189,[36 59] ; [ 9 24],[33.3984375 61.6015625] ; [11.6015625 21.3984375],0
v1,1,0.27884,1.172736,[41 53] ; [18 15],[43.66929134 50.33070866] ; [15.33070866 17.66929134],0
p1,1,0.284361,1.146128,[ 6 89] ; [ 4 29],[ 7.421875 87.578125] ; [ 2.578125 30.421875],0
b4,1,0.337926,0.918285,[58 37] ; [17 16],[55.6640625 39.3359375] ; [19.3359375 13.6640625],0
a3,1,0.34996,0.873603,[66 29] ; [20 13],[63.828125 31.171875] ; [22.171875 10.828125],0
p5,1,0.44832,0.574896,[10 85] ; [ 2 31],[ 8.90625 86.09375] ; [ 3.09375 29.90625],0
d3,1,0.453127,0.562817,[71 24] ; [26  6],[72.55905512 22.44094488] ; [24.44094488  7.55905512],0
u1,1,0.461327,0.542674,[20 75] ; [ 5 28],[18.5546875 76.4453125] ; [ 6.4453125 26.5546875],0
a5,1,0.461946,0.541174,[67 28] ; [21 12],[65.3125 29.6875] ; [22.6875 10.3125],0
v2,1,0.476856,0.506045,[40 52] ; [12 21],[38.272 53.728] ; [13.728 19.272],0
p11,1,0.490642,0.475118,[72 23] ; [23 10],[70.5078125 24.4921875] ; [24.4921875  8.5078125],0
b3,1,0.548797,0.359477,[10 38] ; [ 5 13],[10.90909091 37.09090909] ; [ 4.09090909 13.90909091],0
b2,1,0.548797,0.359477,[10 38] ; [ 5 13],[10.90909091 37.09090909] ; [ 4.09090909 13.90909091],0
p8,1,0.569525,0.323478,[57 35] ; [18 14],[55.64516129 36.35483871] ; [19.35483871 12.64516129],0
a8,1,0.58322,0.301058,[ 5 82] ; [ 1 30],[ 4.42372881 82.57627119] ; [ 1.57627119 29.42372881],0
n6,1,0.693023,0.155832,[77 17] ; [26  7],[76.23622047 17.76377953] ; [26.76377953  6.23622047],0
b5,1,0.712234,0.136056,[57 38] ; [21 12],[57.890625 37.109375] ; [20.109375 12.890625],0
d5,1,0.718672,0.129769,[77 18] ; [25  7],[76.2992126 18.7007874] ; [25.7007874  6.2992126],0
n5,1,0.814539,0.055025,[70 25] ; [25  8],[70.5078125 24.4921875] ; [24.4921875  8.5078125],0
p6,1,0.824027,0.049448,[43 50] ; [16 17],[43.54761905 49.45238095] ; [15.45238095 17.54761905],0
n2,1,0.842103,0.039683,[17  4] ; [7 2],[16.8  4.2] ; [7.2 1.8],0
a7,1,0.849474,0.03602,[67 28] ; [22 10],[66.57480315 28.42519685] ; [22.42519685  9.57480315],0
p10,1,0.912926,0.011957,[79 15] ; [28  5],[79.19685039 14.80314961] ; [27.80314961  5.19685039],0
n3,1,0.924953,0.008873,[16  5] ; [7 2],[16.1  4.9] ; [6.9 2.1],0
p7,1,0.94641,0.004518,[66 24] ; [24  9],[65.85365854 24.14634146] ; [24.14634146  8.85365854],0
p9,1,0.971494,0.001277,[80 14] ; [28  5],[79.93700787 14.06299213] ; [28.06299213  4.93700787],0
