Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.010973,6.469655,[ 2 15] ; [12 12],[ 5.80487805 11.19512195] ; [ 8.19512195 15.80487805],0
a2,1,0.02425,5.076669,[ 5 12] ; [ 1 23],[ 2.48780488 14.51219512] ; [ 3.51219512 20.48780488],0
b1,1,0.03678,4.360557,[12  5] ; [ 9 15],[8.70731707 8.29268293] ; [12.29268293 11.70731707],0
v2,1,0.057569,3.606071,[10  7] ; [ 7 17],[7.04878049 9.95121951] ; [ 9.95121951 14.04878049],0
p5,1,0.061957,3.484218,[ 4 13] ; [ 1 23],[ 2.07317073 14.92682927] ; [ 2.92682927 21.07317073],0
n3,1,0.103504,2.650699,[2 8] ; [6 5],[3.80952381 6.19047619] ; [4.19047619 6.80952381],0
v4,1,0.121857,2.393292,[9 6] ; [19  4],[11.05263158  3.94736842] ; [16.94736842  6.05263158],0
a6,1,0.145946,2.114122,[11  6] ; [10 14],[8.70731707 8.29268293] ; [12.29268293 11.70731707],0
a3,1,0.168685,1.894587,[14  3] ; [15  9],[12.02439024  4.97560976] ; [16.97560976  7.02439024],0
n6,1,0.191189,1.708433,[8 7] ; [17  6],[9.86842105 5.13157895] ; [15.13157895  7.86842105],0
s3,1,0.214847,1.538462,[9 7] ; [18  6],[10.8  5.2] ; [16.2  7.8],0
b4,1,0.232521,1.425374,[ 6 11] ; [13 11],[7.87804878 9.12195122] ; [11.12195122 12.87804878],0
d5,1,0.264069,1.247296,[14  3] ; [16  8],[12.43902439  4.56097561] ; [17.56097561  6.43902439],0
d4,1,0.292091,1.10996,[15  2] ; [18  6],[13.68292683  3.31707317] ; [19.31707317  4.68292683],0
v3,1,0.303211,1.060019,[ 6 11] ; [ 5 19],[ 4.56097561 12.43902439] ; [ 6.43902439 17.56097561],0
s6,1,0.356356,0.850694,[11  5] ; [13 11],[9.6 6.4] ; [14.4  9.6],0
s1,1,0.35737,0.847115,[ 2 15] ; [ 1 23],[ 1.24390244 15.75609756] ; [ 1.75609756 22.24390244],0
u1,1,0.35737,0.847115,[ 2 15] ; [ 1 23],[ 1.24390244 15.75609756] ; [ 1.75609756 22.24390244],0
p7,1,0.365898,0.817547,[10  6] ; [11 12],[8.61538462 7.38461538] ; [12.38461538 10.61538462],0
s5,1,0.366726,0.814727,[ 6 10] ; [ 5 16],[ 4.75675676 11.24324324] ; [ 6.24324324 14.75675676],0
p3,1,0.374753,0.787843,[8 9] ; [ 8 16],[ 6.63414634 10.36585366] ; [ 9.36585366 14.63414634],0
p8,1,0.385429,0.753313,[9 8] ; [ 9 14],[7.65 9.35] ; [10.35 12.65],0
p10,1,0.456057,0.555556,[11  5] ; [19  5],[12.  4.] ; [18.  6.],0
r1,1,0.504985,0.444444,[ 5 11] ; [10 14],[ 6. 10.] ; [ 9. 15.],0
s2,1,0.540496,0.374622,[9 8] ; [15  9],[9.95121951 7.04878049] ; [14.04878049  9.95121951],0
s8,1,0.57672,0.311568,[10  7] ; [12 12],[9.12195122 7.87804878] ; [12.87804878 11.12195122],0
a7,1,0.57672,0.311568,[ 7 10] ; [12 12],[7.87804878 9.12195122] ; [11.12195122 12.87804878],0
d3,1,0.57672,0.311568,[10  7] ; [12 12],[9.12195122 7.87804878] ; [12.87804878 11.12195122],0
u2,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
n1,1,0.63904,0.22,[4 6] ; [6 6],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
n4,1,0.67786,0.172545,[11  6] ; [17  7],[11.6097561  5.3902439] ; [16.3902439  7.6097561],0
a5,1,0.680264,0.169828,[11  6] ; [14 10],[10.36585366  6.63414634] ; [14.63414634  9.36585366],0
d1,1,0.731782,0.117481,[8 9] ; [10 14],[7.46341463 9.53658537] ; [10.53658537 13.46341463],0
d2,1,0.731782,0.117481,[8 9] ; [10 14],[7.46341463 9.53658537] ; [10.53658537 13.46341463],0
u3,1,0.735317,0.114286,[2 1] ; [5 4],[1.75 1.25] ; [5.25 3.75],0
p2,1,0.75344,0.098663,[12  5] ; [18  6],[12.43902439  4.56097561] ; [17.56097561  6.43902439],0
p6,1,0.786648,0.07326,[ 6 10] ; [ 8 16],[ 5.6 10.4] ; [ 8.4 15.6],0
a4,1,0.812074,0.056526,[ 7 10] ; [ 9 15],[ 6.63414634 10.36585366] ; [ 9.36585366 14.63414634],0
r2,1,0.822818,0.050141,[9 6] ; [14  8],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
n2,1,0.840039,0.040741,[8 2] ; [10  2],[8.18181818 1.81818182] ; [9.81818182 2.18181818],0
b5,1,0.852745,0.034454,[9 8] ; [12 12],[8.70731707 8.29268293] ; [12.29268293 11.70731707],0
p4,1,0.938206,0.00601,[9 8] ; [13 11],[9.12195122 7.87804878] ; [12.87804878 11.12195122],0
n5,1,0.939048,0.005847,[12  4] ; [17  6],[11.8974359  4.1025641] ; [17.1025641  5.8974359],0
b3,1,0.948139,0.004231,[6 9] ; [ 7 11],[5.90909091 9.09090909] ; [ 7.09090909 10.90909091],0
b2,1,0.948139,0.004231,[6 9] ; [ 7 11],[5.90909091 9.09090909] ; [ 7.09090909 10.90909091],0
r3,1,0.973253,0.001124,[11  6] ; [15  8],[11.05  5.95] ; [14.95  8.05],0
p9,1,0.986442,0.000289,[12  5] ; [17  7],[12.02439024  4.97560976] ; [16.97560976  7.02439024],0
p11,1,0.986442,0.000289,[12  5] ; [17  7],[12.02439024  4.97560976] ; [16.97560976  7.02439024],0
