Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3.4e-05,17.184675,[28  7] ; [ 7 19],[20.08196721 14.91803279] ; [14.91803279 11.08196721],1
p10,1,4.8e-05,16.543175,[26  9] ; [ 6 21],[18.06451613 16.93548387] ; [13.93548387 13.06451613],1
r3,1,0.000107,15.002791,[31  4] ; [12 16],[23.88888889 11.11111111] ; [19.11111111  8.88888889],1
p8,1,0.003743,8.404656,[18 18] ; [ 4 23],[12.57142857 23.42857143] ; [ 9.42857143 17.57142857],0
p2,1,0.003903,8.328514,[27  9] ; [11 17],[21.375 14.625] ; [16.625 11.375],0
n3,1,0.006755,7.336898,[12  2] ; [5 9],[8.5 5.5] ; [8.5 5.5],0
n2,1,0.006755,7.336898,[12  2] ; [5 9],[8.5 5.5] ; [8.5 5.5],0
v2,1,0.007819,7.074377,[18 17] ; [ 5 22],[12.98387097 22.01612903] ; [10.01612903 16.98387097],0
s6,1,0.007847,7.06802,[18 18] ; [ 5 23],[12.9375 23.0625] ; [10.0625 17.9375],0
a5,1,0.011743,6.349206,[23 13] ; [ 9 19],[18. 18.] ; [14. 14.],0
s8,1,0.011927,6.321633,[12 24] ; [ 2 26],[ 7.875 28.125] ; [ 6.125 21.875],0
r4,1,0.020917,5.333716,[11 25] ; [ 2 26],[ 7.3125 28.6875] ; [ 5.6875 22.3125],0
u2,1,0.033895,4.5,[11  5] ; [ 5 11],[8. 8.] ; [8. 8.],0
a7,1,0.04382,4.063492,[22 14] ; [10 18],[18. 18.] ; [14. 14.],0
n6,1,0.046086,3.97843,[25 11] ; [12 15],[21.14285714 14.85714286] ; [15.85714286 11.14285714],0
a6,1,0.061965,3.483994,[20 16] ; [ 9 19],[16.3125 19.6875] ; [12.6875 15.3125],0
p7,1,0.061965,3.483994,[20 16] ; [ 9 19],[16.3125 19.6875] ; [12.6875 15.3125],0
n5,1,0.068504,3.318519,[26 10] ; [14 14],[22.5 13.5] ; [17.5 10.5],0
d3,1,0.072461,3.226365,[21 15] ; [10 18],[17.4375 18.5625] ; [13.5625 14.4375],0
a1,1,0.088794,2.896099,[ 1 35] ; [ 4 24],[ 2.8125 33.1875] ; [ 2.1875 25.8125],0
v3,1,0.09234,2.833106,[10 26] ; [ 3 25],[ 7.3125 28.6875] ; [ 5.6875 22.3125],0
d2,1,0.107126,2.59612,[13 23] ; [ 5 23],[10.125 25.875] ; [ 7.875 20.125],0
