Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,50.066315,[116  15] ; [13 26],[99.40588235 31.59411765] ; [29.59411765  9.40588235],1
n6,1,1e-06,24.740037,[117  14] ; [21 18],[106.34117647  24.65882353] ; [31.65882353  7.34117647],1
p10,1,2e-06,22.198507,[111  17] ; [20 19],[100.40718563  27.59281437] ; [30.59281437  8.40718563],1
p9,1,8e-06,19.988124,[113  17] ; [21 18],[103.07692308  26.92307692] ; [30.92307692  8.07692308],1
p11,1,0.000184,13.983656,[113  18] ; [23 16],[104.8  26.2] ; [31.2  7.8],1
s7,1,0.000548,11.944724,[78 48] ; [11 26],[68.79754601 57.20245399] ; [20.20245399 16.79754601],1
s8,1,0.000785,11.276519,[75 56] ; [10 28],[65.88757396 65.11242604] ; [19.11242604 18.88757396],1
v3,1,0.002278,9.311074,[64 67] ; [ 8 30],[55.81065089 75.18934911] ; [16.18934911 21.81065089],0
b3,1,0.003256,8.658149,[40 48] ; [ 3 21],[33.78571429 54.21428571] ; [ 9.21428571 14.78571429],0
b2,1,0.003256,8.658149,[40 48] ; [ 3 21],[33.78571429 54.21428571] ; [ 9.21428571 14.78571429],0
v1,1,0.004284,8.159157,[78 51] ; [13 25],[70.29341317 58.70658683] ; [20.70658683 17.29341317],0
p5,1,0.011402,6.401515,[ 25 105] ; [ 1 38],[ 20. 110.] ; [ 6. 33.],0
p2,1,0.020741,5.34844,[115  14] ; [29 10],[110.57142857  18.42857143] ; [33.42857143  5.57142857],0
d5,1,0.024938,5.028178,[103  27] ; [24 15],[97.69230769 32.30769231] ; [29.30769231  9.69230769],0
r3,1,0.038327,4.290469,[124   7] ; [33  6],[120.98235294  10.01764706] ; [36.01764706  2.98235294],0
r1,1,0.043239,4.08605,[99 32] ; [23 16],[94.01176471 36.98823529] ; [27.98823529 11.01176471],0
s6,1,0.050153,3.836345,[85 41] ; [19 19],[79.90243902 46.09756098] ; [24.09756098 13.90243902],0
a8,1,0.057287,3.61423,[ 17 107] ; [ 1 37],[ 13.77777778 110.22222222] ; [ 4.22222222 33.77777778],0
r4,1,0.057515,3.607628,[114  17] ; [29 10],[110.19411765  20.80588235] ; [32.80588235  6.19411765],0
r2,1,0.060721,3.517581,[116  12] ; [31  8],[112.67065868  15.32934132] ; [34.32934132  4.67065868],0
v2,1,0.095481,2.779453,[72 56] ; [16 23],[67.4491018 60.5508982] ; [20.5508982 18.4491018],0
a5,1,0.107003,2.597943,[92 39] ; [22 17],[87.84705882 43.15294118] ; [26.15294118 12.84705882],0
b5,1,0.138783,2.191403,[53 78] ; [21 18],[57.02352941 73.97647059] ; [16.97647059 22.02352941],0
b4,1,0.140283,2.174849,[63 68] ; [24 15],[67.04117647 63.95882353] ; [19.95882353 19.04117647],0
p1,1,0.166073,1.918043,[  8 123] ; [ 5 34],[ 10.01764706 120.98235294] ; [ 2.98235294 36.01764706],0
s2,1,0.173614,1.851458,[70 61] ; [16 23],[66.27058824 64.72941176] ; [19.72941176 19.27058824],0
d1,1,0.190742,1.711877,[66 65] ; [15 24],[62.41764706 68.58235294] ; [18.58235294 20.41764706],0
v4,1,0.247254,1.338754,[120   9] ; [34  5],[118.25  10.75] ; [35.75  3.25],0
p4,1,0.255372,1.293674,[85 45] ; [21 17],[82.02380952 47.97619048] ; [23.97619048 14.02380952],0
d2,1,0.267081,1.231677,[67 64] ; [16 23],[63.95882353 67.04117647] ; [19.04117647 19.95882353],0
