Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000448,12.318779,[ 2 10] ; [26  9],[7.14893617 4.85106383] ; [20.85106383 14.14893617],1
s7,1,0.006347,7.449163,[7 4] ; [ 6 25],[3.4047619 7.5952381] ; [ 9.5952381 21.4047619],0
s4,1,0.013358,6.121099,[4 8] ; [ 2 33],[ 1.53191489 10.46808511] ; [ 4.46808511 30.53191489],0
s8,1,0.153039,2.041697,[ 1 11] ; [10 25],[2.80851064 9.19148936] ; [ 8.19148936 26.80851064],0
r2,1,0.186376,1.746032,[10  2] ; [20 12],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
v3,1,0.186424,1.745657,[ 1 10] ; [10 25],[2.63043478 8.36956522] ; [ 8.36956522 26.63043478],0
p6,1,0.253943,1.301478,[ 1 11] ; [ 8 26],[2.34782609 9.65217391] ; [ 6.65217391 27.34782609],0
b5,1,0.27031,1.215171,[5 7] ; [21 14],[6.63829787 5.36170213] ; [19.36170213 15.63829787],0
d3,1,0.350711,0.870882,[9 3] ; [21 14],[7.65957447 4.34042553] ; [22.34042553 12.65957447],0
n6,1,0.369507,0.805322,[6 6] ; [22 12],[7.30434783 4.69565217] ; [20.69565217 13.30434783],0
n1,1,0.37472,0.787953,[2 1] ; [5 8],[1.3125 1.6875] ; [5.6875 7.3125],0
s5,1,0.402767,0.700049,[4 8] ; [ 7 26],[2.93333333 9.06666667] ; [ 8.06666667 24.93333333],0
a3,1,0.414415,0.6661,[10  2] ; [25 10],[8.93617021 3.06382979] ; [26.06382979  8.93617021],0
r3,1,0.414415,0.6661,[10  2] ; [25 10],[8.93617021 3.06382979] ; [26.06382979  8.93617021],0
p11,1,0.454118,0.560353,[8 4] ; [19 16],[6.89361702 5.10638298] ; [20.10638298 14.89361702],0
d4,1,0.459491,0.547134,[11  1] ; [29  6],[10.21276596  1.78723404] ; [29.78723404  5.21276596],0
s2,1,0.493655,0.468551,[ 2 10] ; [ 9 25],[2.86956522 9.13043478] ; [ 8.13043478 25.86956522],0
n2,1,0.521839,0.410256,[1 2] ; [7 6],[1.5 1.5] ; [6.5 6.5],0
s6,1,0.52412,0.405778,[6 6] ; [13 20],[5.06666667 6.93333333] ; [13.93333333 19.06666667],0
b1,1,0.545437,0.365556,[6 6] ; [21 14],[6.89361702 5.10638298] ; [20.10638298 14.89361702],0
p7,1,0.551522,0.354598,[3 9] ; [12 23],[3.82978723 8.17021277] ; [11.17021277 23.82978723],0
d1,1,0.561824,0.336556,[8 4] ; [20 15],[7.14893617 4.85106383] ; [20.85106383 14.14893617],0
p8,1,0.609981,0.260202,[3 8] ; [ 7 28],[2.39130435 8.60869565] ; [ 7.60869565 27.39130435],0
a5,1,0.610633,0.259254,[8 4] ; [26  9],[8.68085106 3.31914894] ; [25.31914894  9.68085106],0
p10,1,0.619307,0.246843,[5 7] ; [17 17],[5.73913043 6.26086957] ; [16.26086957 17.73913043],0
a6,1,0.667569,0.184458,[6 6] ; [20 15],[6.63829787 5.36170213] ; [19.36170213 15.63829787],0
a7,1,0.681831,0.168072,[8 4] ; [21 14],[7.40425532 4.59574468] ; [21.59574468 13.40425532],0
d2,1,0.694182,0.154596,[7 5] ; [22 12],[7.56521739 4.43478261] ; [21.43478261 12.56521739],0
a4,1,0.725058,0.123697,[6 6] ; [15 19],[5.47826087 6.52173913] ; [15.52173913 18.47826087],0
n3,1,0.756495,0.096154,[1 1] ; [8 5],[1.2 0.8] ; [7.8 5.2],0
r1,1,0.797369,0.065922,[6 6] ; [16 19],[5.61702128 6.38297872] ; [16.38297872 18.61702128],0
v1,1,0.799633,0.064426,[4 8] ; [10 24],[3.65217391 8.34782609] ; [10.34782609 23.65217391],0
p4,1,0.812652,0.056172,[4 8] ; [13 22],[4.34042553 7.65957447] ; [12.65957447 22.34042553],0
p3,1,0.90278,0.014921,[4 8] ; [11 24],[3.82978723 8.17021277] ; [11.17021277 23.82978723],0
r4,1,0.919135,0.010307,[5 7] ; [14 21],[4.85106383 7.14893617] ; [14.14893617 20.85106383],0
v2,1,0.93192,0.007298,[6 6] ; [18 17],[6.12765957 5.87234043] ; [17.87234043 17.12765957],0
b3,1,0.93814,0.006023,[3 6] ; [ 8 15],[3.09375 5.90625] ; [ 7.90625 15.09375],0
b2,1,0.93814,0.006023,[3 6] ; [ 8 15],[3.09375 5.90625] ; [ 7.90625 15.09375],0
b4,1,0.960944,0.002398,[9 3] ; [26  9],[8.93617021 3.06382979] ; [26.06382979  8.93617021],0
s3,1,0.963708,0.00207,[5 7] ; [14 19],[5.06666667 6.93333333] ; [13.93333333 19.06666667],0
p9,1,0.963708,0.00207,[7 5] ; [19 14],[6.93333333 5.06666667] ; [19.06666667 13.93333333],0
a2,1,0.969786,0.001435,[ 2 10] ; [ 6 29],[2.04255319 9.95744681] ; [ 5.95744681 29.04255319],0
p1,1,0.979651,0.000651,[ 1 11] ; [ 3 32],[ 1.0212766 10.9787234] ; [ 2.9787234 32.0212766],0
u1,1,0.979651,0.000651,[ 1 11] ; [ 3 32],[ 1.0212766 10.9787234] ; [ 2.9787234 32.0212766],0
p2,1,1.0,0.0,[6 6] ; [17 17],[6. 6.] ; [17. 17.],0
