Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.2e-05,19.120073,[83 44] ; [63 97],[64.60627178 62.39372822] ; [81.39372822 78.60627178],1
p2,1,2.4e-05,17.840915,[111  17] ; [108  58],[95.34693878 32.65306122] ; [123.65306122  42.34693878],1
p4,1,4.6e-05,16.603916,[72 56] ; [ 54 112],[54.85714286 73.14285714] ; [71.14285714 94.85714286],1
v3,1,6.1e-05,16.085336,[60 64] ; [ 41 120],[43.94385965 80.05614035] ; [ 57.05614035 103.94385965],1
p3,1,9.7e-05,15.197753,[67 61] ; [ 50 117],[50.76610169 77.23389831] ; [ 66.23389831 100.76610169],1
r1,1,0.000149,14.379907,[109  20] ; [109  59],[94.68686869 34.31313131] ; [123.31313131  44.68686869],1
p11,1,0.002797,8.935505,[108  22] ; [114  54],[96.84563758 33.15436242] ; [125.15436242  42.84563758],0
p7,1,0.003372,8.594522,[81 47] ; [76 89],[68.58703072 59.41296928] ; [88.41296928 76.58703072],0
n5,1,0.004179,8.20452,[96 34] ; [96 70],[84.32432432 45.67567568] ; [107.67567568  58.32432432],0
s8,1,0.004219,8.186911,[35 95] ; [ 23 145],[ 25.30201342 104.69798658] ; [ 32.69798658 135.30201342],0
p9,1,0.004292,8.156073,[102  26] ; [107  59],[90.99319728 37.00680272] ; [118.00680272  47.99319728],0
p8,1,0.00445,8.090344,[67 59] ; [ 61 106],[55.0443686 70.9556314] ; [72.9556314 94.0443686],0
a5,1,0.009761,6.677915,[96 34] ; [100  68],[85.5033557 44.4966443] ; [110.4966443  57.5033557],0
r4,1,0.011638,6.365197,[117  13] ; [133  35],[109.06040268  20.93959732] ; [140.93959732  27.06040268],0
p5,1,0.015574,5.850347,[ 11 116] ; [  4 163],[  6.47959184 120.52040816] ; [  8.52040816 158.47959184],0
s5,1,0.018083,5.588094,[ 23 105] ; [ 14 148],[ 16.33103448 111.66896552] ; [ 20.66896552 141.33103448],0
p12,1,0.021044,5.32317,[  6 121] ; [  1 167],[  3.01355932 123.98644068] ; [  3.98644068 164.01355932],0
n4,1,0.021437,5.290949,[101  29] ; [110  58],[92.04697987 37.95302013] ; [118.95302013  49.04697987],0
p10,1,0.028302,4.809557,[97 31] ; [106  60],[88.38095238 39.61904762] ; [114.61904762  51.38095238],0
p6,1,0.029284,4.750817,[41 85] ; [ 35 130],[32.90721649 93.09278351] ; [ 43.09278351 121.90721649],0
b2,1,0.036055,4.394493,[39 42] ; [31 64],[32.21590909 48.78409091] ; [37.78409091 57.21590909],0
b3,1,0.036055,4.394493,[39 42] ; [31 64],[32.21590909 48.78409091] ; [37.78409091 57.21590909],0
r3,1,0.058933,3.567161,[121   9] ; [144  23],[115.99326599  14.00673401] ; [149.00673401  17.99326599],0
n3,1,0.079603,3.072997,[16  3] ; [35 21],[12.92  6.08] ; [38.08 17.92],0
