Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,76.773913,[76 33] ; [ 44 174],[40. 69.] ; [ 80. 138.],1
s6,1,0.0,67.741332,[96 17] ; [ 86 142],[60.31085044 52.68914956] ; [121.68914956 106.31085044],1
s2,1,0.0,39.142831,[69 44] ; [ 60 169],[42.62280702 70.37719298] ; [ 86.37719298 142.62280702],1
s3,1,0.0,32.354364,[79 34] ; [ 84 142],[54.33333333 58.66666667] ; [108.66666667 117.33333333],1
p4,1,3e-06,21.760978,[77 37] ; [ 93 135],[56.66666667 57.33333333] ; [113.33333333 114.66666667],1
p9,1,3.6e-05,17.085233,[101  13] ; [153  72],[85.4159292 28.5840708] ; [168.5840708  56.4159292],1
p10,1,3.8e-05,16.948013,[95 18] ; [140  85],[78.56508876 34.43491124] ; [156.43491124  68.56508876],1
r1,1,5e-05,16.441831,[94 19] ; [141  88],[77.64619883 35.35380117] ; [157.35380117  71.64619883],1
r4,1,0.000129,14.660795,[104  10] ; [169  61],[90.47093023 23.52906977] ; [182.52906977  47.47093023],1
p6,1,0.000292,13.117954,[46 68] ; [ 49 177],[31.85294118 82.14705882] ; [ 63.14705882 162.85294118],1
d1,1,0.000441,12.348974,[69 45] ; [ 93 137],[53.68604651 60.31395349] ; [108.31395349 121.68604651],1
s5,1,0.000809,11.221071,[40 71] ; [ 44 184],[27.50442478 83.49557522] ; [ 56.49557522 171.50442478],1
p8,1,0.000914,10.994853,[64 50] ; [ 85 143],[49.66666667 64.33333333] ; [ 99.33333333 128.66666667],1
p3,1,0.000971,10.881818,[58 56] ; [ 74 154],[44. 70.] ; [ 88. 140.],1
a5,1,0.001074,10.695182,[86 28] ; [132  98],[72.24418605 41.75581395] ; [145.75581395  84.24418605],0
p7,1,0.001744,9.801374,[73 39] ; [105 118],[59.51044776 52.48955224] ; [118.48955224 104.51044776],0
p11,1,0.003614,8.468098,[90 24] ; [146  84],[78.20930233 35.79069767] ; [157.79069767  72.20930233],0
r3,1,0.004058,8.257848,[107   7] ; [189  40],[98.37900875 15.62099125] ; [197.62099125  31.37900875],0
n6,1,0.008809,6.861212,[97 17] ; [165  63],[87.33333333 26.66666667] ; [174.66666667  53.33333333],0
v4,1,0.009187,6.786186,[108   6] ; [195  34],[100.70553936  13.29446064] ; [202.29446064  26.70553936],0
a2,1,0.009668,6.695011,[30 84] ; [ 34 196],[21.20930233 92.79069767] ; [ 42.79069767 187.20930233],0
p12,1,0.010594,6.53225,[ 10 103] ; [  6 222],[  5.30205279 107.69794721] ; [ 10.69794721 217.30205279],0
a3,1,0.011598,6.371322,[83 31] ; [133  93],[72.42352941 41.57647059] ; [143.57647059  82.42352941],0
v1,1,0.01431,5.999467,[49 60] ; [ 71 156],[38.92857143 70.07142857] ; [ 81.07142857 145.92857143],0
d2,1,0.01481,5.938948,[60 54] ; [ 88 139],[49.47800587 64.52199413] ; [ 98.52199413 128.47800587],0
p5,1,0.016812,5.715921,[19 92] ; [ 19 208],[12.47928994 98.52071006] ; [ 25.52071006 201.47928994],0
d5,1,0.017081,5.688071,[90 23] ; [154  75],[80.61988304 32.38011696] ; [163.38011696  65.61988304],0
a4,1,0.017344,5.661206,[57 57] ; [ 83 144],[46.80351906 67.19648094] ; [ 93.19648094 133.80351906],0
n4,1,0.020902,5.334986,[91 22] ; [158  72],[82.03206997 30.96793003] ; [166.96793003  63.03206997],0
p2,1,0.027193,4.878506,[93 21] ; [160  67],[84.58064516 29.41935484] ; [168.41935484  58.58064516],0
d3,1,0.03597,4.398539,[76 38] ; [125 103],[67. 47.] ; [134.  94.],0
n5,1,0.037194,4.341512,[88 26] ; [151  77],[79.66666667 34.33333333] ; [159.33333333  68.66666667],0
u2,1,0.054566,3.695292,[21 10] ; [46 50],[16.35433071 14.64566929] ; [50.64566929 45.35433071],0
u1,1,0.055684,3.661496,[19 95] ; [ 22 208],[ 13.5872093 100.4127907] ; [ 27.4127907 202.5872093],0
b2,1,0.060632,3.520014,[37 43] ; [44 88],[30.56603774 49.43396226] ; [50.43396226 81.56603774],0
b3,1,0.060632,3.520014,[37 43] ; [44 88],[30.56603774 49.43396226] ; [50.43396226 81.56603774],0
u4,1,0.073611,3.200603,[  3 111] ; [  1 229],[  1.3255814 112.6744186] ; [  2.6744186 227.3255814],0
n1,1,0.087398,2.921654,[16 14] ; [23 43],[12.1875 17.8125] ; [26.8125 39.1875],0
v3,1,0.113655,2.50265,[26 84] ; [ 37 188],[20.68656716 89.31343284] ; [ 42.31343284 182.68656716],0
d4,1,0.176173,1.829613,[90 23] ; [167  62],[84.91520468 28.08479532] ; [172.08479532  56.91520468],0
u3,1,0.213141,1.54996,[19 12] ; [46 49],[15.99206349 15.00793651] ; [49.00793651 45.99206349],0
r2,1,0.244503,1.354442,[103  10] ; [198  30],[99.74486804 13.25513196] ; [201.25513196  26.74486804],0
a8,1,0.286138,1.137702,[19 86] ; [ 29 185],[15.79937304 89.20062696] ; [ 32.20062696 181.79937304],0
