Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.00069,11.517037,[ 8 28] ; [8 2],[12.52173913 23.47826087] ; [3.47826087 6.52173913],1
b2,1,0.00069,11.517037,[ 8 28] ; [8 2],[12.52173913 23.47826087] ; [3.47826087 6.52173913],1
a2,1,0.006333,7.453121,[ 3 55] ; [ 5 13],[ 6.10526316 51.89473684] ; [ 1.89473684 16.10526316],0
a3,1,0.009581,6.711184,[32 26] ; [16  2],[36.63157895 21.36842105] ; [11.36842105  6.63157895],0
d2,1,0.021747,5.265948,[18 40] ; [11  7],[22.13157895 35.86842105] ; [ 6.86842105 11.13157895],0
v2,1,0.028517,4.796521,[18 38] ; [11  7],[21.94594595 34.05405405] ; [ 7.05405405 10.94594595],0
p1,1,0.02887,4.775358,[ 3 55] ; [ 4 14],[ 5.34210526 52.65789474] ; [ 1.65789474 16.34210526],0
d4,1,0.056131,3.64818,[38 20] ; [16  2],[41.21052632 16.78947368] ; [12.78947368  5.21052632],0
d5,1,0.072501,3.225464,[35 23] ; [15  3],[38.15789474 19.84210526] ; [11.84210526  6.15789474],0
s4,1,0.083558,2.994301,[14 44] ; [ 1 17],[11.44736842 46.55263158] ; [ 3.55263158 14.44736842],0
s8,1,0.095562,2.778086,[15 43] ; [8 9],[17.78666667 40.21333333] ; [ 5.21333333 11.78666667],0
n6,1,0.099616,2.711684,[34 22] ; [14  3],[36.82191781 19.17808219] ; [11.17808219  5.82191781],0
d1,1,0.110073,2.553168,[20 38] ; [10  8],[22.89473684 35.10526316] ; [ 7.10526316 10.89473684],0
b1,1,0.135813,2.224771,[31 27] ; [ 6 12],[28.23684211 29.76315789] ; [8.76315789 9.23684211],0
s7,1,0.155036,2.021985,[22 34] ; [10  7],[24.54794521 31.45205479] ; [7.45205479 9.54794521],0
n4,1,0.198496,1.653404,[32 26] ; [13  5],[34.34210526 23.65789474] ; [10.65789474  7.34210526],0
a1,1,0.203411,1.61771,[ 2 56] ; [ 2 16],[ 3.05263158 54.94736842] ; [ 0.94736842 17.05263158],0
s2,1,0.215517,1.533976,[21 37] ; [9 8],[23.2 34.8] ; [ 6.8 10.2],0
s6,1,0.235538,1.407103,[23 35] ; [9 7],[25.08108108 32.91891892] ; [6.91891892 9.08108108],0
n3,1,0.251952,1.312445,[13  8] ; [4 6],[11.51612903  9.48387097] ; [5.48387097 4.51612903],0
p2,1,0.300957,1.069947,[44 13] ; [11  6],[42.36486486 14.63513514] ; [12.63513514  4.36486486],0
n5,1,0.443362,0.587567,[38 19] ; [13  4],[39.28378378 17.71621622] ; [11.71621622  5.28378378],0
r1,1,0.521304,0.411312,[19 39] ; [ 7 10],[20.10666667 37.89333333] ; [ 5.89333333 11.10666667],0
d3,1,0.528691,0.396908,[30 27] ; [11  7],[31.16 25.84] ; [9.84 8.16],0
p5,1,0.551861,0.353994,[ 7 51] ; [ 3 14],[ 7.73333333 50.26666667] ; [ 2.26666667 14.73333333],0
n1,1,0.554628,0.349091,[ 9 13] ; [3 7],[ 8.25 13.75] ; [3.75 6.25],0
u1,1,0.562404,0.335559,[ 4 54] ; [ 2 16],[ 4.57894737 53.42105263] ; [ 1.42105263 16.57894737],0
p8,1,0.563672,0.333386,[21 36] ; [ 8 10],[22.04 34.96] ; [ 6.96 11.04],0
a7,1,0.567869,0.326261,[31 27] ; [11  7],[32.05263158 25.94736842] ; [9.94736842 8.05263158],0
b5,1,0.58946,0.291188,[30 28] ; [ 8 10],[29. 29.] ; [9. 9.],0
a4,1,0.631994,0.229366,[19 39] ; [ 7 11],[19.84210526 38.15789474] ; [ 6.15789474 11.84210526],0
v4,1,0.648517,0.207775,[38 17] ; [12  4],[38.73239437 16.26760563] ; [11.26760563  4.73239437],0
a5,1,0.656988,0.197203,[32 26] ; [11  7],[32.81578947 25.18421053] ; [10.18421053  7.81578947],0
p7,1,0.65912,0.194595,[28 28] ; [9 7],[28.77777778 27.22222222] ; [8.22222222 7.77777778],0
p6,1,0.666846,0.185313,[13 44] ; [ 5 13],[13.68 43.32] ; [ 4.32 13.68],0
s1,1,0.688343,0.160885,[ 2 56] ; [ 1 17],[ 2.28947368 55.71052632] ; [ 0.71052632 17.28947368],0
b4,1,0.723891,0.124795,[36 22] ; [12  6],[36.63157895 21.36842105] ; [11.36842105  6.63157895],0
p3,1,0.740574,0.109623,[18 40] ; [ 6 11],[18.56 39.44] ; [ 5.44 11.56],0
p11,1,0.745509,0.105344,[41 17] ; [12  6],[40.44736842 17.55263158] ; [12.55263158  5.44736842],0
s5,1,0.759189,0.093971,[12 45] ; [ 3 14],[11.55405405 45.44594595] ; [ 3.44594595 13.55405405],0
p4,1,0.789705,0.071126,[26 32] ; [ 7 10],[25.52 32.48] ; [7.48 9.52],0
a6,1,0.797979,0.065517,[27 31] ; [9 9],[27.47368421 30.52631579] ; [8.52631579 9.47368421],0
u2,1,0.869482,0.027,[14 11] ; [1 1],[13.88888889 11.11111111] ; [1.11111111 0.88888889],0
n2,1,0.873631,0.025296,[16  6] ; [7 3],[15.8125  6.1875] ; [7.1875 2.8125],0
r3,1,0.917233,0.010799,[37 19] ; [11  6],[36.82191781 19.17808219] ; [11.17808219  5.82191781],0
p9,1,0.92948,0.007832,[48  9] ; [15  3],[47.88  9.12] ; [15.12  2.88],0
s3,1,0.94928,0.004046,[24 32] ; [7 9],[24.11111111 31.88888889] ; [6.88888889 9.11111111],0
v1,1,0.976066,0.0009,[22 34] ; [ 7 11],[21.94594595 34.05405405] ; [ 7.05405405 10.94594595],0
r2,1,0.993457,6.7e-05,[35 19] ; [11  6],[34.98591549 19.01408451] ; [11.01408451  5.98591549],0
