Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.007197,7.223151,[ 33 220] ; [2 1],[ 34.58984375 218.41015625] ; [0.41015625 2.58984375],0
b2,1,0.013101,6.155398,[ 56 109] ; [5 1],[ 58.85964912 106.14035088] ; [2.14035088 3.85964912],0
b3,1,0.013101,6.155398,[ 56 109] ; [5 1],[ 58.85964912 106.14035088] ; [2.14035088 3.85964912],0
a1,1,0.020047,5.407808,[ 20 251] ; [2 4],[ 21.5234657 249.4765343] ; [0.4765343 5.5234657],0
p5,1,0.097232,2.750373,[ 37 231] ; [2 3],[ 38.28571429 229.71428571] ; [0.71428571 4.28571429],0
s8,1,0.102441,2.667129,[134 136] ; [5 1],[135.97826087 134.02173913] ; [3.02173913 2.97826087],0
d2,1,0.137649,2.204046,[143 128] ; [5 1],[144.79422383 126.20577617] ; [3.20577617 2.79422383],0
a2,1,0.150809,2.064044,[ 66 205] ; [3 3],[ 67.50541516 203.49458484] ; [1.49458484 4.50541516],0
s7,1,0.154781,2.024487,[139 118] ; [5 1],[140.7148289 116.2851711] ; [3.2851711 2.7148289],0
d1,1,0.194038,1.686688,[154 117] ; [5 1],[155.55595668 115.44404332] ; [3.44404332 2.55595668],0
s3,1,0.246191,1.344792,[160 107] ; [5 1],[161.37362637 105.62637363] ; [3.62637363 2.37362637],0
u1,1,0.295015,1.096594,[ 46 225] ; [2 4],[ 46.96028881 224.03971119] ; [1.03971119 4.96028881],0
p4,1,0.340741,0.907642,[175  96] ; [5 1],[176.10108303  94.89891697] ; [3.89891697 2.10108303],0
p12,1,0.370304,0.802643,[ 19 250] ; [1 5],[ 19.56363636 249.43636364] ; [0.43636364 5.56363636],0
a4,1,0.394016,0.726512,[133 138] ; [4 2],[134.03249097 136.96750903] ; [2.96750903 3.03249097],0
p7,1,0.496198,0.463059,[187  78] ; [5 1],[187.74907749  77.25092251] ; [4.25092251 1.74907749],0
b5,1,0.511073,0.43187,[144 127] ; [4 2],[144.79422383 126.20577617] ; [3.20577617 2.79422383],0
s2,1,0.558402,0.342479,[147 122] ; [4 2],[147.70545455 121.29454545] ; [3.29454545 2.70545455],0
p8,1,0.594588,0.283236,[150 119] ; [4 2],[150.64 118.36] ; [3.36 2.64],0
b4,1,0.642615,0.215338,[155 116] ; [4 2],[155.55595668 115.44404332] ; [3.44404332 2.55595668],0
p6,1,0.6651,0.187387,[110 157] ; [3 3],[110.51648352 156.48351648] ; [2.48351648 3.51648352],0
p3,1,0.670091,0.181496,[156 113] ; [4 2],[156.50909091 112.49090909] ; [3.49090909 2.50909091],0
d5,1,0.804058,0.061553,[213  56] ; [5 1],[213.24363636  55.75636364] ; [4.75636364 1.24363636],0
r1,1,0.807365,0.059452,[214  56] ; [5 1],[214.23913043  55.76086957] ; [4.76086957 1.23913043],0
n4,1,0.82673,0.047916,[216  55] ; [5 1],[216.21299639  54.78700361] ; [4.78700361 1.21299639],0
s5,1,0.867886,0.02767,[ 96 166] ; [2 4],[ 95.80597015 166.19402985] ; [2.19402985 3.80597015],0
a6,1,0.895806,0.017151,[173  97] ; [4 2],[173.15217391  96.84782609] ; [3.84782609 2.15217391],0
a7,1,0.97448,0.001023,[181  88] ; [4 2],[180.96363636  88.03636364] ; [4.03636364 1.96363636],0
