Feature,DoF,P Value,Chi Square,Is Significant
s8,1,4.6e-05,16.601625,1
p5,1,0.002398,9.216999,1
p12,1,0.003089,8.754116,1
a8,1,0.003187,8.697467,1
s7,1,0.003983,8.291384,1
b3,1,0.015153,5.898556,0
b2,1,0.015153,5.898556,0
p8,1,0.016399,5.759562,0
p7,1,0.020018,5.410353,0
p4,1,0.020018,5.410353,0
p6,1,0.027935,4.832077,0
d1,1,0.050427,3.827193,0
s3,1,0.052147,3.771042,0
s2,1,0.05864,3.575434,0
a1,1,0.066824,3.359362,0
d2,1,0.067728,3.337246,0
p3,1,0.106099,2.611391,0
a2,1,0.109548,2.560734,0
u1,1,0.163228,1.944062,0
a4,1,0.209355,1.575881,0
r1,1,0.2252,1.470927,0
n4,1,0.2252,1.470927,0
s5,1,0.243779,1.358609,0
d5,1,0.44074,0.594355,0
b4,1,0.568078,0.325908,0
a6,1,0.612048,0.257204,0
a7,1,0.763924,0.090199,0
b5,1,0.874238,0.025052,0
