Feature,DoF,P Value,Chi Square,Is Significant
p1,1,0.148425,2.088358,0
a6,1,0.168694,1.894507,0
p9,1,0.174161,1.846761,0
p7,1,0.289983,1.119701,0
p2,1,0.294469,1.099078,0
b3,1,0.312863,1.018553,0
b2,1,0.312863,1.018553,0
b5,1,0.334285,0.932227,0
b4,1,0.342599,0.900682,0
a4,1,0.350155,0.872896,0
s8,1,0.388079,0.744951,0
u1,1,0.43581,0.607289,0
p3,1,0.476433,0.507017,0
a2,1,0.560958,0.338048,0
v1,1,0.657813,0.196191,0
a7,1,0.753829,0.098341,0
v2,1,0.784508,0.074774,0
d3,1,0.907813,0.013409,0
a3,1,0.950362,0.003875,0
