Feature,DoF,P Value,Chi Square,Is Significant
b2,1,0.016806,5.716484,0
b3,1,0.016806,5.716484,0
v3,1,0.021248,5.306327,0
p2,1,0.058375,3.582959,0
s8,1,0.099481,2.713846,0
a2,1,0.114404,2.492308,0
p7,1,0.115993,2.470604,0
a6,1,0.136641,2.215385,0
p3,1,0.136641,2.215385,0
v1,1,0.170904,1.875,0
d3,1,0.260531,1.265934,0
p4,1,0.260531,1.265934,0
a5,1,0.45675,0.553846,0
p1,1,0.45675,0.553846,0
s3,1,0.45675,0.553846,0
s6,1,0.45675,0.553846,0
a4,1,0.472766,0.515503,0
b4,1,0.598725,0.276923,0
p8,1,0.709815,0.138462,0
a7,1,0.709815,0.138462,0
p6,1,0.813945,0.055385,0
s2,1,0.813945,0.055385,0
s7,1,0.813945,0.055385,0
u1,1,0.95218,0.003596,0
b5,1,0.95218,0.003596,0
v2,1,1.0,0.0,0
