Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.027046,4.88788,0
p1,1,0.153357,2.038533,0
a6,1,0.173124,1.855682,0
p7,1,0.185264,1.75488,0
p2,1,0.278859,1.172644,0
b3,1,0.313788,1.014665,0
b2,1,0.313788,1.014665,0
b4,1,0.372801,0.794308,0
b5,1,0.382796,0.761702,0
a4,1,0.421646,0.645723,0
u1,1,0.459086,0.548122,0
s8,1,0.479395,0.500239,0
a2,1,0.65395,0.200956,0
p3,1,0.661975,0.191134,0
v1,1,0.723069,0.125572,0
v2,1,0.781991,0.076577,0
a7,1,0.802279,0.0627,0
a3,1,0.82834,0.047016,0
d3,1,0.929215,0.007891,0
