Feature,DoF,P Value,Chi Square,Is Significant
p5,1,0.000239,13.498653,1
v3,1,0.004654,8.009326,1
b3,1,0.00485,7.934694,1
b2,1,0.00485,7.934694,1
a2,1,0.005141,7.829312,1
a1,1,0.005568,7.685201,1
s8,1,0.014805,5.939552,0
p3,1,0.020987,5.327881,0
s7,1,0.051922,3.778268,0
p4,1,0.0552,3.676039,0
d1,1,0.060873,3.513441,0
v2,1,0.06843,3.320286,0
a8,1,0.072249,3.231173,0
p8,1,0.098563,2.728647,0
u1,1,0.105095,2.626474,0
d2,1,0.124366,2.361462,0
s2,1,0.130332,2.28854,0
a4,1,0.139882,2.179256,0
p7,1,0.149988,2.072368,0
s3,1,0.160876,1.965977,0
p12,1,0.168518,1.896075,0
p6,1,0.22711,1.458873,0
n4,1,0.314236,1.012786,0
d5,1,0.432312,0.616605,0
b5,1,0.486542,0.484164,0
r1,1,0.528249,0.397759,0
p2,1,0.528249,0.397759,0
a6,1,0.698463,0.150076,0
s5,1,0.704304,0.144033,0
a7,1,0.799133,0.064755,0
b4,1,0.819922,0.051823,0
