Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,24.479861,[ 59 494] ; [31 78],[ 75.18126888 477.81873112] ; [14.81873112 94.18126888],1
p12,1,2e-06,22.607778,[ 53 502] ; [28 80],[ 67.80542986 487.19457014] ; [13.19457014 94.80542986],1
p8,1,0.00232,9.27746,[350 201] ; [85 23],[363.71016692 187.28983308] ; [71.28983308 36.71016692],0
p6,1,0.025686,4.977031,[267 283] ; [64 42],[277.5152439 272.4847561] ; [53.4847561 52.5152439],0
p3,1,0.044086,4.053267,[372 183] ; [83 25],[380.88235294 174.11764706] ; [74.11764706 33.88235294],0
p9,1,0.050204,3.834642,[480  73] ; [101   7],[486.07110439  66.92889561] ; [94.92889561 13.07110439],0
p10,1,0.101497,2.681865,[466  85] ; [97 10],[471.44832827  79.55167173] ; [91.55167173 15.44832827],0
p7,1,0.173625,1.851361,[401 149] ; [84 22],[406.63109756 143.36890244] ; [78.36890244 27.63109756],0
p11,1,0.298001,1.083118,[451 105] ; [93 16],[454.83308271 101.16691729] ; [89.16691729 19.83308271],0
p2,1,0.524114,0.40579,[493  60] ; [94 14],[491.09077156  61.90922844] ; [95.90922844 12.09077156],0
b1,1,0.533856,0.387046,[227 329] ; [48 61],[229.92481203 326.07518797] ; [45.07518797 63.92481203],0
