Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,75.196212,[122 118] ; [475 114],[172.83474065  67.16525935] ; [424.16525935 164.83474065],1
p9,1,0.0,71.541125,[140  98] ; [505  84],[185.62273277  52.37726723] ; [459.37726723 129.62273277],1
p2,1,0.0,42.101012,[152  95] ; [492 105],[188.46919431  58.53080569] ; [455.53080569 141.46919431],1
p8,1,0.0,29.139434,[ 74 170] ; [299 290],[109.25810324 134.74189676] ; [263.74189676 325.25810324],1
p7,1,0.000133,14.604714,[109 133] ; [345 234],[133.82216809 108.17783191] ; [320.17783191 258.82216809],1
p4,1,0.00088,11.064984,[105 140] ; [329 264],[126.88544153 118.11455847] ; [307.11455847 285.88544153],1
p12,1,0.002453,9.175273,[  6 240] ; [ 48 547],[ 15.79548157 230.20451843] ; [ 38.20451843 556.79548157],0
p3,1,0.055767,3.658995,[ 89 157] ; [259 339],[101.43127962 144.56872038] ; [246.56872038 351.43127962],0
p5,1,0.088095,2.908849,[ 16 229] ; [ 61 533],[ 22.48510131 222.51489869] ; [ 54.51489869 539.48510131],0
p6,1,0.131743,2.27185,[ 66 176] ; [192 397],[ 75.13357401 166.86642599] ; [182.86642599 406.13357401],0
p1,1,0.877088,0.02392,[ 22 226] ; [ 51 546],[ 21.42485207 226.57514793] ; [ 51.57514793 545.42485207],0
