Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.564071,[505  84] ; [283 105],[475.05834186 113.94165814] ; [312.94165814  75.05834186],1
p11,1,1e-06,24.155729,[485 117] ; [266 132],[452.102 149.898] ; [298.898  99.102],1
n6,1,2.9e-05,17.471762,[505  88] ; [295 101],[479.67644085 113.32355915] ; [320.32355915  75.67644085],1
r3,1,0.000116,14.853275,[566  31] ; [347  47],[550.0110999  46.9889001] ; [362.9889001  31.0110999],1
a7,1,0.000137,14.548783,[446 153] ; [250 146],[418.99899497 180.00100503] ; [277.00100503 118.99899497],1
r2,1,0.000555,11.922055,[559  32] ; [348  45],[544.75304878  46.24695122] ; [362.24695122  30.75304878],1
r4,1,0.000693,11.507869,[531  71] ; [320  78],[512.302  89.698] ; [338.698  59.302],1
p10,1,0.000914,10.993368,[475 114] ; [279 111],[453.63227783 135.36772217] ; [300.36772217  89.63227783],1
a1,1,0.001005,10.81865,[ 20 582] ; [ 32 366],[ 31.304 570.696] ; [ 20.696 377.304],0
n1,1,0.001052,10.734489,[ 45 105] ; [51 50],[57.37051793 92.62948207] ; [38.62948207 62.37051793],0
d3,1,0.002283,9.307104,[422 178] ; [241 154],[399.79899497 200.20100503] ; [263.20100503 131.79899497],0
p2,1,0.002644,9.038272,[492 105] ; [292 100],[473.25379171 123.74620829] ; [310.74620829  81.25379171],0
a6,1,0.003467,8.543646,[416 184] ; [239 157],[394.57831325 205.42168675] ; [260.42168675 135.57831325],0
p3,1,0.004954,7.89604,[259 339] ; [206 187],[280.59535822 317.40464178] ; [184.40464178 208.59535822],0
v4,1,0.008723,6.878692,[561  35] ; [353  41],[550.24646465  45.75353535] ; [363.75353535  30.24646465],0
v2,1,0.010565,6.537002,[331 246] ; [186 194],[311.71264368 265.28735632] ; [205.28735632 174.71264368],0
a4,1,0.025726,4.974366,[243 356] ; [189 207],[260.06834171 338.93165829] ; [171.93165829 224.06834171],0
u3,1,0.035563,4.417937,[100  96] ; [71 41],[108.81818182  87.18181818] ; [62.18181818 49.81818182],0
d2,1,0.043515,4.075299,[269 329] ; [204 192],[284.56136821 313.43863179] ; [188.43863179 207.56136821],0
u4,1,0.061435,3.498218,[  8 594] ; [ 12 385],[ 12.05205205 589.94794795] ; [  7.94794795 389.05205205],0
p6,1,0.117503,2.450287,[192 397] ; [145 242],[203.37397541 385.62602459] ; [133.62602459 253.37397541],0
n2,1,0.127455,2.323234,[113  38] ; [68 35],[107.6023622  43.3976378] ; [73.3976378 29.6023622],0
d5,1,0.14989,2.073372,[481 120] ; [301  94],[471.86947791 129.13052209] ; [310.13052209  84.86947791],0
a3,1,0.168087,1.899919,[404 193] ; [285 112],[413.81589537 183.18410463] ; [275.18410463 121.81589537],0
b5,1,0.187448,1.737563,[370 232] ; [228 170],[359.996 242.004] ; [238.004 159.996],0
r1,1,0.203479,1.617227,[467 130] ; [296 100],[458.72205438 138.27794562] ; [304.27794562  91.72205438],0
p12,1,0.254724,1.29721,[ 48 547] ; [ 24 367],[ 43.44827586 551.55172414] ; [ 28.55172414 362.44827586],0
d1,1,0.269743,1.218054,[345 257] ; [214 184],[336.518 265.482] ; [222.482 175.518],0
p5,1,0.332965,0.937333,[ 61 533] ; [ 48 344],[ 65.6653144 528.3346856] ; [ 43.3346856 348.6653144],0
