Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,61.348189,[ 44 826] ; [28 80],[ 64.04907975 805.95092025] ; [  7.95092025 100.04907975],1
p1,1,0.0,58.11988,[ 56 816] ; [31 78],[ 77.33333333 794.66666667] ; [ 9.66666667 99.33333333],1
p3,1,0.0,43.26931,[379 495] ; [83 25],[411.18940937 462.81059063] ; [50.81059063 57.18940937],1
p4,1,0.0,42.915387,[459 412] ; [92 15],[490.71676892 380.28323108] ; [60.28323108 46.71676892],1
p8,1,0.0,40.479423,[399 464] ; [85 23],[430.16683831 432.83316169] ; [53.83316169 54.16683831],1
p6,1,0.0,34.276743,[273 589] ; [64 42],[300.09710744 561.90289256] ; [36.90289256 69.09710744],1
p7,1,4e-05,16.882663,[501 354] ; [84 22],[520.47346514 334.52653486] ; [64.52653486 41.47346514],1
p9,1,0.000316,12.974948,[680 181] ; [101   7],[693.95356037 167.04643963] ; [87.04643963 20.95356037],1
p10,1,0.000361,12.724027,[651 214] ; [97 10],[665.65843621 199.34156379] ; [82.34156379 24.65843621],1
p11,1,0.009186,6.786211,[648 229] ; [93 16],[659.0841785 217.9158215] ; [81.9158215 27.0841785],0
p2,1,0.042855,4.101098,[688 186] ; [94 14],[695.99592668 178.00407332] ; [86.00407332 21.99592668],0
b1,1,0.332965,0.937333,[344 533] ; [48 61],[348.6653144 528.3346856] ; [43.3346856 65.6653144],0
