Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,27.05308,[ 88 289] ; [248 383],[125.66666667 251.33333333] ; [210.33333333 420.66666667],1
p2,1,0.000886,11.051692,[244 135] ; [472 164],[267.35369458 111.64630542] ; [448.64630542 187.35369458],1
p10,1,0.00794,7.046873,[244 129] ; [462 168],[262.55034895 110.44965105] ; [443.44965105 186.55034895],0
p3,1,0.008938,6.835108,[111 266] ; [239 398],[130.12820513 246.87179487] ; [219.87179487 417.12820513],0
p11,1,0.011325,6.413542,[246 133] ; [463 176],[263.95972495 115.04027505] ; [445.04027505 193.95972495],0
p1,1,0.06516,3.400933,[ 35 343] ; [ 39 596],[ 27.6130306 350.3869694] ; [ 46.3869694 588.6130306],0
p4,1,0.104419,2.636717,[149 229] ; [283 351],[161.35968379 216.64031621] ; [270.64031621 363.35968379],0
p9,1,0.164218,1.934948,[267 102] ; [477 148],[276.19315895  92.80684105] ; [467.80684105 157.19315895],0
p12,1,0.192241,1.700357,[ 25 351] ; [ 30 605],[ 20.45499505 355.54500495] ; [ 34.54500495 600.45499505],0
p5,1,0.612494,0.256559,[ 22 354] ; [ 42 589],[ 23.89672294 352.10327706] ; [ 40.10327706 590.89672294],0
b1,1,0.902159,0.015113,[145 234] ; [242 397],[144.07956778 234.92043222] ; [242.92043222 396.07956778],0
