Feature,DoF,P Value,Chi Square,Is Significant
p6,1,0.192167,1.700929,0
b4,1,0.197867,1.658048,0
p1,1,0.239249,1.385013,0
s8,1,0.281876,1.158021,0
d2,1,0.335572,0.927275,0
a8,1,0.345121,0.891316,0
p7,1,0.348111,0.880333,0
v1,1,0.426412,0.632577,0
d1,1,0.482304,0.493649,0
a6,1,0.524587,0.404865,0
p8,1,0.533345,0.388014,0
d3,1,0.588579,0.29257,0
b2,1,0.601414,0.272868,0
b3,1,0.601414,0.272868,0
a7,1,0.653047,0.202081,0
p9,1,0.681321,0.168643,0
u1,1,0.686594,0.162797,0
p2,1,0.732348,0.116966,0
d4,1,0.739758,0.110339,0
p3,1,0.742284,0.108129,0
s5,1,0.777344,0.079966,0
b5,1,0.833594,0.044139,0
v2,1,0.848261,0.03661,0
a4,1,0.98207,0.000505,0
a3,1,0.989686,0.000167,0
a2,1,0.993141,7.4e-05,0
