Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000467,12.244675,[13  3] ; [ 63 110],[6.43386243 9.56613757] ; [ 69.56613757 103.43386243],1
b3,1,0.000467,12.244675,[13  3] ; [ 63 110],[6.43386243 9.56613757] ; [ 69.56613757 103.43386243],1
d1,1,0.004603,8.029234,[15  1] ; [162 117],[9.6 6.4] ; [167.4 111.6],0
a2,1,0.007966,7.041058,[9 7] ; [ 72 207],[ 4.39322034 11.60677966] ; [ 76.60677966 202.39322034],0
d2,1,0.008259,6.97642,[14  2] ; [150 129],[8.89491525 7.10508475] ; [155.10508475 123.89491525],0
u1,1,0.010934,6.475967,[7 9] ; [ 50 229],[ 3.09152542 12.90847458] ; [ 53.90847458 225.09152542],0
v3,1,0.011622,6.367573,[9 3] ; [104 166],[4.80851064 7.19148936] ; [108.19148936 161.80851064],0
s8,1,0.017419,5.653707,[13  3] ; [141 137],[8.38095238 7.61904762] ; [145.61904762 132.38095238],0
p12,1,0.019649,5.442856,[ 4 12] ; [ 22 255],[ 1.41979522 14.58020478] ; [ 24.58020478 252.41979522],0
v1,1,0.035582,4.417046,[11  2] ; [148 121],[7.32978723 5.67021277] ; [151.67021277 117.32978723],0
a4,1,0.053364,3.732482,[12  4] ; [140 139],[8.2440678 7.7559322] ; [143.7559322 135.2440678],0
p5,1,0.05607,3.649989,[ 5 10] ; [ 41 235],[ 2.37113402 12.62886598] ; [ 43.62886598 232.37113402],0
v2,1,0.0866,2.936475,[10  3] ; [139 125],[6.99277978 6.00722022] ; [142.00722022 121.99277978],0
s6,1,0.087733,2.915485,[14  2] ; [181  89],[10.90909091  5.09090909] ; [184.09090909  85.90909091],0
s3,1,0.10379,2.646319,[13  3] ; [167 107],[9.93103448 6.06896552] ; [170.06896552 103.93103448],0
s7,1,0.11257,2.51777,[12  4] ; [145 120],[8.93950178 7.06049822] ; [148.06049822 116.93950178],0
a1,1,0.129132,2.302913,[ 3 13] ; [ 22 257],[ 1.3559322 14.6440678] ; [ 23.6440678 255.3559322],0
s2,1,0.131615,2.273353,[12  4] ; [154 122],[9.09589041 6.90410959] ; [156.90410959 119.09589041],0
p2,1,0.135249,2.231199,[11  5] ; [230  46],[13.20547945  2.79452055] ; [227.79452055  48.20547945],0
a3,1,0.141364,2.163045,[15  1] ; [218  60],[12.68027211  3.31972789] ; [220.31972789  57.68027211],0
d3,1,0.157538,1.997697,[13  3] ; [177 100],[10.37542662  5.62457338] ; [179.62457338  97.37542662],0
n6,1,0.215725,1.532587,[15  1] ; [226  51],[13.16040956  2.83959044] ; [227.83959044  49.16040956],0
n5,1,0.217575,1.520297,[15  1] ; [227  51],[13.17006803  2.82993197] ; [228.82993197  49.17006803],0
b5,1,0.230857,1.435573,[11  5] ; [149 130],[8.6779661 7.3220339] ; [151.3220339 127.6779661],0
n3,1,0.298593,1.080467,[2 2] ; [40 14],[2.89655172 1.10344828] ; [39.10344828 14.89655172],0
a8,1,0.303961,1.056734,[ 3 10] ; [ 34 226],[ 1.76190476 11.23809524] ; [ 35.23809524 224.76190476],0
n2,1,0.332532,0.939012,[2 2] ; [40 15],[2.84745763 1.15254237] ; [39.15254237 15.84745763],0
s4,1,0.333235,0.936284,[ 1 14] ; [ 44 232],[ 2.31958763 12.68041237] ; [ 42.68041237 233.31958763],0
a5,1,0.344093,0.895121,[14  2] ; [216  63],[12.47457627  3.52542373] ; [217.52542373  61.47457627],0
n1,1,0.370488,0.802027,[3 1] ; [28 26],[2.13793103 1.86206897] ; [28.86206897 25.13793103],0
p7,1,0.396268,0.719621,[9 6] ; [192  81],[10.46875  4.53125] ; [190.53125  82.46875],0
a6,1,0.402181,0.701796,[12  4] ; [180  98],[10.44897959  5.55102041] ; [181.55102041  96.44897959],0
r1,1,0.433393,0.613714,[14  2] ; [220  57],[12.778157  3.221843] ; [221.221843  55.778157],0
d5,1,0.433393,0.613714,[14  2] ; [220  57],[12.778157  3.221843] ; [221.221843  55.778157],0
n4,1,0.458632,0.549231,[14  2] ; [223  56],[12.85423729  3.14576271] ; [224.14576271  54.85423729],0
s5,1,0.537333,0.380506,[ 4 10] ; [ 98 169],[5.08185053 8.91814947] ; [ 96.91814947 170.08185053],0
s1,1,0.589107,0.291741,[ 1 15] ; [ 10 267],[ 0.60068259 15.39931741] ; [ 10.39931741 266.60068259],0
p1,1,0.673228,0.177849,[ 1 15] ; [ 26 251],[ 1.47440273 14.52559727] ; [ 25.52559727 251.47440273],0
p3,1,0.772511,0.083574,[10  6] ; [163 114],[9.44709898 6.55290102] ; [163.55290102 113.44709898],0
p4,1,0.773612,0.082745,[11  5] ; [182  97],[10.46779661  5.53220339] ; [182.53220339  96.46779661],0
p6,1,0.879001,0.023176,[7 9] ; [115 160],[6.70790378 9.29209622] ; [115.29209622 159.70790378],0
a7,1,0.917875,0.010632,[11  5] ; [187  90],[10.81228669  5.18771331] ; [187.18771331  89.81228669],0
v4,1,0.922235,0.00953,[15  1] ; [257  19],[14.90410959  1.09589041] ; [257.09589041  18.90410959],0
b4,1,0.976154,0.000893,[9 7] ; [158 121],[9.05762712 6.94237288] ; [157.94237288 121.05762712],0
p8,1,0.995765,2.8e-05,[9 7] ; [156 121],[9.01023891 6.98976109] ; [155.98976109 121.01023891],0
