Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.029273,4.751515,[3 2] ; [ 1 10],[1.25 3.75] ; [2.75 8.25],0
s2,1,0.110149,2.552083,[5 3] ; [11  1],[6.4 1.6] ; [9.6 2.4],0
p2,1,0.163187,1.944444,[7 1] ; [7 5],[5.6 2.4] ; [8.4 3.6],0
p7,1,0.197796,1.658574,[6 2] ; [5 6],[4.63157895 3.36842105] ; [6.36842105 4.63157895],0
p10,1,0.215508,1.534035,[6 1] ; [7 5],[4.78947368 2.21052632] ; [8.21052632 3.78947368],0
d3,1,0.291841,1.111111,[7 1] ; [8 4],[6. 2.] ; [9. 3.],0
d2,1,0.306488,1.045752,[6 2] ; [11  1],[6.8 1.2] ; [10.2  1.8],0
s3,1,0.306488,1.045752,[6 2] ; [11  1],[6.8 1.2] ; [10.2  1.8],0
a1,1,0.306488,1.045752,[2 6] ; [ 1 11],[1.2 6.8] ; [ 1.8 10.2],0
b4,1,0.36131,0.833333,[5 3] ; [5 7],[4. 4.] ; [6. 6.],0
p6,1,0.36131,0.833333,[3 5] ; [7 5],[4. 4.] ; [6. 6.],0
v3,1,0.398025,0.714286,[5 2] ; [4 4],[4.2 2.8] ; [4.8 3.2],0
s5,1,0.410117,0.678462,[3 5] ; [2 8],[2.22222222 5.77777778] ; [2.77777778 7.22222222],0
b5,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
p3,1,0.456057,0.555556,[4 4] ; [8 4],[4.8 3.2] ; [7.2 4.8],0
p8,1,0.456057,0.555556,[4 4] ; [8 4],[4.8 3.2] ; [7.2 4.8],0
p11,1,0.493563,0.46875,[7 1] ; [9 3],[6.4 1.6] ; [9.6 2.4],0
p12,1,0.493563,0.46875,[1 7] ; [3 9],[1.6 6.4] ; [2.4 9.6],0
a4,1,0.550097,0.357143,[5 3] ; [9 3],[5.6 2.4] ; [8.4 3.6],0
s7,1,0.648077,0.208333,[6 2] ; [10  2],[6.4 1.6] ; [9.6 2.4],0
s8,1,0.648077,0.208333,[6 2] ; [10  2],[6.4 1.6] ; [9.6 2.4],0
r1,1,0.683406,0.166317,[6 1] ; [11  1],[6.26315789 0.73684211] ; [10.73684211  1.26315789],0
n4,1,0.683406,0.166317,[6 1] ; [11  1],[6.26315789 0.73684211] ; [10.73684211  1.26315789],0
a7,1,0.690328,0.15873,[6 2] ; [8 4],[5.6 2.4] ; [8.4 3.6],0
a6,1,0.690328,0.15873,[6 2] ; [8 4],[5.6 2.4] ; [8.4 3.6],0
d5,1,0.760907,0.092593,[7 1] ; [11  1],[7.2 0.8] ; [10.8  1.2],0
u1,1,0.852179,0.034722,[3 5] ; [5 7],[3.2 4.8] ; [4.8 7.2],0
p5,1,0.864591,0.029082,[2 5] ; [3 9],[1.84210526 5.15789474] ; [3.15789474 8.84210526],0
v2,1,0.949272,0.004048,[5 2] ; [7 3],[4.94117647 2.05882353] ; [7.05882353 2.94117647],0
b3,1,1.0,0.0,[6 2] ; [9 3],[6. 2.] ; [9. 3.],0
p4,1,1.0,0.0,[6 2] ; [9 3],[6. 2.] ; [9. 3.],0
a2,1,1.0,0.0,[4 4] ; [6 6],[4. 4.] ; [6. 6.],0
b2,1,1.0,0.0,[6 2] ; [9 3],[6. 2.] ; [9. 3.],0
