Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000611,11.740888,[13  3] ; [ 64 108],[6.55319149 9.44680851] ; [ 70.44680851 101.55319149],1
b3,1,0.000611,11.740888,[13  3] ; [ 64 108],[6.55319149 9.44680851] ; [ 70.44680851 101.55319149],1
d1,1,0.004129,8.226254,[15  1] ; [153 113],[9.53191489 6.46808511] ; [158.46808511 107.53191489],0
d2,1,0.004239,8.178677,[14  2] ; [135 131],[8.45390071 7.54609929] ; [140.54609929 125.45390071],0
a2,1,0.006535,7.396557,[9 7] ; [ 67 199],[ 4.31205674 11.68794326] ; [ 71.68794326 194.31205674],0
u1,1,0.008516,6.921702,[7 9] ; [ 46 220],[ 3.0070922 12.9929078] ; [ 49.9929078 216.0070922],0
s8,1,0.009606,6.706578,[13  3] ; [126 137],[7.97132616 8.02867384] ; [131.02867384 131.97132616],0
v3,1,0.012807,6.195577,[9 3] ; [100 157],[4.86245353 7.13754647] ; [104.13754647 152.86245353],0
p12,1,0.016714,5.726175,[ 4 12] ; [ 20 241],[ 1.38628159 14.61371841] ; [ 22.61371841 238.38628159],0
v1,1,0.036111,4.39184,[11  2] ; [141 115],[7.34572491 5.65427509] ; [144.65427509 111.34572491],0
s7,1,0.040663,4.190016,[12  4] ; [123 130],[8.02973978 7.97026022] ; [126.97026022 126.02973978],0
a4,1,0.046976,3.946244,[12  4] ; [131 134],[8.14234875 7.85765125] ; [134.85765125 130.14234875],0
s6,1,0.049225,3.867661,[14  2] ; [162  94],[10.35294118  5.64705882] ; [165.64705882  90.35294118],0
s2,1,0.059556,3.549697,[12  4] ; [133 129],[8.34532374 7.65467626] ; [136.65467626 125.34532374],0
s3,1,0.066934,3.356665,[13  3] ; [151 109],[9.50724638 6.49275362] ; [154.49275362 105.50724638],0
p5,1,0.072056,3.23555,[ 5 10] ; [ 41 222],[ 2.48201439 12.51798561] ; [ 43.51798561 219.48201439],0
a3,1,0.084305,2.979882,[15  1] ; [198  67],[12.12811388  3.87188612] ; [200.87188612  64.12811388],0
a1,1,0.092699,2.826867,[ 3 13] ; [ 19 247],[ 1.24822695 14.75177305] ; [ 20.75177305 245.24822695],0
v2,1,0.117276,2.453324,[10  3] ; [137 113],[7.2661597 5.7338403] ; [139.7338403 110.2661597],0
d3,1,0.142666,2.148963,[13  3] ; [168  98],[10.26950355  5.73049645] ; [170.73049645  95.26950355],0
n5,1,0.168319,1.897847,[15  1] ; [212  54],[12.87943262  3.12056738] ; [214.12056738  51.87943262],0
n6,1,0.176967,1.822908,[15  1] ; [213  53],[12.93617021  3.06382979] ; [215.06382979  50.93617021],0
p2,1,0.201197,1.633668,[11  5] ; [214  48],[12.94964029  3.05035971] ; [212.05035971  49.94964029],0
b5,1,0.291154,1.114275,[11  5] ; [147 119],[8.96453901 7.03546099] ; [149.03546099 116.96453901],0
n3,1,0.292485,1.108149,[2 2] ; [35 12],[2.90196078 1.09803922] ; [34.09803922 12.90196078],0
d5,1,0.327219,0.959872,[14  2] ; [204  61],[12.41281139  3.58718861] ; [205.58718861  59.41281139],0
a5,1,0.330552,0.946736,[14  2] ; [205  61],[12.42553191  3.57446809] ; [206.57446809  59.42553191],0
n2,1,0.331061,0.944745,[2 2] ; [35 13],[2.84615385 1.15384615] ; [34.15384615 13.84615385],0
p7,1,0.343898,0.895847,[9 6] ; [185  74],[10.62043796  4.37956204] ; [183.37956204  75.62043796],0
a8,1,0.37172,0.797908,[ 3 10] ; [ 35 213],[ 1.89272031 11.10727969] ; [ 36.10727969 211.89272031],0
r1,1,0.403731,0.697186,[14  2] ; [208  56],[12.68571429  3.31428571] ; [209.31428571  54.68571429],0
s4,1,0.41174,0.67377,[ 1 14] ; [ 37 224],[ 2.06521739 12.93478261] ; [ 35.93478261 225.06521739],0
a6,1,0.426104,0.63342,[12  4] ; [173  92],[10.53380783  5.46619217] ; [174.46619217  90.53380783],0
n1,1,0.445492,0.582097,[3 1] ; [26 21],[2.2745098 1.7254902] ; [26.7254902 20.2745098],0
n4,1,0.550086,0.357163,[14  2] ; [217  49],[13.10638298  2.89361702] ; [217.89361702  48.10638298],0
s1,1,0.554659,0.349036,[ 1 15] ; [  9 254],[ 0.5734767 15.4265233] ; [  9.4265233 253.5734767],0
p4,1,0.701123,0.147306,[11  5] ; [169  95],[10.28571429  5.71428571] ; [169.71428571  94.28571429],0
a7,1,0.709048,0.139229,[11  5] ; [170  95],[10.30604982  5.69395018] ; [170.69395018  94.30604982],0
p3,1,0.733246,0.116152,[10  6] ; [153 110],[9.34767025 6.65232975] ; [153.65232975 109.34767025],0
p1,1,0.765203,0.089195,[ 1 15] ; [ 22 241],[ 1.31899642 14.68100358] ; [ 21.68100358 241.31899642],0
p8,1,0.790181,0.070796,[9 7] ; [155 105],[9.50724638 6.49275362] ; [154.49275362 105.50724638],0
p10,1,0.807002,0.05968,[13  3] ; [219  43],[13.35251799  2.64748201] ; [218.64748201  43.35251799],0
s5,1,0.810981,0.057198,[ 4 10] ; [ 80 173],[4.40449438 9.59550562] ; [ 79.59550562 173.40449438],0
p6,1,0.920013,0.010084,[7 9] ; [110 149],[6.80727273 9.19272727] ; [110.19272727 148.80727273],0
b4,1,0.944129,0.004911,[9 7] ; [152 114],[9.13475177 6.86524823] ; [151.86524823 114.13475177],0
v4,1,0.973028,0.001143,[15  1] ; [246  17],[14.96774194  1.03225806] ; [246.03225806  16.96774194],0
