Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,8.5e-05,15.444732,[12  1] ; [134 219],[5.18579235 7.81420765] ; [140.81420765 212.18579235],1
b3,1,8.5e-05,15.444732,[12  1] ; [134 219],[5.18579235 7.81420765] ; [140.81420765 212.18579235],1
a1,1,9.1e-05,15.306782,[ 3 10] ; [ 18 576],[ 0.44975288 12.55024712] ; [ 20.55024712 573.44975288],1
s8,1,0.000133,14.596585,[12  1] ; [234 356],[5.30348259 7.69651741] ; [240.69651741 349.30348259],1
a2,1,0.0004,12.532237,[8 5] ; [123 471],[ 2.80560132 10.19439868] ; [128.19439868 465.80560132],1
p5,1,0.000449,12.317261,[5 7] ; [ 59 528],[ 1.28213689 10.71786311] ; [ 62.71786311 524.28213689],1
v3,1,0.002164,9.405256,[8 1] ; [219 349],[3.5407279 5.4592721] ; [223.4592721 344.5407279],0
p12,1,0.003605,8.472799,[4 9] ; [ 47 540],[ 1.105 11.895] ; [ 49.895 537.105],0
d2,1,0.004132,8.224985,[11  2] ; [263 327],[5.90713101 7.09286899] ; [268.09286899 321.90713101],0
s7,1,0.004672,8.002197,[11  2] ; [256 312],[5.97418244 7.02581756] ; [261.02581756 306.97418244],0
s3,1,0.004952,7.896763,[12  1] ; [307 272],[7.00506757 5.99493243] ; [311.99493243 267.00506757],0
a4,1,0.007878,7.061057,[10  3] ; [238 353],[5.33774834 7.66225166] ; [242.66225166 348.33774834],0
s2,1,0.00813,7.004594,[11  2] ; [279 308],[6.28333333 6.71666667] ; [283.71666667 303.28333333],0
d1,1,0.010928,6.476925,[12  1] ; [339 255],[7.51729819 5.48270181] ; [343.48270181 250.51729819],0
v1,1,0.015374,5.873099,[9 1] ; [297 281],[5.20408163 4.79591837] ; [300.79591837 277.20408163],0
p3,1,0.015443,5.865168,[10  3] ; [255 335],[5.71310116 7.28689884] ; [259.28689884 330.71310116],0
p4,1,0.034727,4.458566,[11  2] ; [323 262],[7.26086957 5.73913043] ; [326.73913043 258.26086957],0
s6,1,0.036496,4.373795,[12  1] ; [375 208],[8.44127517 4.55872483] ; [378.55872483 204.44127517],0
u1,1,0.041412,4.159095,[5 8] ; [100 494],[ 2.24876442 10.75123558] ; [102.75123558 491.24876442],0
a5,1,0.075673,3.15546,[12  1] ; [412 181],[9.09570957 3.90429043] ; [414.90429043 178.09570957],0
p6,1,0.105975,2.613242,[7 6] ; [189 392],[4.28956229 8.71043771] ; [191.71043771 389.28956229],0
a8,1,0.109083,2.567458,[3 7] ; [ 68 465],[1.30755064 8.69244936] ; [ 69.69244936 463.30755064],0
v2,1,0.14798,2.092947,[8 2] ; [326 244],[5.75862069 4.24137931] ; [328.24137931 241.75862069],0
p8,1,0.187966,1.733488,[9 4] ; [295 286],[6.65319865 6.34680135] ; [297.34680135 283.65319865],0
d3,1,0.256735,1.286276,[11  2] ; [415 177],[9.15371901 3.84628099] ; [416.84628099 175.15371901],0
s4,1,0.34675,0.885316,[ 1 12] ; [104 483],[ 2.275 10.725] ; [102.725 484.275],0
n4,1,0.369878,0.804075,[11  2] ; [434 156],[9.59369818 3.40630182] ; [435.40630182 154.59369818],0
s1,1,0.439173,0.598444,[ 1 12] ; [ 21 562],[ 0.47986577 12.52013423] ; [ 21.52013423 561.47986577],0
p7,1,0.473717,0.513292,[9 4] ; [339 232],[7.74657534 5.25342466] ; [340.25342466 230.74657534],0
a6,1,0.552878,0.352187,[10  3] ; [410 182],[9.02479339 3.97520661] ; [410.97520661 181.02479339],0
r1,1,0.575196,0.314066,[11  2] ; [461 129],[10.17578773  2.82421227] ; [461.82421227 128.17578773],0
a7,1,0.669966,0.181642,[9 4] ; [440 151],[9.66390728 3.33609272] ; [439.33609272 151.66390728],0
d5,1,0.676085,0.174567,[11  2] ; [474 119],[10.40429043  2.59570957] ; [474.59570957 118.40429043],0
b4,1,0.712959,0.135339,[7 6] ; [350 244],[7.64579901 5.35420099] ; [349.35420099 244.64579901],0
s5,1,0.787258,0.072831,[4 7] ; [185 384],[3.58448276 7.41551724] ; [185.41551724 383.58448276],0
p2,1,0.831501,0.045274,[11  2] ; [485 104],[10.71096346  2.28903654] ; [485.28903654 103.71096346],0
p1,1,0.902351,0.015053,[ 1 12] ; [ 51 538],[ 1.12292359 11.87707641] ; [ 50.87707641 538.12292359],0
b5,1,0.984869,0.00036,[8 5] ; [364 230],[7.96705107 5.03294893] ; [364.03294893 229.96705107],0
