Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,6e-05,16.113238,[162 273] ; [12  1],[168.95089286 266.04910714] ; [5.04910714 7.95089286],1
b3,1,6e-05,16.113238,[162 273] ; [12  1],[168.95089286 266.04910714] ; [5.04910714 7.95089286],1
s8,1,0.000959,10.904318,[340 396] ; [12  1],[345.89052069 390.10947931] ; [6.10947931 6.89052069],1
a2,1,0.000974,10.876393,[167 573] ; [8 5],[171.97875166 568.02124834] ; [3.02124834 9.97875166],1
a1,1,0.001453,10.136791,[ 32 708] ; [ 3 10],[ 34.39575033 705.60424967] ; [ 0.60424967 12.39575033],0
p5,1,0.002639,9.041669,[ 91 644] ; [5 7],[ 94.45783133 640.54216867] ; [ 1.54216867 10.45783133],0
v3,1,0.002978,8.820855,[287 431] ; [8 1],[291.3480055 426.6519945] ; [3.6519945 5.3480055],0
p12,1,0.005975,7.557679,[ 64 673] ; [4 9],[ 66.82133333 670.17866667] ; [ 1.17866667 11.82133333],0
d2,1,0.007237,7.213079,[347 390] ; [11  2],[351.79466667 385.20533333] ; [6.20533333 6.79466667],0
s3,1,0.009744,6.681158,[412 317] ; [12  1],[416.57142857 312.42857143] ; [7.42857143 5.57142857],0
d1,1,0.015414,5.868518,[437 303] ; [12  1],[441.24833997 298.75166003] ; [7.75166003 5.24833997],0
s7,1,0.015569,5.850874,[359 348] ; [11  2],[363.31944444 343.68055556] ; [6.68055556 6.31944444],0
a4,1,0.017331,5.66259,[324 415] ; [10  3],[328.22606383 410.77393617] ; [5.77393617 7.22606383],0
s2,1,0.022343,5.218871,[387 347] ; [11  2],[391.07362784 342.92637216] ; [6.92637216 6.07362784],0
v1,1,0.027491,4.859679,[398 324] ; [9 1],[401.43989071 320.56010929] ; [5.56010929 4.43989071],0
u1,1,0.045257,4.009021,[127 613] ; [5 8],[129.72111554 610.27888446] ; [ 2.27888446 10.72111554],0
s6,1,0.066096,3.377399,[496 228] ; [12  1],[499.03934871 224.96065129] ; [8.96065129 4.03934871],0
p3,1,0.069607,3.292273,[380 357] ; [10  3],[383.24 353.76] ; [6.76 6.24],0
p4,1,0.091181,2.8534,[454 282] ; [11  2],[456.92923899 279.07076101] ; [8.07076101 4.92923899],0
a8,1,0.113494,2.504886,[ 88 592] ; [3 7],[ 89.68115942 590.31884058] ; [1.31884058 8.68115942],0
a5,1,0.141899,2.15724,[551 189] ; [12  1],[553.28021248 186.71978752] ; [9.71978752 3.28021248],0
v2,1,0.151926,2.052803,[408 302] ; [8 2],[410.22222222 299.77777778] ; [5.77777778 4.22222222],0
b1,1,0.202046,1.627521,[271 469] ; [7 6],[273.20053121 466.79946879] ; [4.79946879 8.20053121],0
d3,1,0.231548,1.431325,[510 227] ; [11  2],[511.96933333 225.03066667] ; [9.03066667 3.96933333],0
p6,1,0.23195,1.428861,[275 456] ; [7 6],[277.07258065 453.92741935] ; [4.92741935 8.07258065],0
p8,1,0.31988,0.989438,[405 326] ; [9 4],[406.76612903 324.23387097] ; [7.23387097 5.76612903],0
s1,1,0.332846,0.937792,[ 22 710] ; [ 1 12],[ 22.59865772 709.40134228] ; [ 0.40134228 12.59865772],0
s4,1,0.340419,0.908851,[131 602] ; [ 1 12],[129.6997319 603.3002681] ; [ 2.3002681 10.6997319],0
a6,1,0.500697,0.453459,[503 235] ; [10  3],[504.11984021 233.88015979] ; [8.88015979 4.11984021],0
n4,1,0.565996,0.329428,[577 163] ; [11  2],[577.84860558 162.15139442] ; [10.15139442  2.84860558],0
r1,1,0.682848,0.166937,[590 147] ; [11  2],[590.58266667 146.41733333] ; [10.41733333  2.58266667],0
b4,1,0.742497,0.107944,[432 308] ; [7 6],[431.42098274 308.57901726] ; [7.57901726 5.42098274],0
a7,1,0.759469,0.093745,[539 199] ; [9 4],[538.51398136 199.48601864] ; [9.48601864 3.51398136],0
d5,1,0.777141,0.080115,[601 136] ; [11  2],[601.392 135.608] ; [10.608  2.392],0
p7,1,0.845835,0.037805,[480 240] ; [9 4],[480.32742156 239.67257844] ; [8.67257844 4.32742156],0
b5,1,0.849039,0.036231,[436 304] ; [8 5],[436.33466135 303.66533865] ; [7.66533865 5.33466135],0
p1,1,0.861792,0.030309,[ 67 670] ; [ 1 12],[ 66.82133333 670.17866667] ; [ 1.17866667 11.82133333],0
p2,1,0.931622,0.007362,[629 107] ; [11  2],[628.89185581 107.10814419] ; [11.10814419  1.89185581],0
s5,1,0.990245,0.000149,[258 455] ; [4 7],[258.01933702 454.98066298] ; [3.98066298 7.01933702],0
