Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.000573,11.862277,[2 6] ; [ 18 576],[0.26578073 7.73421927] ; [ 19.73421927 574.26578073],1
a8,1,0.001893,9.650755,[3 2] ; [ 68 465],[0.6598513 4.3401487] ; [ 70.3401487 462.6598513],0
b2,1,0.033491,4.520491,[6 2] ; [134 219],[3.10249307 4.89750693] ; [136.89750693 216.10249307],0
b3,1,0.033491,4.520491,[6 2] ; [134 219],[3.10249307 4.89750693] ; [136.89750693 216.10249307],0
s8,1,0.042818,4.10258,[6 2] ; [234 356],[3.21070234 4.78929766] ; [236.78929766 353.21070234],0
a2,1,0.043674,4.069127,[4 4] ; [123 471],[1.68770764 6.31229236] ; [125.31229236 468.68770764],0
v3,1,0.076296,3.142082,[5 2] ; [219 349],[2.72695652 4.27304348] ; [221.27304348 346.72695652],0
d2,1,0.08577,2.952024,[6 2] ; [263 327],[3.59866221 4.40133779] ; [265.40133779 324.59866221],0
s7,1,0.091379,2.849909,[6 2] ; [256 312],[3.63888889 4.36111111] ; [258.36111111 309.63888889],0
p5,1,0.10857,2.574913,[2 5] ; [ 59 528],[0.71885522 6.28114478] ; [ 60.28114478 526.71885522],0
u1,1,0.123144,2.376869,[3 5] ; [100 494],[1.36877076 6.63122924] ; [101.63122924 492.36877076],0
a4,1,0.203413,1.617702,[5 3] ; [238 353],[3.24540902 4.75459098] ; [239.75459098 351.24540902],0
s3,1,0.215912,1.531335,[6 2] ; [307 272],[4.26575809 3.73424191] ; [308.73424191 270.26575809],0
p4,1,0.263376,1.250924,[6 2] ; [323 262],[4.43844857 3.56155143] ; [324.56155143 260.43844857],0
d3,1,0.284567,1.145148,[7 1] ; [415 177],[5.62666667 2.37333333] ; [416.37333333 175.62666667],0
d1,1,0.308482,1.037163,[6 2] ; [339 255],[4.58471761 3.41528239] ; [340.41528239 253.58471761],0
p7,1,0.37097,0.800413,[6 2] ; [339 232],[4.76683938 3.23316062] ; [340.23316062 230.76683938],0
s2,1,0.39979,0.708958,[5 3] ; [279 308],[3.81848739 4.18151261] ; [280.18151261 306.81848739],0
b5,1,0.428321,0.627373,[6 2] ; [364 230],[4.91694352 3.08305648] ; [365.08305648 228.91694352],0
v2,1,0.449079,0.572976,[5 2] ; [326 244],[4.01559792 2.98440208] ; [326.98440208 243.01559792],0
n4,1,0.467733,0.527326,[6 1] ; [434 156],[5.15912898 1.84087102] ; [434.84087102 155.15912898],0
d5,1,0.594824,0.282874,[7 1] ; [474 119],[6.40266223 1.59733777] ; [474.59733777 118.40266223],0
p11,1,0.617745,0.249049,[7 1] ; [478 116],[6.44518272 1.55481728] ; [478.55481728 115.44518272],0
d4,1,0.628178,0.23454,[7 1] ; [477 114],[6.46410684 1.53589316] ; [477.53589316 113.46410684],0
r1,1,0.629112,0.233267,[6 1] ; [461 129],[5.47571189 1.52428811] ; [461.52428811 128.47571189],0
p12,1,0.642996,0.214845,[1 7] ; [ 47 540],[0.64537815 7.35462185] ; [ 47.35462185 539.64537815],0
p3,1,0.700684,0.147761,[4 4] ; [255 335],[3.46488294 4.53511706] ; [255.53511706 334.46488294],0
p2,1,0.703536,0.14482,[7 1] ; [485 104],[6.59296482 1.40703518] ; [485.40703518 103.59296482],0
a6,1,0.72639,0.122452,[6 2] ; [410 182],[5.54666667 2.45333333] ; [410.45333333 181.54666667],0
p10,1,0.732725,0.116624,[6 1] ; [469 113],[5.64516129 1.35483871] ; [469.35483871 112.64516129],0
s5,1,0.765052,0.089314,[3 5] ; [185 384],[2.60658579 5.39341421] ; [185.39341421 383.60658579],0
p6,1,0.765821,0.088712,[3 5] ; [189 392],[2.60780985 5.39219015] ; [189.39219015 391.60780985],0
b4,1,0.83809,0.041753,[5 3] ; [350 244],[4.71760797 3.28239203] ; [350.28239203 243.71760797],0
p8,1,0.965287,0.001894,[4 4] ; [295 286],[4.06112054 3.93887946] ; [294.93887946 286.06112054],0
a7,1,0.971739,0.001255,[6 2] ; [440 151],[5.95659432 2.04340568] ; [440.04340568 150.95659432],0
