Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,178.026358,[693  45] ; [137  97],[630.18518519 107.81481481] ; [199.81481481  34.18518519],1
p2,1,0.0,65.275254,[629 107] ; [149  94],[584.8907048 151.1092952] ; [193.1092952  49.8907048],1
r3,1,0.0,56.470808,[700  36] ; [192  50],[671.2801636  64.7198364] ; [220.7198364  21.2801636],1
n6,1,0.0,53.46765,[632 102] ; [156  85],[593.2225641 140.7774359] ; [194.7774359  46.2225641],1
r4,1,0.0,48.828836,[664  76] ; [175  70],[630.31472081 109.68527919] ; [208.68527919  36.31472081],1
p8,1,0.0,48.20096,[405 326] ; [ 71 169],[358.34809475 372.65190525] ; [117.65190525 122.34809475],1
v4,1,0.0,37.803366,[701  33] ; [203  40],[679.15660184  54.84339816] ; [224.84339816  18.15660184],1
p7,1,0.0,35.52466,[480 240] ; [107 131],[441.1691023 278.8308977] ; [145.8308977  92.1691023],1
n5,1,0.0,29.363301,[571 164] ; [145  97],[538.64892528 196.35107472] ; [177.35107472  64.64892528],1
p4,1,0.0,28.937694,[454 282] ; [101 140],[418.0962129 317.9037871] ; [136.9037871 104.0962129],1
n4,1,1e-06,25.063054,[577 163] ; [150  93],[547.28382503 192.71617497] ; [179.71617497  63.28382503],1
b1,1,9e-06,19.613867,[271 469] ; [129 116],[300.50761421 439.49238579] ; [ 99.49238579 145.50761421],1
p3,1,2.5e-05,17.794372,[380 357] ; [ 87 155],[351.56179775 385.43820225] ; [115.43820225 126.56179775],1
s8,1,4.5e-05,16.64174,[340 396] ; [ 76 167],[312.74361593 423.25638407] ; [103.25638407 139.74361593],1
v1,1,0.000104,15.059919,[398 324] ; [ 99 144],[371.84870466 350.15129534] ; [125.15129534 117.84870466],1
v2,1,0.000113,14.90921,[408 302] ; [101 134],[382.42328042 327.57671958] ; [126.57671958 108.42328042],1
a5,1,0.000194,13.89242,[551 189] ; [152  93],[528.14213198 211.85786802] ; [174.85786802  70.14213198],1
r1,1,0.000259,13.346226,[590 147] ; [167  76],[569.29489796 167.70510204] ; [187.70510204  55.29489796],1
