Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.05334,3.733246,[3 3] ; [21 96],[1.17073171 4.82926829] ; [22.82926829 94.17073171],0
n1,1,0.105645,2.618182,[3 1] ; [15 29],[1.5 2.5] ; [16.5 27.5],0
s7,1,0.123208,2.376059,[4 2] ; [39 71],[2.22413793 3.77586207] ; [40.77586207 69.22413793],0
p2,1,0.141351,2.163192,[2 4] ; [74 43],[3.70731707 2.29268293] ; [72.29268293 44.70731707],0
s6,1,0.157572,1.997376,[5 1] ; [62 53],[3.32231405 2.67768595] ; [63.67768595 51.32231405],0
a4,1,0.20541,1.603485,[4 2] ; [47 69],[2.50819672 3.49180328] ; [48.49180328 67.50819672],0
n5,1,0.222582,1.487647,[5 1] ; [67 48],[3.57024793 2.42975207] ; [68.42975207 46.57024793],0
p6,1,0.226907,1.460148,[3 3] ; [31 83],[1.7 4.3] ; [32.3 81.7],0
v1,1,0.229186,1.445908,[4 2] ; [48 67],[2.5785124 3.4214876] ; [49.4214876 65.5785124],0
s2,1,0.267505,1.229494,[4 2] ; [51 66],[2.68292683 3.31707317] ; [52.31707317 64.68292683],0
p7,1,0.267981,1.227052,[1 4] ; [51 62],[2.20338983 2.79661017] ; [49.79661017 63.20338983],0
s8,1,0.323499,0.974746,[3 3] ; [36 81],[1.90243902 4.09756098] ; [37.09756098 79.90243902],0
a5,1,0.335311,0.928276,[5 1] ; [75 42],[3.90243902 2.09756098] ; [76.09756098 40.90243902],0
p1,1,0.367219,0.813053,[1 5] ; [  8 109],[0.43902439 5.56097561] ; [  8.56097561 108.43902439],0
p9,1,0.381179,0.766897,[5 1] ; [74 38],[4.01694915 1.98305085] ; [74.98305085 37.01694915],0
a6,1,0.4011,0.705026,[3 3] ; [78 39],[3.95121951 2.04878049] ; [77.04878049 39.95121951],0
v2,1,0.414031,0.667196,[4 2] ; [54 55],[3.02608696 2.97391304] ; [54.97391304 54.02608696],0
s3,1,0.414049,0.667143,[4 2] ; [57 58],[3.02479339 2.97520661] ; [57.97520661 57.02479339],0
n6,1,0.424958,0.636564,[5 1] ; [78 37],[4.11570248 1.88429752] ; [78.88429752 36.11570248],0
b2,1,0.506457,0.441379,[3 3] ; [21 37],[2.25 3.75] ; [21.75 36.25],0
b3,1,0.506457,0.441379,[3 3] ; [21 37],[2.25 3.75] ; [21.75 36.25],0
v3,1,0.526079,0.40196,[1 4] ; [37 73],[1.65217391 3.34782609] ; [36.34782609 73.65217391],0
p8,1,0.535083,0.38473,[3 3] ; [43 72],[2.28099174 3.71900826] ; [43.71900826 71.28099174],0
n3,1,0.567328,0.327174,[3 1] ; [26 17],[2.46808511 1.53191489] ; [26.53191489 16.46808511],0
a2,1,0.600954,0.273559,[2 4] ; [28 89],[1.46341463 4.53658537] ; [28.53658537 88.46341463],0
p4,1,0.65792,0.19606,[3 3] ; [47 68],[2.47933884 3.52066116] ; [47.52066116 67.47933884],0
u3,1,0.677415,0.17305,[1 1] ; [16 29],[0.72340426 1.27659574] ; [16.27659574 28.72340426],0
a7,1,0.684979,0.164575,[4 2] ; [86 30],[4.42622951 1.57377049] ; [85.57377049 30.42622951],0
u2,1,0.727897,0.121052,[1 1] ; [17 28],[0.76595745 1.23404255] ; [17.23404255 27.76595745],0
n2,1,0.799389,0.064586,[3 1] ; [31 14],[2.7755102 1.2244898] ; [31.2244898 13.7755102],0
d3,1,0.822458,0.050349,[4 2] ; [83 34],[4.24390244 1.75609756] ; [82.75609756 34.24390244],0
v4,1,0.842895,0.03928,[5 1] ; [100  16],[5.16393443 0.83606557] ; [99.83606557 16.16393443],0
a3,1,0.84961,0.035954,[4 2] ; [71 42],[3.78151261 2.21848739] ; [71.21848739 41.78151261],0
b4,1,0.886161,0.020496,[3 3] ; [62 55],[3.17073171 2.82926829] ; [61.82926829 55.17073171],0
b5,1,0.898311,0.016332,[4 2] ; [75 42],[3.85365854 2.14634146] ; [75.14634146 41.85365854],0
p3,1,0.905618,0.014058,[2 4] ; [36 80],[1.86885246 4.13114754] ; [36.13114754 79.86885246],0
