Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,5.6e-05,16.239699,[12  1] ; [170 288],[5.02335456 7.97664544] ; [176.97664544 281.02335456],1
b3,1,5.6e-05,16.239699,[12  1] ; [170 288],[5.02335456 7.97664544] ; [176.97664544 281.02335456],1
s8,1,0.000461,12.26869,[12  1] ; [317 410],[5.77972973 7.22027027] ; [323.22027027 403.77972973],1
a2,1,0.000505,12.098612,[8 5] ; [156 578],[ 2.854083 10.145917] ; [161.145917 572.854083],1
a1,1,0.001226,10.451414,[ 3 10] ; [ 31 703],[ 0.59170013 12.40829987] ; [ 33.40829987 700.59170013],0
p5,1,0.002044,9.509916,[5 7] ; [ 87 638],[ 1.49796472 10.50203528] ; [ 90.50203528 634.49796472],0
v3,1,0.002451,9.176602,[8 1] ; [278 432],[3.57997218 5.42002782] ; [282.42002782 427.57997218],0
p12,1,0.005505,7.705592,[4 9] ; [ 62 661],[ 1.16576087 11.83423913] ; [ 64.83423913 658.16576087],0
d2,1,0.005706,7.640726,[11  2] ; [336 394],[6.07133244 6.92866756] ; [340.92866756 389.07133244],0
s3,1,0.007326,7.191203,[12  1] ; [394 322],[7.24005487 5.75994513] ; [398.75994513 317.24005487],0
s7,1,0.008097,7.011939,[11  2] ; [334 368],[6.27272727 6.72727273] ; [338.72727273 363.27272727],0
d1,1,0.01056,6.537981,[12  1] ; [418 316],[7.4832664 5.5167336] ; [422.5167336 311.4832664],0
s2,1,0.010676,6.518463,[11  2] ; [354 370],[6.43826323 6.56173677] ; [358.56173677 365.43826323],0
a4,1,0.014347,5.994942,[10  3] ; [314 417],[5.66129032 7.33870968] ; [318.33870968 412.66129032],0
v1,1,0.023689,5.117281,[9 1] ; [386 327],[5.46334716 4.53665284] ; [389.53665284 323.46334716],0
u1,1,0.034238,4.482762,[5 8] ; [120 614],[ 2.17536814 10.82463186] ; [122.82463186 611.17536814],0
s6,1,0.043212,4.087102,[12  1] ; [469 247],[8.57750343 4.42249657] ; [472.42249657 243.57750343],0
p3,1,0.055535,3.665954,[10  3] ; [365 363],[6.57894737 6.42105263] ; [368.42105263 359.57894737],0
p4,1,0.077917,3.107822,[11  2] ; [439 286],[7.92682927 5.07317073] ; [442.07317073 282.92682927],0
a5,1,0.118459,2.437579,[12  1] ; [535 198],[9.53217158 3.46782842] ; [537.46782842 195.53217158],0
a8,1,0.140003,2.177929,[3 7] ; [ 92 579],[1.39500734 8.60499266] ; [ 93.60499266 577.39500734],0
v2,1,0.149262,2.079778,[8 2] ; [404 301],[5.76223776 4.23776224] ; [406.23776224 298.76223776],0
b1,1,0.155769,2.014825,[7 6] ; [256 478],[4.57697456 8.42302544] ; [258.42302544 475.57697456],0
d3,1,0.187149,1.73992,[11  2] ; [493 239],[8.79463087 4.20536913] ; [495.20536913 236.79463087],0
p6,1,0.203891,1.614279,[7 6] ; [263 454],[4.80821918 8.19178082] ; [265.19178082 451.80821918],0
s1,1,0.291756,1.111503,[ 1 12] ; [ 20 701],[ 0.3719346 12.6280654] ; [ 20.6280654 700.3719346],0
p8,1,0.338041,0.917846,[9 4] ; [401 316],[7.30136986 5.69863014] ; [402.69863014 314.30136986],0
s4,1,0.420504,0.648905,[ 1 12] ; [115 608],[ 2.04891304 10.95108696] ; [113.95108696 609.04891304],0
a6,1,0.49931,0.456404,[10  3] ; [498 233],[8.87634409 4.12365591] ; [499.12365591 231.87634409],0
n4,1,0.589479,0.291159,[11  2] ; [574 158],[10.20805369  2.79194631] ; [574.79194631 157.20805369],0
r1,1,0.633273,0.227649,[11  2] ; [579 152],[10.30913978  2.69086022] ; [579.69086022 151.30913978],0
d5,1,0.650594,0.205152,[11  2] ; [582 150],[10.34765101  2.65234899] ; [582.65234899 149.34765101],0
b4,1,0.686147,0.163289,[7 6] ; [436 298],[7.70950469 5.29049531] ; [435.29049531 298.70950469],0
p7,1,0.815958,0.054171,[9 4] ; [469 240],[8.6066482 4.3933518] ; [469.3933518 239.6066482],0
b5,1,0.830178,0.045999,[8 5] ; [430 304],[7.62248996 5.37751004] ; [430.37751004 303.62248996],0
s5,1,0.835131,0.043316,[4 7] ; [236 471],[3.67688022 7.32311978] ; [236.32311978 470.67688022],0
a7,1,0.897952,0.016448,[9 4] ; [518 213],[9.20833333 3.79166667] ; [517.79166667 213.20833333],0
p1,1,0.900361,0.015676,[ 1 12] ; [ 63 663],[ 1.12584574 11.87415426] ; [ 62.87415426 663.12584574],0
p2,1,0.927065,0.008379,[11  2] ; [620 105],[11.11517615  1.88482385] ; [619.88482385 105.11517615],0
