Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.001171,10.535939,[2 6] ; [ 16 469],[0.29208925 7.70791075] ; [ 17.70791075 467.29208925],0
a8,1,0.003305,8.631193,[3 2] ; [ 60 376],[0.71428571 4.28571429] ; [ 62.28571429 373.71428571],0
a2,1,0.041178,4.168666,[4 4] ; [ 99 386],[1.67139959 6.32860041] ; [101.32860041 383.67139959],0
b2,1,0.041919,4.138478,[6 2] ; [119 184],[3.21543408 4.78456592] ; [121.78456592 181.21543408],0
b3,1,0.041919,4.138478,[6 2] ; [119 184],[3.21543408 4.78456592] ; [121.78456592 181.21543408],0
s8,1,0.064774,3.410715,[6 2] ; [204 277],[3.43558282 4.56441718] ; [206.56441718 274.43558282],0
d2,1,0.089969,2.874926,[6 2] ; [216 265],[3.63190184 4.36809816] ; [218.36809816 262.63190184],0
v3,1,0.095191,2.78432,[5 2] ; [187 278],[2.84745763 4.15254237] ; [189.15254237 275.84745763],0
u1,1,0.126171,2.338997,[3 5] ; [ 82 403],[1.37931034 6.62068966] ; [ 83.62068966 401.37931034],0
s7,1,0.127644,2.320929,[6 2] ; [223 243],[3.8649789 4.1350211] ; [225.1350211 240.8649789],0
p5,1,0.139572,2.182671,[2 5] ; [ 52 426],[0.77938144 6.22061856] ; [ 53.22061856 424.77938144],0
a4,1,0.211091,1.563929,[5 3] ; [196 287],[3.27494908 4.72505092] ; [197.72505092 285.27494908],0
s3,1,0.242157,1.367992,[6 2] ; [256 216],[4.36666667 3.63333333] ; [257.63333333 214.36666667],0
d3,1,0.287013,1.133581,[7 1] ; [339 144],[5.63747454 2.36252546] ; [340.36252546 142.63747454],0
d1,1,0.331802,0.941851,[6 2] ; [281 204],[4.65720081 3.34279919] ; [282.34279919 202.65720081],0
p4,1,0.360899,0.834764,[6 2] ; [282 196],[4.74074074 3.25925926] ; [283.25925926 194.74074074],0
b5,1,0.414773,0.665078,[6 2] ; [295 190],[4.88438134 3.11561866] ; [296.11561866 188.88438134],0
s2,1,0.440206,0.595746,[5 3] ; [233 245],[3.91769547 4.08230453] ; [234.08230453 243.91769547],0
p7,1,0.488344,0.480173,[6 2] ; [294 172],[5.06329114 2.93670886] ; [294.93670886 171.06329114],0
v2,1,0.512784,0.428383,[5 2] ; [277 191],[4.15578947 2.84421053] ; [277.84421053 190.15578947],0
n4,1,0.586468,0.295894,[6 1] ; [372 111],[5.4 1.6] ; [372.6 110.4],0
d5,1,0.650261,0.205571,[7 1] ; [393  91],[6.50406504 1.49593496] ; [393.49593496  90.50406504],0
d4,1,0.675286,0.175481,[7 1] ; [394  88],[6.54693878 1.45306122] ; [394.45306122  87.54693878],0
r1,1,0.694471,0.154288,[6 1] ; [385  98],[5.58571429 1.41428571] ; [385.41428571  97.58571429],0
a6,1,0.758441,0.094574,[6 2] ; [338 145],[5.60488798 2.39511202] ; [338.39511202 144.60488798],0
p12,1,0.783186,0.075718,[1 7] ; [ 46 433],[0.77207392 7.22792608] ; [ 46.22792608 432.77207392],0
p8,1,0.821541,0.050879,[4 4] ; [256 218],[4.3153527 3.6846473] ; [255.6846473 218.3153527],0
p6,1,0.830904,0.045601,[3 5] ; [161 314],[2.71635611 5.28364389] ; [161.28364389 313.71635611],0
p3,1,0.833599,0.044137,[4 4] ; [223 259],[3.70612245 4.29387755] ; [223.29387755 258.70612245],0
s5,1,0.84481,0.038316,[3 5] ; [160 308],[2.7394958 5.2605042] ; [160.2605042 307.7394958],0
b4,1,0.904661,0.014346,[5 3] ; [293 192],[4.8356998 3.1643002] ; [293.1643002 191.8356998],0
p10,1,0.946659,0.004476,[6 1] ; [413  64],[6.05991736 0.94008264] ; [412.94008264  64.05991736],0
p2,1,0.972193,0.001215,[7 1] ; [418  62],[6.96721311 1.03278689] ; [418.03278689  61.96721311],0
a7,1,0.976068,0.0009,[6 2] ; [360 123],[5.96334012 2.03665988] ; [360.03665988 122.96334012],0
