Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4e-06,21.130428,[13  3] ; [26 82],[ 5.03225806 10.96774194] ; [33.96774194 74.03225806],1
p12,1,4.3e-05,16.719318,[ 4 12] ; [  2 109],[ 0.75590551 15.24409449] ; [  5.24409449 105.75590551],1
d1,1,0.000158,14.270038,[15  1] ; [48 63],[7.93700787 8.06299213] ; [55.06299213 55.93700787],1
b3,1,0.000265,13.301967,[13  3] ; [21 46],[6.55421687 9.44578313] ; [27.44578313 39.55421687],1
b2,1,0.000265,13.301967,[13  3] ; [21 46],[6.55421687 9.44578313] ; [27.44578313 39.55421687],1
p5,1,0.00035,12.783336,[ 5 10] ; [  6 104],[ 1.32 13.68] ; [  9.68 100.32],1
s7,1,0.000506,12.092664,[12  4] ; [30 70],[ 5.79310345 10.20689655] ; [36.20689655 63.79310345],1
u1,1,0.000554,11.926009,[7 9] ; [12 99],[ 2.39370079 13.60629921] ; [16.60629921 94.39370079],1
v1,1,0.000758,11.342227,[11  2] ; [40 71],[5.34677419 7.65322581] ; [45.65322581 65.34677419],1
v3,1,0.000815,11.206411,[9 3] ; [29 77],[3.86440678 8.13559322] ; [34.13559322 71.86440678],1
a2,1,0.001014,10.801768,[9 7] ; [21 90],[ 3.77952756 12.22047244] ; [26.22047244 84.77952756],0
d2,1,0.00148,10.102738,[14  2] ; [49 60],[8.064 7.936] ; [54.936 54.064],0
s2,1,0.001518,10.056198,[12  4] ; [37 73],[6.22222222 9.77777778] ; [42.77777778 67.22222222],0
s3,1,0.002487,9.150349,[13  3] ; [45 65],[7.36507937 8.63492063] ; [50.63492063 59.36507937],0
a3,1,0.003082,8.758212,[15  1] ; [61 50],[9.57480315 6.42519685] ; [66.42519685 44.57480315],0
n5,1,0.003082,8.758212,[15  1] ; [61 50],[9.57480315 6.42519685] ; [66.42519685 44.57480315],0
s6,1,0.003999,8.284465,[14  2] ; [53 55],[8.64516129 7.35483871] ; [58.35483871 49.64516129],0
n6,1,0.006418,7.429044,[15  1] ; [65 46],[10.07874016  5.92125984] ; [69.92125984 41.07874016],0
v2,1,0.007197,7.223118,[10  3] ; [41 67],[5.47933884 7.52066116] ; [45.52066116 62.47933884],0
a4,1,0.012842,6.190798,[12  4] ; [46 64],[7.36507937 8.63492063] ; [50.63492063 59.36507937],0
p8,1,0.020558,5.363841,[9 7] ; [30 79],[ 4.992 11.008] ; [34.008 74.992],0
a5,1,0.021876,5.255594,[14  2] ; [64 47],[9.82677165 6.17322835] ; [68.17322835 42.82677165],0
p4,1,0.028023,4.826659,[11  5] ; [44 67],[6.92913386 9.07086614] ; [48.07086614 62.92913386],0
d3,1,0.031601,4.620024,[13  3] ; [58 52],[9.01587302 6.98412698] ; [61.98412698 48.01587302],0
r1,1,0.046453,3.965108,[14  2] ; [69 42],[10.45669291  5.54330709] ; [72.54330709 38.45669291],0
p3,1,0.060721,3.517583,[10  6] ; [42 69],[6.5511811 9.4488189] ; [45.4488189 65.5511811],0
a6,1,0.06114,3.506198,[12  4] ; [55 55],[8.50793651 7.49206349] ; [58.49206349 51.50793651],0
n4,1,0.091235,2.852443,[14  2] ; [74 37],[11.08661417  4.91338583] ; [76.91338583 34.08661417],0
d5,1,0.127757,2.319545,[14  2] ; [76 34],[11.42857143  4.57142857] ; [78.57142857 31.42857143],0
p6,1,0.139329,2.185352,[7 9] ; [28 80],[ 4.51612903 11.48387097] ; [30.48387097 77.51612903],0
v4,1,0.183407,1.769797,[15  1] ; [88 22],[13.07936508  2.92063492] ; [89.92063492 20.07936508],0
a1,1,0.229473,1.444125,[ 3 13] ; [ 10 101],[ 1.63779528 14.36220472] ; [11.36220472 99.63779528],0
p7,1,0.232606,1.424852,[9 6] ; [48 62],[6.84 8.16] ; [50.16 59.84],0
a7,1,0.24093,1.375142,[11  5] ; [59 52],[8.81889764 7.18110236] ; [61.18110236 49.81889764],0
p2,1,0.24093,1.375142,[11  5] ; [59 52],[8.81889764 7.18110236] ; [61.18110236 49.81889764],0
a8,1,0.295352,1.095065,[ 3 10] ; [13 91],[ 1.77777778 11.22222222] ; [14.22222222 89.77777778],0
n1,1,0.297147,1.086957,[3 1] ; [22 24],[2. 2.] ; [23. 23.],0
s4,1,0.357321,0.847288,[ 1 14] ; [17 92],[ 2.17741935 12.82258065] ; [15.82258065 93.17741935],0
s5,1,0.393609,0.727763,[ 4 10] ; [20 86],[ 2.8 11.2] ; [21.2 84.8],0
n3,1,0.630672,0.23115,[2 2] ; [28 17],[2.44897959 1.55102041] ; [27.55102041 17.44897959],0
n2,1,0.73538,0.114229,[2 2] ; [27 19],[2.32 1.68] ; [26.68 19.32],0
b4,1,0.861025,0.030649,[9 7] ; [65 46],[9.32283465 6.67716535] ; [64.67716535 46.32283465],0
p1,1,0.882013,0.022028,[ 1 15] ; [  8 102],[ 1.14285714 14.85714286] ; [  7.85714286 102.14285714],0
s1,1,0.889057,0.01946,[ 1 15] ; [  8 103],[ 1.13385827 14.86614173] ; [  7.86614173 103.13385827],0
b5,1,0.924655,0.008944,[11  5] ; [75 36],[10.83464567  5.16535433] ; [75.16535433 35.83464567],0
