Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.867208,[25 89] ; [13  3],[33.32307692 80.67692308] ; [ 4.67692308 11.32307692],1
p5,1,2e-05,18.168129,[  4 110] ; [ 5 10],[  7.95348837 106.04651163] ; [ 1.04651163 13.95348837],1
p12,1,3.6e-05,17.054284,[  2 111] ; [ 4 12],[  5.25581395 107.74418605] ; [ 0.74418605 15.25581395],1
b3,1,0.000461,12.26664,[26 51] ; [13  3],[32.29032258 44.70967742] ; [6.70967742 9.29032258],1
b2,1,0.000461,12.26664,[26 51] ; [13  3],[32.29032258 44.70967742] ; [6.70967742 9.29032258],1
d1,1,0.000499,12.119378,[54 60] ; [15  1],[60.50769231 53.49230769] ; [8.49230769 7.50769231],1
s2,1,0.000684,11.53244,[35 77] ; [12  4],[41.125 70.875] ; [ 5.875 10.125],1
s7,1,0.000761,11.334634,[35 76] ; [12  4],[41.07874016 69.92125984] ; [ 5.92125984 10.07874016],1
a2,1,0.000771,11.310855,[21 93] ; [9 7],[26.30769231 87.69230769] ; [ 3.69230769 12.30769231],1
v3,1,0.000838,11.155329,[30 79] ; [9 3],[35.1322314 73.8677686] ; [3.8677686 8.1322314],1
v1,1,0.00098,10.864166,[41 70] ; [11  2],[46.5483871 64.4516129] ; [5.4516129 7.5483871],1
s6,1,0.001077,10.691059,[50 64] ; [14  2],[56.12307692 57.87692308] ; [7.87692308 8.12307692],0
p3,1,0.001949,9.59699,[28 85] ; [10  6],[33.28682171 79.71317829] ; [ 4.71317829 11.28682171],0
n5,1,0.003344,8.609698,[62 50] ; [15  1],[67.375 44.625] ; [9.625 6.375],0
d2,1,0.006393,7.436001,[58 55] ; [14  2],[63.06976744 49.93023256] ; [8.93023256 7.06976744],0
s3,1,0.009107,6.801786,[51 59] ; [13  3],[55.87301587 54.12698413] ; [8.12698413 7.87301587],0
a4,1,0.009859,6.660216,[46 67] ; [12  4],[50.80620155 62.19379845] ; [7.19379845 8.80620155],0
u1,1,0.011206,6.432292,[19 95] ; [7 9],[22.8 91.2] ; [ 3.2 12.8],0
p4,1,0.013215,6.140071,[41 72] ; [11  5],[45.5503876 67.4496124] ; [6.4496124 9.5503876],0
a3,1,0.017205,5.675313,[71 40] ; [15  1],[75.16535433 35.83464567] ; [10.83464567  5.16535433],0
v2,1,0.021299,5.302198,[48 63] ; [10  3],[51.91935484 59.08064516] ; [6.08064516 6.91935484],0
a5,1,0.026385,4.930603,[67 47] ; [14  2],[71.03076923 42.96923077] ; [9.96923077 6.03076923],0
n4,1,0.031678,4.615858,[67 45] ; [14  2],[70.875 41.125] ; [10.125  5.875],0
n6,1,0.035927,4.400576,[76 35] ; [15  1],[79.53543307 31.46456693] ; [11.46456693  4.53543307],0
p6,1,0.042613,4.110687,[23 88] ; [7 9],[26.22047244 84.77952756] ; [ 3.77952756 12.22047244],0
a1,1,0.046577,3.960599,[  6 108] ; [ 3 13],[  7.89230769 106.10769231] ; [ 1.10769231 14.89230769],0
p8,1,0.0489,3.878788,[35 77] ; [9 7],[38.5 73.5] ; [ 5.5 10.5],0
n1,1,0.083825,2.989132,[14 30] ; [3 1],[15.58333333 28.41666667] ; [1.41666667 2.58333333],0
d5,1,0.116118,2.468912,[78 36] ; [14  2],[80.67692308 33.32307692] ; [11.32307692  4.67692308],0
d3,1,0.137281,2.208176,[71 43] ; [13  3],[73.66153846 40.33846154] ; [10.33846154  5.66153846],0
p7,1,0.144771,2.126504,[45 67] ; [9 6],[47.62204724 64.37795276] ; [6.37795276 8.62204724],0
r1,1,0.154424,2.028001,[79 33] ; [14  2],[81.375 30.625] ; [11.625  4.375],0
v4,1,0.274526,1.193992,[94 19] ; [15  1],[95.48062016 17.51937984] ; [13.51937984  2.48062016],0
a8,1,0.275513,1.18909,[12 87] ; [ 3 10],[13.25892857 85.74107143] ; [ 1.74107143 11.25892857],0
s5,1,0.394855,0.723938,[21 90] ; [ 4 10],[22.2 88.8] ; [ 2.8 11.2],0
b5,1,0.407983,0.684672,[66 48] ; [11  5],[67.52307692 46.47692308] ; [9.47692308 6.52307692],0
s4,1,0.421737,0.64547,[16 97] ; [ 1 14],[15.0078125 97.9921875] ; [ 1.9921875 13.0078125],0
a6,1,0.424552,0.63768,[74 40] ; [12  4],[75.41538462 38.58461538] ; [10.58461538  5.41538462],0
n2,1,0.50216,0.450368,[30 15] ; [2 2],[29.3877551 15.6122449] ; [2.6122449 1.3877551],0
n3,1,0.589639,0.290909,[28 16] ; [2 2],[27.5 16.5] ; [2.5 1.5],0
p2,1,0.762528,0.091303,[74 40] ; [11  5],[74.53846154 39.46153846] ; [10.46153846  5.53846154],0
b4,1,0.795558,0.067133,[68 46] ; [9 7],[67.52307692 46.47692308] ; [9.47692308 6.52307692],0
a7,1,0.886841,0.02025,[75 37] ; [11  5],[75.25 36.75] ; [10.75  5.25],0
p1,1,0.902962,0.014864,[  8 105] ; [ 1 15],[  7.88372093 105.11627907] ; [ 1.11627907 14.88372093],0
s1,1,0.993085,7.5e-05,[  7 104] ; [ 1 15],[  6.99212598 104.00787402] ; [ 1.00787402 14.99212598],0
