Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.5e-05,17.135201,[274 126] ; [91 89],[251.72413793 148.27586207] ; [113.27586207  66.72413793],1
p9,1,0.000339,12.84017,[363  37] ; [145  36],[349.74182444  50.25817556] ; [158.25817556  22.74182444],1
p7,1,0.000401,12.526995,[317  82] ; [119  62],[299.93793103  99.06206897] ; [136.06206897  44.93793103],1
p5,1,0.00044,12.355347,[ 77 325] ; [ 14 167],[ 62.74785592 339.25214408] ; [ 28.25214408 152.74785592],1
p10,1,0.002893,8.873609,[349  50] ; [140  40],[336.97927461  62.02072539] ; [152.02072539  27.97927461],0
p12,1,0.003599,8.475827,[ 45 356] ; [  7 176],[ 35.70547945 365.29452055] ; [ 16.29452055 166.70547945],0
p6,1,0.018593,5.539387,[198 198] ; [ 71 109],[184.9375 211.0625] ; [84.0625 95.9375],0
p1,1,0.021944,5.250214,[ 52 350] ; [ 12 171],[ 43.97948718 358.02051282] ; [ 20.02051282 162.97948718],0
p11,1,0.057909,3.596284,[335  68] ; [140  43],[326.66382253  76.33617747] ; [148.33617747  34.66382253],0
b1,1,0.093407,2.814654,[175 228] ; [ 66 117],[165.73890785 237.26109215] ; [ 75.26109215 107.73890785],0
