Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.130795,2.283039,[43 68] ; [104 115],[49.44545455 61.55454545] ; [ 97.55454545 121.44545455],0
a6,1,0.179993,1.797678,[55 55] ; [126  92],[60.70121951 49.29878049] ; [120.29878049  97.70121951],0
u3,1,0.18516,1.755711,[30 20] ; [44 47],[26.24113475 23.75886525] ; [47.75886525 43.24113475],0
p3,1,0.227038,1.459324,[42 69] ; [ 68 150],[37.11246201 73.88753799] ; [ 72.88753799 145.11246201],0
a7,1,0.241449,1.372112,[59 52] ; [130  87],[63.96036585 47.03963415] ; [125.03963415  91.96036585],0
p2,1,0.247148,1.339354,[59 52] ; [131  88],[63.90909091 47.09090909] ; [126.09090909  92.90909091],0
n1,1,0.293813,1.102066,[22 24] ; [33 53],[19.16666667 26.83333333] ; [35.83333333 50.16666667],0
r3,1,0.335674,0.926884,[85 26] ; [176  41],[88.32621951 22.67378049] ; [172.67378049  44.32621951],0
r4,1,0.357046,0.848257,[72 39] ; [153  66],[75.68181818 35.31818182] ; [149.31818182  69.68181818],0
b5,1,0.369587,0.805051,[75 36] ; [137  82],[71.30909091 39.69090909] ; [140.69090909  78.30909091],0
r2,1,0.39111,0.735488,[89 21] ; [182  33],[91.72307692 18.27692308] ; [179.27692308  35.72307692],0
d3,1,0.427156,0.630545,[58 52] ; [125  93],[61.37195122 48.62804878] ; [121.62804878  96.37195122],0
n4,1,0.427219,0.630373,[74 37] ; [135  82],[70.72865854 40.27134146] ; [138.27134146  78.72865854],0
n6,1,0.438377,0.600527,[65 46] ; [136  80],[68.2293578 42.7706422] ; [132.7706422  83.2293578],0
a3,1,0.455506,0.556916,[61 50] ; [128  88],[64.1559633 46.8440367] ; [124.8440367  91.1559633],0
p6,1,0.499526,0.455944,[28 80] ; [ 48 165],[25.57009346 82.42990654] ; [ 50.42990654 162.57009346],0
p9,1,0.51804,0.417793,[32 75] ; [ 71 141],[34.54858934 72.45141066] ; [ 68.45141066 143.54858934],0
s6,1,0.528699,0.396892,[53 55] ; [ 98 118],[50.33333333 57.66666667] ; [100.66666667 115.33333333],0
r1,1,0.557884,0.343381,[69 42] ; [142  75],[71.4054878 39.5945122] ; [139.5945122  77.4054878],0
a1,1,0.587431,0.294375,[ 10 101] ; [ 16 203],[  8.74545455 102.25454545] ; [ 17.25454545 201.74545455],0
u1,1,0.603579,0.269632,[12 99] ; [ 28 191],[13.45454545 97.54545455] ; [ 26.54545455 192.45454545],0
s2,1,0.693803,0.154999,[37 73] ; [ 68 148],[35.42944785 74.57055215] ; [ 69.57055215 146.42944785],0
n2,1,0.704534,0.143798,[27 19] ; [54 33],[28.01503759 17.98496241] ; [52.98496241 34.01503759],0
s8,1,0.708174,0.140108,[26 82] ; [ 48 168],[24.66666667 83.33333333] ; [ 49.33333333 166.66666667],0
s3,1,0.719478,0.128994,[45 65] ; [ 92 122],[46.51234568 63.48765432] ; [ 90.48765432 123.51234568],0
p4,1,0.720905,0.127627,[44 67] ; [ 82 136],[42.5106383 68.4893617] ; [ 83.4893617 134.5106383],0
p5,1,0.73062,0.118543,[  6 104] ; [ 10 208],[  5.36585366 104.63414634] ; [ 10.63414634 207.36585366],0
v4,1,0.732721,0.116628,[88 22] ; [177  40],[89.14373089 20.85626911] ; [175.85626911  41.14373089],0
v2,1,0.736219,0.113478,[41 67] ; [ 85 128],[42.39252336 65.60747664] ; [ 83.60747664 129.39252336],0
d2,1,0.757934,0.094984,[49 60] ; [101 115],[50.30769231 58.69230769] ; [ 99.69230769 116.30769231],0
u2,1,0.766003,0.08857,[22 26] ; [38 50],[21.17647059 26.82352941] ; [38.82352941 49.17647059],0
p8,1,0.804222,0.061448,[30 79] ; [ 62 153],[30.95061728 78.04938272] ; [ 61.04938272 153.95061728],0
