Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.019098,5.492515,[15 92] ; [3 3],[17.04424779 89.95575221] ; [0.95575221 5.04424779],0
b1,1,0.037477,4.328609,[43 64] ; [5 1],[45.45132743 61.54867257] ; [2.54867257 3.45132743],0
p9,1,0.051883,3.779533,[44 59] ; [5 1],[46.30275229 56.69724771] ; [2.69724771 3.30275229],0
p2,1,0.051998,3.775822,[76 31] ; [2 4],[73.85840708 33.14159292] ; [4.14159292 1.85840708],0
s7,1,0.081637,3.032015,[33 70] ; [4 2],[34.96330275 68.03669725] ; [2.03669725 3.96330275],0
n1,1,0.093138,2.819283,[12 25] ; [3 1],[13.53658537 23.46341463] ; [1.46341463 2.53658537],0
s6,1,0.093235,2.81761,[51 55] ; [5 1],[53. 53.] ; [3. 3.],0
s2,1,0.096221,2.767094,[35 70] ; [4 2],[36.89189189 68.10810811] ; [2.10810811 3.89189189],0
n5,1,0.162161,1.953962,[58 49] ; [5 1],[59.65486726 47.34513274] ; [3.34513274 2.65486726],0
a5,1,0.188707,1.727686,[60 47] ; [5 1],[61.54867257 45.45132743] ; [3.45132743 2.54867257],0
v1,1,0.197179,1.663144,[42 63] ; [4 2],[43.51351351 61.48648649] ; [2.48648649 3.51351351],0
p1,1,0.209753,1.573129,[  5 100] ; [1 5],[ 5.67567568 99.32432432] ; [0.32432432 5.67567568],0
p7,1,0.211213,1.563092,[51 54] ; [1 4],[49.63636364 55.36363636] ; [2.36363636 2.63636364],0
a4,1,0.218026,1.517318,[44 63] ; [4 2],[45.45132743 61.54867257] ; [2.54867257 3.45132743],0
a2,1,0.23124,1.433215,[16 91] ; [2 4],[17.04424779 89.95575221] ; [0.95575221 5.04424779],0
s3,1,0.25332,1.3049,[45 60] ; [4 2],[46.35135135 58.64864865] ; [2.64864865 3.35135135],0
s8,1,0.282088,1.157005,[31 75] ; [3 3],[32.17857143 73.82142857] ; [1.82142857 4.17857143],0
p6,1,0.289933,1.119933,[31 74] ; [3 3],[32.16216216 72.83783784] ; [1.83783784 4.16216216],0
b3,1,0.326807,0.961509,[22 50] ; [3 3],[23.07692308 48.92307692] ; [1.92307692 4.07692308],0
b2,1,0.326807,0.961509,[22 50] ; [3 3],[23.07692308 48.92307692] ; [1.92307692 4.07692308],0
v2,1,0.351367,0.868514,[49 55] ; [4 2],[50.10909091 53.89090909] ; [2.89090909 3.10909091],0
p8,1,0.432922,0.614973,[36 69] ; [3 3],[36.89189189 68.10810811] ; [2.10810811 3.89189189],0
b4,1,0.472684,0.515695,[69 38] ; [3 3],[68.17699115 38.82300885] ; [3.82300885 2.17699115],0
n6,1,0.565064,0.331012,[77 29] ; [5 1],[77.60714286 28.39285714] ; [4.39285714 1.60714286],0
p4,1,0.567959,0.32611,[41 66] ; [3 3],[41.66371681 65.33628319] ; [2.33628319 3.66371681],0
a6,1,0.634005,0.226669,[64 43] ; [3 3],[63.44247788 43.55752212] ; [3.55752212 2.44247788],0
d3,1,0.673148,0.177942,[62 45] ; [4 2],[62.49557522 44.50442478] ; [3.50442478 2.49557522],0
v4,1,0.68382,0.165858,[95 12] ; [5 1],[94.69026549 12.30973451] ; [5.30973451 0.69026549],0
v3,1,0.68596,0.163494,[30 76] ; [1 4],[29.6036036 76.3963964] ; [1.3963964 3.6036036],0
a7,1,0.725171,0.123592,[63 43] ; [4 2],[63.41071429 42.58928571] ; [3.58928571 2.41071429],0
a3,1,0.738602,0.11136,[64 43] ; [4 2],[64.38938053 42.61061947] ; [3.61061947 2.38938053],0
p3,1,0.73925,0.110787,[29 78] ; [2 4],[29.3539823 77.6460177] ; [1.6460177 4.3539823],0
b5,1,0.841675,0.039901,[67 40] ; [4 2],[67.2300885 39.7699115] ; [3.7699115 2.2300885],0
u3,1,0.871503,0.026163,[24 19] ; [1 1],[23.88888889 19.11111111] ; [1.11111111 0.88888889],0
u2,1,0.947487,0.004338,[20 22] ; [1 1],[20.04545455 21.95454545] ; [0.95454545 1.04545455],0
n3,1,0.954599,0.003241,[28 10] ; [3 1],[28.04761905  9.95238095] ; [2.95238095 1.04761905],0
n2,1,0.976152,0.000894,[28  9] ; [3 1],[27.97560976  9.02439024] ; [3.02439024 0.97560976],0
