Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.005162,7.821701,[12 99] ; [3 3],[14.23076923 96.76923077] ; [0.76923077 5.23076923],0
p9,1,0.006654,7.364043,[32 75] ; [5 1],[35.03539823 71.96460177] ; [1.96460177 4.03539823],0
s7,1,0.061632,3.492919,[30 70] ; [4 2],[32.0754717 67.9245283] ; [1.9245283 4.0754717],0
s2,1,0.099326,2.716326,[37 73] ; [4 2],[38.87931034 71.12068966] ; [2.12068966 3.87931034],0
s6,1,0.102292,2.669438,[53 55] ; [5 1],[54.94736842 53.05263158] ; [3.05263158 2.94736842],0
v1,1,0.13138,2.276127,[40 71] ; [4 2],[41.74358974 69.25641026] ; [2.25641026 3.74358974],0
s8,1,0.15582,2.014334,[26 82] ; [3 3],[27.47368421 80.52631579] ; [1.52631579 4.47368421],0
v2,1,0.161495,1.960172,[41 67] ; [4 2],[42.63157895 65.36842105] ; [2.36842105 3.63157895],0
n5,1,0.172127,1.864323,[61 50] ; [5 1],[62.61538462 48.38461538] ; [3.38461538 2.61538462],0
p6,1,0.197071,1.663946,[28 80] ; [3 3],[29.36842105 78.63157895] ; [1.63157895 4.36842105],0
a5,1,0.212987,1.551006,[64 47] ; [5 1],[65.46153846 45.53846154] ; [3.53846154 2.46153846],0
s3,1,0.213552,1.547181,[45 65] ; [4 2],[46.46551724 63.53448276] ; [2.53448276 3.46551724],0
n6,1,0.22793,1.45373,[65 46] ; [5 1],[66.41025641 44.58974359] ; [3.58974359 2.41025641],0
a4,1,0.231361,1.432478,[46 64] ; [4 2],[47.4137931 62.5862069] ; [2.5862069 3.4137931],0
p8,1,0.236023,1.404194,[30 79] ; [3 3],[31.27826087 77.72173913] ; [1.72173913 4.27826087],0
p7,1,0.295884,1.092652,[48 62] ; [1 4],[46.86956522 63.13043478] ; [2.13043478 2.86956522],0
n1,1,0.297147,1.086957,[22 24] ; [3 1],[23. 23.] ; [2. 2.],0
p2,1,0.343838,0.896069,[59 52] ; [2 4],[57.87179487 53.12820513] ; [3.12820513 2.87179487],0
b2,1,0.351348,0.868584,[21 46] ; [3 3],[22.02739726 44.97260274] ; [1.97260274 4.02739726],0
b3,1,0.351348,0.868584,[21 46] ; [3 3],[22.02739726 44.97260274] ; [1.97260274 4.02739726],0
a2,1,0.386839,0.748856,[21 90] ; [2 4],[21.82051282 89.17948718] ; [1.17948718 4.82051282],0
p1,1,0.402257,0.70157,[  8 102] ; [1 5],[  8.53448276 101.46551724] ; [0.46551724 5.53448276],0
d3,1,0.505041,0.444329,[58 52] ; [4 2],[58.79310345 51.20689655] ; [3.20689655 2.79310345],0
a7,1,0.517799,0.418275,[59 52] ; [4 2],[59.76923077 51.23076923] ; [3.23076923 2.76923077],0
n2,1,0.523186,0.407609,[27 19] ; [3 1],[27.6 18.4] ; [2.4 1.6],0
a3,1,0.57389,0.316216,[61 50] ; [4 2],[61.66666667 49.33333333] ; [3.33333333 2.66666667],0
p11,1,0.582279,0.302565,[43 68] ; [3 3],[43.64102564 67.35897436] ; [2.35897436 3.64102564],0
n3,1,0.611446,0.258074,[28 17] ; [3 1],[28.46938776 16.53061224] ; [2.53061224 1.46938776],0
p4,1,0.614117,0.254222,[44 67] ; [3 3],[44.58974359 66.41025641] ; [2.41025641 3.58974359],0
b4,1,0.678959,0.1713,[65 46] ; [3 3],[64.51282051 46.48717949] ; [3.48717949 2.51282051],0
v3,1,0.717304,0.13109,[29 77] ; [1 4],[28.64864865 77.35135135] ; [1.35135135 3.64864865],0
u3,1,0.777464,0.079877,[30 20] ; [1 1],[29.80769231 20.19230769] ; [1.19230769 0.80769231],0
p3,1,0.824419,0.049224,[42 69] ; [2 4],[41.74358974 69.25641026] ; [2.25641026 3.74358974],0
v4,1,0.841932,0.039769,[88 22] ; [5 1],[88.18965517 21.81034483] ; [4.81034483 1.18965517],0
u2,1,0.907778,0.013419,[22 26] ; [1 1],[22.08 25.92] ; [0.92 1.08],0
b5,1,0.963391,0.002107,[75 36] ; [4 2],[74.94871795 36.05128205] ; [4.05128205 1.94871795],0
a6,1,1.0,0.0,[55 55] ; [3 3],[55. 55.] ; [3. 3.],0
