Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,9e-06,19.621493,[78 14] ; [ 5 10],[71.36448598 20.63551402] ; [11.63551402  3.36448598],1
p7,1,0.001232,10.441767,[77 14] ; [6 7],[72.625 18.375] ; [10.375  2.625],0
p6,1,0.001272,10.382169,[60 30] ; [ 3 11],[54.51923077 35.48076923] ; [8.48076923 5.51923077],0
p2,1,0.003684,8.433352,[84  7] ; [10  5],[80.69811321 10.30188679] ; [13.30188679  1.69811321],0
p1,1,0.046901,3.948944,[29 63] ; [ 1 14],[25.79439252 66.20560748] ; [ 4.20560748 10.79439252],0
p12,1,0.091116,2.854545,[26 66] ; [ 1 13],[23.43396226 68.56603774] ; [ 3.56603774 10.43396226],0
p8,1,0.138478,2.194795,[75 17] ; [9 5],[72.90566038 19.09433962] ; [11.09433962  2.90566038],0
p10,1,0.505002,0.44441,[84  8] ; [12  2],[83.32075472  8.67924528] ; [12.67924528  1.32075472],0
b1,1,0.741139,0.109128,[41 51] ; [6 9],[40.41121495 51.58878505] ; [6.58878505 8.41121495],0
p9,1,0.796672,0.066387,[87  5] ; [13  1],[86.79245283  5.20754717] ; [13.20754717  0.79245283],0
p11,1,0.934287,0.006798,[79 13] ; [13  2],[79.10280374 12.89719626] ; [12.89719626  2.10280374],0
