Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,67.092093,[ 66 284] ; [125 122],[111.97654941 238.02345059] ; [ 79.02345059 167.97654941],1
p7,1,0.0,62.529028,[132 209] ; [174  68],[178.98113208 162.01886792] ; [127.01886792 114.98113208],1
p2,1,0.0,45.92589,[227 122] ; [220  26],[262.18991597  86.81008403] ; [184.81008403  61.18991597],1
p10,1,0.0,28.294684,[232 115] ; [211  34],[259.66385135  87.33614865] ; [183.33614865  61.66385135],1
p11,1,3.6e-05,17.058574,[239 112] ; [206  42],[260.75959933  90.24040067] ; [184.24040067  63.75959933],1
p9,1,4.2e-05,16.788318,[244  96] ; [210  34],[264.31506849  75.68493151] ; [189.68493151  54.31506849],1
p5,1,0.001448,10.144196,[ 11 337] ; [ 23 224],[ 19.88571429 328.11428571] ; [ 14.11428571 232.88571429],0
p1,1,0.07339,3.205523,[ 16 332] ; [ 20 225],[ 21.12647555 326.87352445] ; [ 14.87352445 230.12647555],0
b1,1,0.237602,1.394764,[134 217] ; [ 83 165],[127.15692821 223.84307179] ; [ 89.84307179 158.15692821],0
p12,1,0.788554,0.071925,[ 14 334] ; [ 11 235],[ 14.64646465 333.35353535] ; [ 10.35353535 235.64646465],0
