Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.003429,8.56408,[ 81 500] ; [3 2],[ 83.28327645 497.71672355] ; [0.71672355 4.28327645],0
a1,1,0.009004,6.822119,[ 30 602] ; [2 6],[ 31.6 600.4] ; [0.4 7.6],0
b2,1,0.045699,3.992643,[157 236] ; [6 2],[159.74812968 233.25187032] ; [3.25187032 4.74812968],0
b3,1,0.045699,3.992643,[157 236] ; [6 2],[159.74812968 233.25187032] ; [3.25187032 4.74812968],0
a2,1,0.079137,3.082535,[148 484] ; [4 4],[150.1 481.9] ; [1.9 6.1],0
v3,1,0.109436,2.56235,[251 355] ; [5 2],[253.0766721 352.9233279] ; [2.9233279 4.0766721],0
d2,1,0.111566,2.531902,[294 335] ; [6 2],[296.23233909 332.76766091] ; [3.76766091 4.23233909],0
s8,1,0.116789,2.459859,[296 332] ; [6 2],[298.20125786 329.79874214] ; [3.79874214 4.20125786],0
u1,1,0.147627,2.096601,[112 520] ; [3 5],[113.5625 518.4375] ; [1.4375 6.5625],0
s7,1,0.179963,1.79793,[311 297] ; [6 2],[312.88311688 295.11688312] ; [4.11688312 3.88311688],0
d3,1,0.268919,1.222254,[438 193] ; [7 1],[439.42879499 191.57120501] ; [5.57120501 2.42879499],0
p5,1,0.273133,1.200946,[ 88 539] ; [2 5],[ 89.00630915 537.99369085] ; [0.99369085 6.00630915],0
a4,1,0.305403,1.05045,[280 351] ; [5 3],[281.43192488 349.56807512] ; [3.56807512 4.43192488],0
s3,1,0.325823,0.965429,[358 262] ; [6 2],[359.36305732 260.63694268] ; [4.63694268 3.36305732],0
b5,1,0.343109,0.898782,[369 263] ; [6 2],[370.3125 261.6875] ; [4.6875 3.3125],0
d1,1,0.392848,0.730109,[380 252] ; [6 2],[381.175 250.825] ; [4.825 3.175],0
v2,1,0.510455,0.433135,[356 246] ; [5 2],[356.85057471 245.14942529] ; [4.14942529 2.85057471],0
p4,1,0.544554,0.367164,[407 222] ; [6 2],[407.81318681 221.18681319] ; [5.18681319 2.81318681],0
s2,1,0.572761,0.318085,[328 297] ; [5 3],[328.79146919 296.20853081] ; [4.20853081 3.79146919],0
p8,1,0.591187,0.288495,[370 253] ; [4 4],[369.25832013 253.74167987] ; [4.74167987 3.25832013],0
d5,1,0.682456,0.167374,[516 114] ; [7 1],[516.44200627 113.55799373] ; [6.55799373 1.44200627],0
p7,1,0.712799,0.135497,[424 191] ; [6 2],[424.47833066 190.52166934] ; [5.52166934 2.47833066],0
n4,1,0.723452,0.125209,[508 124] ; [6 1],[508.36932707 123.63067293] ; [5.63067293 1.36932707],0
r1,1,0.732142,0.117154,[506 122] ; [6 1],[506.35590551 121.64409449] ; [5.64409449 1.35590551],0
d4,1,0.736804,0.112956,[523 107] ; [7 1],[523.35423197 106.64576803] ; [6.64576803 1.35423197],0
a6,1,0.751912,0.099931,[440 190] ; [6 2],[440.40752351 189.59247649] ; [5.59247649 2.40752351],0
p3,1,0.794993,0.067513,[344 286] ; [4 4],[343.63636364 286.36363636] ; [4.36363636 3.63636364],0
p12,1,0.816349,0.053937,[ 63 566] ; [1 7],[ 63.19623234 565.80376766] ; [0.80376766 7.19623234],0
b4,1,0.821416,0.050951,[370 262] ; [5 3],[370.3125 261.6875] ; [4.6875 3.3125],0
s5,1,0.886802,0.020264,[214 396] ; [3 5],[214.19093851 395.80906149] ; [2.80906149 5.19093851],0
a7,1,0.902087,0.015135,[461 170] ; [6 2],[461.15336463 169.84663537] ; [5.84663537 2.15336463],0
p6,1,0.974981,0.000984,[237 386] ; [3 5],[236.95721078 386.04278922] ; [3.04278922 4.95721078],0
p2,1,0.995966,2.6e-05,[550  79] ; [7 1],[550.00470958  78.99529042] ; [6.99529042 1.00470958],0
