Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,240.445861,[31 72] ; [609  57],[85.72171651 17.27828349] ; [554.27828349 111.72171651],1
p11,1,0.0,35.014575,[62 42] ; [563 106],[84.08796895 19.91203105] ; [540.91203105 128.08796895],1
b1,1,0.000169,14.146108,[56 48] ; [232 437],[38.74773609 65.25226391] ; [249.25226391 419.74773609],1
p3,1,0.000526,12.021821,[37 66] ; [363 306],[53.36787565 49.63212435] ; [346.63212435 322.36787565],1
p8,1,0.001626,9.930544,[44 60] ; [388 272],[58.80628272 45.19371728] ; [373.19371728 286.80628272],0
p5,1,0.00203,9.52222,[  3 101] ; [ 90 578],[12.52849741 91.47150259] ; [ 80.47150259 587.52849741],0
p12,1,0.006085,7.524961,[  1 102] ; [ 58 609],[ 7.89220779 95.10779221] ; [ 51.10779221 615.89220779],0
p4,1,0.008057,7.020752,[54 50] ; [436 231],[66.09597925 37.90402075] ; [423.90402075 243.09597925],0
p6,1,0.012197,6.282064,[28 73] ; [270 392],[39.44692005 61.55307995] ; [258.55307995 403.44692005],0
p7,1,0.034321,4.478658,[61 42] ; [457 199],[70.29512516 32.70487484] ; [447.70487484 208.29512516],0
p1,1,0.685656,0.163828,[ 8 95] ; [ 60 608],[ 9.0843061 93.9156939] ; [ 58.9156939 609.0843061],0
