Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.136641,2.215385,[ 3 10] ; [3 2],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
d1,1,0.19043,1.714286,[15  1] ; [6 2],[14.  2.] ; [7. 1.],0
p2,1,0.317311,1.0,[11  5] ; [7 1],[12.  4.] ; [6. 2.],0
d2,1,0.438578,0.6,[14  2] ; [6 2],[13.33333333  2.66666667] ; [6.66666667 1.33333333],0
p7,1,0.47191,0.5175,[9 6] ; [6 2],[9.7826087 5.2173913] ; [5.2173913 2.7826087],0
p12,1,0.477197,0.505263,[ 4 12] ; [1 7],[ 3.33333333 12.66666667] ; [1.66666667 6.33333333],0
a4,1,0.525358,0.403361,[12  4] ; [5 3],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
s2,1,0.525358,0.403361,[12  4] ; [5 3],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
p3,1,0.558185,0.342857,[10  6] ; [4 4],[9.33333333 6.66666667] ; [4.66666667 3.33333333],0
s5,1,0.665362,0.187075,[ 4 10] ; [3 5],[4.45454545 9.54545455] ; [2.54545455 5.45454545],0
d3,1,0.698535,0.15,[13  3] ; [7 1],[13.33333333  2.66666667] ; [6.66666667 1.33333333],0
b3,1,0.722283,0.126316,[13  3] ; [6 2],[12.66666667  3.33333333] ; [6.33333333 1.66666667],0
s8,1,0.722283,0.126316,[13  3] ; [6 2],[12.66666667  3.33333333] ; [6.33333333 1.66666667],0
s3,1,0.722283,0.126316,[13  3] ; [6 2],[12.66666667  3.33333333] ; [6.33333333 1.66666667],0
b2,1,0.722283,0.126316,[13  3] ; [6 2],[12.66666667  3.33333333] ; [6.33333333 1.66666667],0
a1,1,0.722283,0.126316,[ 3 13] ; [2 6],[ 3.33333333 12.66666667] ; [1.66666667 6.33333333],0
a7,1,0.750824,0.10084,[11  5] ; [6 2],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
p4,1,0.750824,0.10084,[11  5] ; [6 2],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
b5,1,0.750824,0.10084,[11  5] ; [6 2],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
u1,1,0.769698,0.085714,[7 9] ; [3 5],[6.66666667 9.33333333] ; [3.33333333 4.66666667],0
b4,1,0.769698,0.085714,[9 7] ; [5 3],[9.33333333 6.66666667] ; [4.66666667 3.33333333],0
p6,1,0.769698,0.085714,[7 9] ; [3 5],[6.66666667 9.33333333] ; [3.33333333 4.66666667],0
p8,1,0.772059,0.083916,[9 7] ; [4 4],[8.66666667 7.33333333] ; [4.33333333 3.66666667],0
a2,1,0.772059,0.083916,[9 7] ; [4 4],[8.66666667 7.33333333] ; [4.33333333 3.66666667],0
v2,1,0.786648,0.07326,[10  3] ; [5 2],[9.75 3.25] ; [5.25 1.75],0
p10,1,0.794935,0.067552,[13  3] ; [6 1],[13.2173913  2.7826087] ; [5.7826087 1.2173913],0
p5,1,0.823261,0.049887,[ 5 10] ; [2 5],[ 4.77272727 10.22727273] ; [2.22727273 4.77272727],0
v3,1,0.864591,0.029082,[9 3] ; [5 2],[8.84210526 3.15789474] ; [5.15789474 1.84210526],0
n4,1,0.906855,0.01369,[14  2] ; [6 1],[13.91304348  2.08695652] ; [6.08695652 0.91304348],0
r1,1,0.906855,0.01369,[14  2] ; [6 1],[13.91304348  2.08695652] ; [6.08695652 0.91304348],0
s7,1,1.0,0.0,[12  4] ; [6 2],[12.  4.] ; [6. 2.],0
a6,1,1.0,0.0,[12  4] ; [6 2],[12.  4.] ; [6. 2.],0
d5,1,1.0,0.0,[14  2] ; [7 1],[14.  2.] ; [7. 1.],0
