Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.071804,3.241297,[30 20] ; [21 29],[25.5 24.5] ; [25.5 24.5],0
p6,1,0.129433,2.299287,[28 80] ; [20 94],[23.35135135 84.64864865] ; [24.64864865 89.35135135],0
s8,1,0.205895,1.600059,[26 82] ; [20 96],[22.17857143 85.82142857] ; [23.82142857 92.17857143],0
p7,1,0.233557,1.419067,[48 62] ; [42 75],[43.6123348 66.3876652] ; [46.3876652 70.6123348],0
a7,1,0.250941,1.318057,[59 52] ; [71 46],[63.28947368 47.71052632] ; [66.71052632 50.28947368],0
n4,1,0.262452,1.255778,[74 37] ; [69 47],[69.92511013 41.07488987] ; [73.07488987 42.92511013],0
v4,1,0.368779,0.807776,[88 22] ; [87 29],[85.17699115 24.82300885] ; [89.82300885 26.17699115],0
a6,1,0.402027,0.702254,[55 55] ; [65 52],[58.14977974 51.85022026] ; [61.85022026 55.14977974],0
u4,1,0.418988,0.653152,[  5 106] ; [  3 115],[  3.87772926 107.12227074] ; [  4.12227074 113.87772926],0
s5,1,0.433155,0.614349,[20 86] ; [17 97],[17.82727273 88.17272727] ; [19.17272727 94.82727273],0
b5,1,0.441149,0.593292,[75 36] ; [74 44],[72.22270742 38.77729258] ; [76.77729258 41.22270742],0
p2,1,0.463335,0.537826,[59 52] ; [57 61],[56.22707424 54.77292576] ; [59.77292576 58.22707424],0
n3,1,0.467846,0.527059,[28 17] ; [28 23],[26.25 18.75] ; [29.75 21.25],0
d3,1,0.492158,0.471805,[58 52] ; [67 50],[60.57268722 49.42731278] ; [64.42731278 52.57268722],0
r3,1,0.496171,0.463116,[85 26] ; [85 32],[82.76315789 28.23684211] ; [87.23684211 29.76315789],0
b4,1,0.509943,0.434184,[65 46] ; [64 54],[62.52838428 48.47161572] ; [66.47161572 51.52838428],0
s6,1,0.524519,0.404998,[53 55] ; [52 64],[50.625 57.375] ; [54.375 61.625],0
p12,1,0.525584,0.402922,[  2 109] ; [  1 117],[  1.45414847 109.54585153] ; [  1.54585153 116.45414847],0
u1,1,0.525746,0.402607,[12 99] ; [ 16 102],[13.5720524 97.4279476] ; [ 14.4279476 103.5720524],0
