Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.122628,2.38343,[78 39] ; [142 102],[71.30193906 45.69806094] ; [148.69806094  95.30193906],0
p8,1,0.140346,2.174162,[43 72] ; [ 71 169],[36.92957746 78.07042254] ; [ 77.07042254 162.92957746],0
u3,1,0.143834,2.136456,[16 29] ; [43 45],[19.96240602 25.03759398] ; [39.03759398 48.96240602],0
r2,1,0.152205,2.05001,[105   8] ; [211  29],[101.15580737  11.84419263] ; [214.84419263  25.15580737],0
d3,1,0.170862,1.875366,[83 34] ; [154  88],[77.23955432 39.76044568] ; [159.76044568  82.23955432],0
a7,1,0.174789,1.841384,[86 30] ; [163  80],[80.45682451 35.54317549] ; [168.54317549  74.45682451],0
p9,1,0.179428,1.802353,[74 38] ; [137  97],[68.30057803 43.69942197] ; [142.69942197  91.30057803],0
a1,1,0.180268,1.795417,[  4 113] ; [ 17 228],[  6.78729282 110.21270718] ; [ 14.21270718 230.78729282],0
r3,1,0.183748,1.76705,[98 17] ; [192  50],[93.41736695 21.58263305] ; [196.58263305  45.41736695],0
r4,1,0.200583,1.638123,[91 26] ; [175  70],[85.97237569 31.02762431] ; [180.02762431  64.97237569],0
v2,1,0.255054,1.295406,[54 55] ; [101 134],[49.11337209 59.88662791] ; [105.88662791 129.11337209],0
p3,1,0.359333,0.840224,[36 80] ; [ 87 155],[39.8547486 76.1452514] ; [ 83.1452514 158.8547486],0
d1,1,0.382513,0.762609,[64 53] ; [122 123],[60.1160221 56.8839779] ; [125.8839779 119.1160221],0
s7,1,0.431773,0.618049,[39 71] ; [ 89 134],[42.28228228 67.71771772] ; [ 85.71771772 137.28228228],0
n1,1,0.488862,0.47903,[15 29] ; [39 58],[16.85106383 27.14893617] ; [37.14893617 59.85106383],0
u1,1,0.489826,0.476909,[21 96] ; [ 37 208],[18.74585635 98.25414365] ; [ 39.25414365 205.74585635],0
p10,1,0.497884,0.459443,[62 50] ; [122 115],[59.0487106 52.9512894] ; [124.9512894 112.0487106],0
d2,1,0.513563,0.426801,[53 64] ; [119 124],[55.9 61.1] ; [116.1 126.9],0
u2,1,0.514538,0.424828,[17 28] ; [38 49],[18.75 26.25] ; [36.25 50.75],0
