Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.093584,2.811613,[256 478] ; [3 1],[257.59620596 476.40379404] ; [1.40379404 2.59620596],0
p6,1,0.113215,2.508756,[263 454] ; [3 1],[264.52427184 452.47572816] ; [1.47572816 2.52427184],0
b4,1,0.162654,1.949374,[436 298] ; [1 3],[434.63143631 299.36856369] ; [2.36856369 1.63143631],0
s8,1,0.206868,1.593209,[317 410] ; [3 1],[318.24897401 408.75102599] ; [1.75102599 2.24897401],0
d2,1,0.246407,1.34356,[336 394] ; [3 1],[337.15258856 392.84741144] ; [1.84741144 2.15258856],0
p1,1,0.24969,1.325039,[ 63 663] ; [1 3],[ 63.64931507 662.35068493] ; [0.35068493 3.64931507],0
a8,1,0.325471,0.966832,[ 92 579] ; [1 2],[ 92.58605341 578.41394659] ; [0.41394659 2.58605341],0
v1,1,0.403606,0.697558,[386 327] ; [3 1],[386.82984658 326.17015342] ; [2.17015342 1.82984658],0
a6,1,0.438223,0.60093,[498 233] ; [2 2],[497.27891156 233.72108844] ; [2.72108844 1.27891156],0
p8,1,0.443449,0.587341,[401 316] ; [3 1],[401.75866852 315.24133148] ; [2.24133148 1.75866852],0
p9,1,0.457352,0.552368,[631  91] ; [3 1],[630.50688705  91.49311295] ; [3.49311295 0.50688705],0
d3,1,0.460876,0.543766,[493 239] ; [2 2],[492.30978261 239.69021739] ; [2.69021739 1.30978261],0
d1,1,0.466999,0.529067,[418 316] ; [3 1],[418.71815718 315.28184282] ; [2.28184282 1.71815718],0
p7,1,0.496375,0.462677,[469 240] ; [2 2],[468.35764376 240.64235624] ; [2.64235624 1.35764376],0
p2,1,0.551797,0.354108,[620 105] ; [3 1],[619.58161866 105.41838134] ; [3.41838134 0.58161866],0
b2,1,0.595662,0.281588,[170 288] ; [2 2],[170.51082251 287.48917749] ; [1.48917749 2.51082251],0
b3,1,0.595662,0.281588,[170 288] ; [2 2],[170.51082251 287.48917749] ; [1.48917749 2.51082251],0
u1,1,0.641167,0.217219,[120 614] ; [1 3],[120.34417344 613.65582656] ; [0.65582656 3.34417344],0
s5,1,0.722925,0.125707,[236 471] ; [1 3],[235.66666667 471.33333333] ; [1.33333333 2.66666667],0
b5,1,0.72822,0.120753,[430 304] ; [2 2],[429.65853659 304.34146341] ; [2.34146341 1.65853659],0
d4,1,0.750353,0.101235,[593 137] ; [3 1],[592.7520436 137.2479564] ; [3.2479564 0.7520436],0
v2,1,0.768378,0.086729,[404 301] ; [2 2],[403.70944993 301.29055007] ; [2.29055007 1.70944993],0
a4,1,0.776534,0.080564,[314 417] ; [2 2],[314.28027211 416.71972789] ; [1.71972789 2.28027211],0
a3,1,0.839207,0.041172,[515 217] ; [3 1],[515.18478261 216.81521739] ; [2.81521739 1.18478261],0
a2,1,0.855111,0.033343,[156 578] ; [1 3],[156.14905149 577.85094851] ; [0.85094851 3.14905149],0
a7,1,0.855831,0.033009,[518 213] ; [3 1],[518.16462585 212.83537415] ; [2.83537415 1.16462585],0
p3,1,0.995628,3e-05,[365 363] ; [2 2],[364.99453552 363.00546448] ; [2.00546448 1.99453552],0
