Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.008027,7.027461,[ 63 110] ; [9 3],[ 67.32972973 105.67027027] ; [4.67027027 7.32972973],0
b3,1,0.008027,7.027461,[ 63 110] ; [9 3],[ 67.32972973 105.67027027] ; [4.67027027 7.32972973],0
d2,1,0.009709,6.687466,[150 129] ; [11  1],[154.36082474 124.63917526] ; [6.63917526 5.36082474],0
s2,1,0.013929,6.047084,[154 122] ; [11  1],[158.125 117.875] ; [6.875 5.125],0
p2,1,0.02636,4.932241,[230  46] ; [7 5],[227.125  48.875] ; [9.875 2.125],0
s8,1,0.026814,4.90273,[141 137] ; [10  2],[144.75172414 133.24827586] ; [6.24827586 5.75172414],0
s3,1,0.031681,4.615654,[167 107] ; [11  1],[170.53146853 103.46853147] ; [7.46853147 4.53146853],0
p12,1,0.039597,4.235055,[ 22 255] ; [3 9],[ 23.96193772 253.03806228] ; [ 1.03806228 10.96193772],0
u1,1,0.039664,4.232209,[ 50 229] ; [5 7],[ 52.73195876 226.26804124] ; [2.26804124 9.73195876],0
s7,1,0.050809,3.814555,[145 120] ; [10  2],[148.28519856 116.71480144] ; [6.71480144 5.28519856],0
a2,1,0.063927,3.432443,[ 72 207] ; [6 6],[ 74.78350515 204.21649485] ; [3.21649485 8.78350515],0
p7,1,0.079306,3.079064,[192  81] ; [5 6],[189.36971831  83.63028169] ; [7.63028169 3.36971831],0
a4,1,0.092125,2.836841,[140 139] ; [9 3],[142.8556701 136.1443299] ; [6.1443299 5.8556701],0
s6,1,0.237388,1.396038,[181  89] ; [10  2],[182.87234043  87.12765957] ; [8.12765957 3.87234043],0
p6,1,0.257292,1.283267,[115 160] ; [7 5],[116.8989547 158.1010453] ; [5.1010453 6.8989547],0
s5,1,0.280243,1.16591,[ 98 169] ; [2 8],[ 96.3898917 170.6101083] ; [3.6101083 6.3898917],0
v2,1,0.280437,1.16497,[139 125] ; [7 3],[140.67153285 123.32846715] ; [5.32846715 4.67153285],0
n3,1,0.298593,1.080467,[40 14] ; [2 2],[39.10344828 14.89655172] ; [2.89655172 1.10344828],0
d5,1,0.299831,1.074944,[220  57] ; [11  1],[221.4083045  55.5916955] ; [9.5916955 2.4083045],0
r1,1,0.299831,1.074944,[220  57] ; [11  1],[221.4083045  55.5916955] ; [9.5916955 2.4083045],0
b4,1,0.306512,1.045648,[158 121] ; [5 7],[156.27835052 122.72164948] ; [6.72164948 5.27835052],0
n4,1,0.315749,1.006473,[223  56] ; [11  1],[224.35051546  54.64948454] ; [9.64948454 2.35051546],0
n2,1,0.332532,0.939012,[40 15] ; [2 2],[39.15254237 15.84745763] ; [2.84745763 1.15254237],0
p5,1,0.338949,0.914404,[ 41 235] ; [3 9],[ 42.16666667 233.83333333] ; [ 1.83333333 10.16666667],0
v1,1,0.349186,0.876413,[148 121] ; [7 3],[149.44444444 119.55555556] ; [5.55555556 4.44444444],0
n1,1,0.370488,0.802027,[28 26] ; [3 1],[28.86206897 25.13793103] ; [2.13793103 1.86206897],0
n6,1,0.373579,0.791726,[226  51] ; [11  1],[227.15916955  49.84083045] ; [9.84083045 2.15916955],0
n5,1,0.376048,0.783582,[227  51] ; [11  1],[228.15172414  49.84827586] ; [9.84827586 2.15172414],0
s1,1,0.402513,0.700807,[ 10 267] ; [ 1 11],[ 10.5432526 266.4567474] ; [ 0.4567474 11.5432526],0
p1,1,0.403882,0.696737,[ 26 251] ; [ 2 10],[ 26.83737024 250.16262976] ; [ 1.16262976 10.83737024],0
s4,1,0.477315,0.504992,[ 44 232] ; [ 1 11],[ 43.125 232.875] ; [ 1.875 10.125],0
p8,1,0.478675,0.50188,[156 121] ; [8 4],[157.19031142 119.80968858] ; [6.80968858 5.19031142],0
p4,1,0.485449,0.486597,[182  97] ; [9 3],[183.12371134  95.87628866] ; [7.87628866 4.12371134],0
v3,1,0.511428,0.431143,[104 166] ; [4 4],[104.89208633 165.10791367] ; [3.10791367 4.89208633],0
u2,1,0.585329,0.297698,[41 19] ; [1 1],[40.64516129 19.35483871] ; [1.35483871 0.64516129],0
p3,1,0.589404,0.291276,[163 114] ; [8 4],[163.89965398 113.10034602] ; [7.10034602 4.89965398],0
u3,1,0.624184,0.240031,[40 20] ; [1 1],[39.67741935 20.32258065] ; [1.32258065 0.67741935],0
a5,1,0.630073,0.231962,[216  63] ; [10  2],[216.68041237  62.31958763] ; [9.31958763 2.68041237],0
a3,1,0.684234,0.165399,[218  60] ; [10  2],[218.56551724  59.43448276] ; [9.43448276 2.56551724],0
a8,1,0.699412,0.149085,[ 34 226] ; [ 1 10],[ 33.57933579 226.42066421] ; [1.42066421 9.57933579],0
b5,1,0.737472,0.112361,[149 130] ; [7 5],[149.56701031 129.43298969] ; [6.43298969 5.56701031],0
p11,1,0.773494,0.082833,[219  60] ; [9 3],[218.59793814  60.40206186] ; [9.40206186 2.59793814],0
p9,1,0.844172,0.038636,[250  28] ; [11  1],[250.2  27.8] ; [10.8  1.2],0
d3,1,0.844946,0.038248,[177 100] ; [8 4],[177.3183391  99.6816609] ; [7.6816609 4.3183391],0
v4,1,0.846697,0.037378,[257  19] ; [11  1],[256.83333333  19.16666667] ; [11.16666667  0.83333333],0
a6,1,0.891611,0.018568,[180  98] ; [8 4],[180.22068966  97.77931034] ; [7.77931034 4.22068966],0
a7,1,0.951374,0.003719,[187  90] ; [8 4],[186.90311419  90.09688581] ; [8.09688581 3.90311419],0
a1,1,0.955082,0.003173,[ 22 257] ; [ 1 11],[ 22.05154639 256.94845361] ; [ 0.94845361 11.05154639],0
