Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8.5e-05,15.435492,[87 27] ; [86 76],[71.45652174 42.54347826] ; [101.54347826  60.45652174],1
b1,1,0.001748,9.797435,[39 79] ; [84 78],[51.83571429 66.16428571] ; [71.16428571 90.83571429],0
p2,1,0.099257,2.717443,[101  17] ; [126  36],[95.66428571 22.33571429] ; [131.33571429  30.66428571],0
p11,1,0.100858,2.69192,[92 26] ; [112  50],[85.97142857 32.02857143] ; [118.02857143  43.97142857],0
p4,1,0.119478,2.424152,[71 47] ; [112  50],[77.12142857 40.87857143] ; [105.87857143  56.12142857],0
p5,1,0.725343,0.123431,[  9 109] ; [ 14 145],[  9.79783394 108.20216606] ; [ 13.20216606 145.79783394],0
p9,1,0.757346,0.095461,[97 21] ; [130  31],[96.00716846 21.99283154] ; [130.99283154  30.00716846],0
p10,1,0.861193,0.030575,[89 28] ; [121  40],[88.38129496 28.61870504] ; [121.61870504  39.38129496],0
p12,1,0.862837,0.029848,[  6 112] ; [  9 153],[  6.32142857 111.67857143] ; [  8.67857143 153.32142857],0
p1,1,0.876649,0.024093,[ 11 107] ; [ 16 146],[ 11.37857143 106.62142857] ; [ 15.62142857 146.37857143],0
