Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.002713,8.991365,[ 34 226] ; [3 2],[ 36.30188679 223.69811321] ; [0.69811321 4.30188679],0
b2,1,0.028039,4.825673,[ 63 110] ; [6 2],[ 65.95027624 107.04972376] ; [3.04972376 4.95027624],0
b3,1,0.028039,4.825673,[ 63 110] ; [6 2],[ 65.95027624 107.04972376] ; [3.04972376 4.95027624],0
v3,1,0.078464,3.096442,[104 166] ; [5 2],[106.24548736 163.75451264] ; [2.75451264 4.24548736],0
a1,1,0.084682,2.972675,[ 22 257] ; [2 6],[ 23.33101045 255.66898955] ; [0.66898955 7.33101045],0
a2,1,0.126236,2.338187,[ 72 207] ; [4 4],[ 73.8815331 205.1184669] ; [2.1184669 5.8815331],0
u1,1,0.159393,1.979971,[ 50 229] ; [3 5],[ 51.52264808 227.47735192] ; [1.47735192 6.52264808],0
d3,1,0.168869,1.892951,[177 100] ; [7 1],[178.83508772  98.16491228] ; [5.16491228 2.83508772],0
s8,1,0.175513,1.835214,[141 137] ; [6 2],[142.88811189 135.11188811] ; [4.11188811 3.88811189],0
b5,1,0.226918,1.460078,[149 130] ; [6 2],[150.67944251 128.32055749] ; [4.32055749 3.67944251],0
d2,1,0.234448,1.413671,[150 129] ; [6 2],[151.65156794 127.34843206] ; [4.34843206 3.65156794],0
s7,1,0.25559,1.292489,[145 120] ; [6 2],[146.57509158 118.42490842] ; [4.42490842 3.57509158],0
p5,1,0.318095,0.996762,[ 41 235] ; [2 5],[ 41.93639576 234.06360424] ; [1.06360424 5.93639576],0
v2,1,0.325801,0.965517,[139 125] ; [5 2],[140.2804428 123.7195572] ; [3.7195572 3.2804428],0
d1,1,0.337738,0.918999,[162 117] ; [6 2],[163.31707317 115.68292683] ; [4.68292683 3.31707317],0
s3,1,0.421116,0.647198,[167 107] ; [6 2],[168.09219858 105.90780142] ; [4.90780142 3.09219858],0
a4,1,0.491942,0.472277,[140 139] ; [5 3],[140.95818815 138.04181185] ; [4.04181185 3.95818815],0
p11,1,0.539307,0.376827,[219  60] ; [7 1],[219.70034843  59.29965157] ; [6.29965157 1.70034843],0
a6,1,0.548835,0.359408,[180  98] ; [6 2],[180.7972028  97.2027972] ; [5.2027972 2.7972028],0
p4,1,0.566645,0.328328,[182  97] ; [6 2],[182.75958188  96.24041812] ; [5.24041812 2.75958188],0
d5,1,0.575853,0.312988,[220  57] ; [7 1],[220.62807018  56.37192982] ; [6.37192982 1.62807018],0
p3,1,0.616569,0.25072,[163 114] ; [4 4],[162.3122807 114.6877193] ; [4.6877193 3.3122807],0
p12,1,0.640786,0.217715,[ 22 255] ; [1 7],[ 22.35438596 254.64561404] ; [0.64561404 7.35438596],0
a7,1,0.655049,0.199593,[187  90] ; [6 2],[187.58245614  89.41754386] ; [5.41754386 2.58245614],0
d4,1,0.672573,0.178607,[227  51] ; [7 1],[227.45454545  50.54545455] ; [6.54545455 1.45454545],0
r1,1,0.68341,0.166312,[220  57] ; [6 1],[220.42957746  56.57042254] ; [5.57042254 1.42957746],0
n4,1,0.705066,0.143255,[223  56] ; [6 1],[223.3951049  55.6048951] ; [5.6048951 1.3951049],0
s2,1,0.706543,0.141754,[154 122] ; [5 3],[154.52112676 121.47887324] ; [4.47887324 3.52112676],0
p8,1,0.722576,0.126038,[156 121] ; [4 4],[155.50877193 121.49122807] ; [4.49122807 3.50877193],0
b4,1,0.741086,0.109174,[158 121] ; [5 3],[158.45644599 120.54355401] ; [4.54355401 3.45644599],0
p2,1,0.754565,0.097735,[230  46] ; [7 1],[230.32394366  45.67605634] ; [6.67605634 1.32394366],0
p7,1,0.775337,0.081454,[192  81] ; [6 2],[192.36298932  80.63701068] ; [5.63701068 2.36298932],0
p6,1,0.807086,0.059627,[115 160] ; [3 5],[114.66431095 160.33568905] ; [3.33568905 4.66431095],0
s5,1,0.9633,0.002117,[ 98 169] ; [3 5],[ 98.06181818 168.93818182] ; [2.93818182 5.06181818],0
