Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,5.4e-05,16.303627,[153 110] ; [255 335],[125.79601407 137.20398593] ; [282.20398593 307.79601407],1
p7,1,0.000848,11.132355,[185  74] ; [339 232],[163.51325301  95.48674699] ; [360.48674699 210.51325301],1
n1,1,0.001295,10.349964,[26 21] ; [ 44 105],[16.78571429 30.21428571] ; [53.21428571 95.78571429],0
a7,1,0.002081,9.476418,[170  95] ; [440 151],[188.84345794  76.15654206] ; [421.15654206 169.84345794],0
p6,1,0.005455,7.722182,[110 149] ; [189 392],[ 92.19166667 166.80833333] ; [206.80833333 374.19166667],0
a1,1,0.00601,7.547241,[ 19 247] ; [ 18 576],[ 11.44418605 254.55581395] ; [ 25.55581395 568.44418605],0
n5,1,0.010571,6.536086,[212  54] ; [417 167],[196.84  69.16] ; [432.16 151.84],0
n4,1,0.010946,6.47412,[217  49] ; [434 156],[202.29672897  63.70327103] ; [448.70327103 141.29672897],0
a4,1,0.012322,6.263966,[131 134] ; [238 353],[114.23481308 150.76518692] ; [254.76518692 336.23481308],0
p4,1,0.016183,5.782894,[169  95] ; [323 262],[152.98939929 111.01060071] ; [339.01060071 245.98939929],0
p8,1,0.017521,5.643455,[155 105] ; [295 286],[139.12009512 120.87990488] ; [310.87990488 270.12009512],0
p5,1,0.020526,5.366561,[ 41 222] ; [ 59 528],[ 30.94117647 232.05882353] ; [ 69.05882353 517.94117647],0
a5,1,0.022222,5.228321,[205  61] ; [412 181],[191.06169965  74.93830035] ; [425.93830035 167.06169965],0
s8,1,0.024299,5.073131,[126 137] ; [234 356],[110.996483 152.003517] ; [249.003517 340.996483],0
a3,1,0.027892,4.83472,[198  67] ; [396 193],[184.32084309  80.67915691] ; [409.67915691 179.32084309],0
d3,1,0.043834,4.062944,[168  98] ; [415 177],[180.74358974  85.25641026] ; [402.25641026 189.74358974],0
r2,1,0.047217,3.937657,[238  24] ; [551  32],[244.63668639  17.36331361] ; [544.36331361  38.63668639],0
u3,1,0.050835,3.813685,[44 24] ; [100  96],[37.09090909 30.90909091] ; [106.90909091  89.09090909],0
n6,1,0.075796,3.152818,[213  53] ; [497  88],[221.92714454  44.07285546] ; [488.07285546  96.92714454],0
d2,1,0.093636,2.810725,[135 131] ; [263 327],[123.67757009 142.32242991] ; [274.32242991 315.67757009],0
b5,1,0.096775,2.757907,[147 119] ; [364 230],[158.05348837 107.94651163] ; [352.94651163 241.05348837],0
u2,1,0.098246,2.733784,[43 24] ; [103  93],[37.19391635 29.80608365] ; [108.80608365  87.19391635],0
a2,1,0.1432,2.143229,[ 67 199] ; [123 471],[ 58.76744186 207.23255814] ; [131.23255814 462.76744186],0
s3,1,0.173881,1.849161,[151 109] ; [307 272],[141.93087008 118.06912992] ; [316.06912992 262.93087008],0
s4,1,0.201137,1.634098,[ 37 224] ; [104 483],[ 43.39740566 217.60259434] ; [ 97.60259434 489.39740566],0
a6,1,0.248982,1.329008,[173  92] ; [410 182],[180.27421237  84.72578763] ; [402.72578763 189.27421237],0
p10,1,0.298301,1.081773,[219  43] ; [469 113],[213.57345972  48.42654028] ; [474.42654028 107.57345972],0
p9,1,0.310384,1.029042,[217  45] ; [497  84],[221.90747331  40.09252669] ; [492.09252669  88.90747331],0
v1,1,0.324459,0.970886,[141 115] ; [297 281],[134.44604317 121.55395683] ; [303.55395683 274.44604317],0
d5,1,0.326588,0.962379,[204  61] ; [474 119],[209.40559441  55.59440559] ; [468.59440559 124.40559441],0
s7,1,0.346654,0.885669,[123 130] ; [256 312],[116.79293544 136.20706456] ; [262.20706456 305.79293544],0
s2,1,0.383869,0.758275,[133 129] ; [279 308],[127.14252061 134.85747939] ; [284.85747939 302.14252061],0
v2,1,0.524612,0.404817,[137 113] ; [326 244],[141.15853659 108.84146341] ; [321.84146341 248.15853659],0
n3,1,0.538822,0.377727,[35 12] ; [104  45],[33.33163265 13.66836735] ; [105.66836735  43.33163265],0
a8,1,0.6024,0.271392,[ 35 213] ; [ 68 465],[ 32.70678617 215.29321383] ; [ 70.29321383 462.70678617],0
b4,1,0.62458,0.239483,[152 114] ; [350 244],[155.26976744 110.73023256] ; [346.73023256 247.26976744],0
r4,1,0.731406,0.117825,[232  34] ; [523  71],[233.52325581  32.47674419] ; [521.47674419  72.52325581],0
