Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3e-05,17.445393,[379  57] ; [30 17],[369.20082816  66.79917184] ; [39.79917184  7.20082816],1
p9,1,9.2e-05,15.304176,[388  44] ; [33 14],[379.69102296  52.30897704] ; [41.30897704  5.69102296],1
p10,1,0.00063,11.685946,[381  51] ; [33 14],[373.37787056  58.62212944] ; [40.62212944  6.37787056],1
p7,1,0.002062,9.49325,[357  72] ; [29 16],[349.35443038  79.64556962] ; [36.64556962  8.35443038],0
p4,1,0.002177,9.393635,[325 110] ; [24 21],[316.28125 118.71875] ; [32.71875 12.28125],0
p3,1,0.150797,2.064169,[274 161] ; [24 22],[269.5010395 165.4989605] ; [28.4989605 17.5010395],0
p6,1,0.588263,0.293065,[210 220] ; [21 26],[208.23899371 221.76100629] ; [22.76100629 24.23899371],0
b1,1,0.728704,0.120305,[169 267] ; [17 30],[167.90062112 268.09937888] ; [18.09937888 28.90062112],0
p5,1,0.7689,0.086327,[ 76 360] ; [ 9 38],[ 76.72877847 359.27122153] ; [ 8.27122153 38.72877847],0
p1,1,0.78666,0.073252,[ 52 382] ; [ 5 42],[ 51.43035343 382.56964657] ; [ 5.56964657 41.43035343],0
p12,1,0.918353,0.010508,[ 44 389] ; [ 5 42],[ 44.20208333 388.79791667] ; [ 4.79791667 42.20208333],0
