Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,76.326014,[445 228] ; [ 54 126],[393.7010551 279.2989449] ; [105.2989449  74.7010551],1
p9,1,0.0,75.665444,[578 101] ; [99 80],[535.76107226 143.23892774] ; [141.23892774  37.76107226],1
p10,1,0.0,64.422978,[553 127] ; [96 87],[511.37891078 168.62108922] ; [137.62108922  45.37891078],1
p8,1,0.0,63.235012,[360 316] ; [ 38 148],[312.12064965 363.87935035] ; [ 85.87935035 100.12064965],1
p11,1,0.0,63.096989,[550 138] ; [95 91],[507.73455378 180.26544622] ; [137.26544622  48.73455378],1
p4,1,0.0,63.087113,[408 277] ; [ 49 135],[360.23590334 324.76409666] ; [96.76409666 87.23590334],1
p3,1,3e-06,21.890552,[325 362] ; [ 52 133],[297.01720183 389.98279817] ; [ 79.98279817 105.01720183],1
p6,1,3e-06,21.704502,[241 437] ; [ 32 151],[214.97560976 463.02439024] ; [ 58.02439024 124.97560976],1
b1,1,0.003551,8.500214,[252 436] ; [90 96],[269.2173913 418.7826087] ; [ 72.7826087 113.2173913],0
p1,1,0.089242,2.887991,[ 39 646] ; [ 17 169],[ 44.0413318 640.9586682] ; [ 11.9586682 174.0413318],0
p12,1,0.889648,0.019252,[ 35 649] ; [  9 176],[ 34.63291139 649.36708861] ; [  9.36708861 175.63291139],0
