Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.2e-05,19.197681,[258 112] ; [91 89],[234.78181818 135.21818182] ; [114.21818182  65.78181818],1
p5,1,7.6e-05,15.661905,[ 78 291] ; [ 14 167],[ 61.72363636 307.27636364] ; [ 30.27636364 150.72363636],1
p9,1,0.00085,11.128204,[335  36] ; [145  36],[322.60869565  48.39130435] ; [157.39130435  23.60869565],1
p12,1,0.001251,10.412772,[ 46 325] ; [  7 176],[ 35.49277978 335.50722022] ; [ 17.50722022 165.49277978],0
p10,1,0.002195,9.379208,[325  45] ; [140  40],[312.81818182  57.18181818] ; [152.18181818  27.81818182],0
p6,1,0.002623,9.052748,[196 173] ; [ 71 109],[179.45901639 189.54098361] ; [87.54098361 92.45901639],0
p7,1,0.006896,7.299883,[282  86] ; [119  62],[268.79417122  99.20582878] ; [132.20582878  48.79417122],0
p1,1,0.033072,4.542056,[ 46 323] ; [ 12 171],[ 38.77173913 330.22826087] ; [ 19.22826087 163.77173913],0
p11,1,0.053418,3.730809,[310  62] ; [140  43],[301.62162162  70.37837838] ; [148.37837838  34.62162162],0
p2,1,0.070526,3.270726,[336  34] ; [156  26],[329.7826087  40.2173913] ; [162.2173913  19.7826087],0
b1,1,0.117447,2.451035,[160 212] ; [ 66 117],[151.48108108 220.51891892] ; [ 74.51891892 108.48108108],0
