Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.122628,2.38343,[142 102] ; [78 39],[148.69806094  95.30193906] ; [71.30193906 45.69806094],0
p8,1,0.140346,2.174162,[ 71 169] ; [43 72],[ 77.07042254 162.92957746] ; [36.92957746 78.07042254],0
u3,1,0.143834,2.136456,[43 45] ; [16 29],[39.03759398 48.96240602] ; [19.96240602 25.03759398],0
r2,1,0.152205,2.05001,[211  29] ; [105   8],[214.84419263  25.15580737] ; [101.15580737  11.84419263],0
d3,1,0.170862,1.875366,[154  88] ; [83 34],[159.76044568  82.23955432] ; [77.23955432 39.76044568],0
a7,1,0.174789,1.841384,[163  80] ; [86 30],[168.54317549  74.45682451] ; [80.45682451 35.54317549],0
p9,1,0.179428,1.802353,[137  97] ; [74 38],[142.69942197  91.30057803] ; [68.30057803 43.69942197],0
a1,1,0.180268,1.795417,[ 17 228] ; [  4 113],[ 14.21270718 230.78729282] ; [  6.78729282 110.21270718],0
r3,1,0.183748,1.76705,[192  50] ; [98 17],[196.58263305  45.41736695] ; [93.41736695 21.58263305],0
r4,1,0.200583,1.638123,[175  70] ; [91 26],[180.02762431  64.97237569] ; [85.97237569 31.02762431],0
v2,1,0.255054,1.295406,[101 134] ; [54 55],[105.88662791 129.11337209] ; [49.11337209 59.88662791],0
p3,1,0.359333,0.840224,[ 87 155] ; [36 80],[ 83.1452514 158.8547486] ; [39.8547486 76.1452514],0
d1,1,0.382513,0.762609,[122 123] ; [64 53],[125.8839779 119.1160221] ; [60.1160221 56.8839779],0
s7,1,0.431773,0.618049,[ 89 134] ; [39 71],[ 85.71771772 137.28228228] ; [42.28228228 67.71771772],0
n1,1,0.488862,0.47903,[39 58] ; [15 29],[37.14893617 59.85106383] ; [16.85106383 27.14893617],0
u1,1,0.489826,0.476909,[ 37 208] ; [21 96],[ 39.25414365 205.74585635] ; [18.74585635 98.25414365],0
p10,1,0.497884,0.459443,[122 115] ; [62 50],[124.9512894 112.0487106] ; [59.0487106 52.9512894],0
d2,1,0.513563,0.426801,[119 124] ; [53 64],[116.1 126.9] ; [55.9 61.1],0
u2,1,0.514538,0.424828,[38 49] ; [17 28],[36.25 50.75] ; [18.75 26.25],0
v4,1,0.514721,0.424458,[203  40] ; [100  16],[205.09470752  37.90529248] ; [97.90529248 18.09470752],0
