Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.1e-05,19.349207,[88  4] ; [9 6],[83.40186916  8.59813084] ; [13.59813084  1.40186916],1
p9,1,0.001115,10.626653,[89  3] ; [12  4],[86.03703704  5.96296296] ; [14.96296296  1.03703704],0
p7,1,0.001746,9.799519,[76 14] ; [8 8],[71.32075472 18.67924528] ; [12.67924528  3.32075472],0
p8,1,0.086288,2.942288,[75 17] ; [10  6],[72.40740741 19.59259259] ; [12.59259259  3.40740741],0
p6,1,0.140017,2.177772,[57 33] ; [7 9],[54.33962264 35.66037736] ; [9.66037736 6.33962264],0
p3,1,0.140296,2.174709,[73 19] ; [10  6],[70.7037037 21.2962963] ; [12.2962963  3.7037037],0
p12,1,0.184255,1.762966,[26 66] ; [ 2 14],[23.85185185 68.14814815] ; [ 4.14814815 11.85185185],0
p1,1,0.384496,0.756278,[25 68] ; [ 6 10],[26.44954128 66.55045872] ; [ 4.55045872 11.44954128],0
p2,1,0.455261,0.557519,[81 11] ; [13  3],[80.07407407 11.92592593] ; [13.92592593  2.07407407],0
p4,1,0.934287,0.006798,[79 13] ; [13  2],[79.10280374 12.89719626] ; [12.89719626  2.10280374],0
b1,1,0.980048,0.000625,[41 52] ; [7 9],[40.95412844 52.04587156] ; [7.04587156 8.95412844],0
