Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,49.845611,[253  69] ; [77 87],[218.64197531 103.35802469] ; [111.35802469  52.64197531],1
p9,1,0.0,34.885217,[262  59] ; [92 71],[234.78099174  86.21900826] ; [119.21900826  43.78099174],1
b1,1,0.0,29.061053,[105 218] ; [98 72],[133. 190.] ; [ 70. 100.],1
p2,1,3e-06,21.870004,[242  80] ; [92 77],[219.03869654 102.96130346] ; [114.96130346  54.03869654],1
p12,1,0.007822,7.073877,[ 21 301] ; [  2 167],[ 15.08350305 306.91649695] ; [  7.91649695 161.08350305],0
p4,1,0.049163,3.869767,[142 180] ; [ 59 110],[131.81670061 190.18329939] ; [69.18329939 99.81670061],0
p1,1,0.149911,2.073157,[ 16 306] ; [ 14 156],[ 19.63414634 302.36585366] ; [ 10.36585366 159.63414634],0
p7,1,0.235681,1.406242,[133 183] ; [ 61 106],[126.92339545 189.07660455] ; [67.07660455 99.92339545],0
p3,1,0.271998,1.206644,[112 211] ; [ 50 118],[106.57026477 216.42973523] ; [ 55.42973523 112.57026477],0
p5,1,0.373882,0.790722,[ 17 301] ; [  6 163],[ 15.01848049 302.98151951] ; [  7.98151951 161.01848049],0
p6,1,0.838392,0.041596,[ 69 250] ; [ 35 133],[ 68.12320329 250.87679671] ; [ 35.87679671 132.12320329],0
