Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.9e-05,16.131718,[258  41] ; [312 110],[236.38002774  62.61997226] ; [333.61997226  88.38002774],1
p7,1,0.023971,5.09674,[261  35] ; [341  75],[250.26966292  45.73033708] ; [351.73033708  64.26966292],0
p6,1,0.053415,3.730882,[168 125] ; [210 210],[155.33520337 137.66479663] ; [222.66479663 197.33520337],0
p10,1,0.076515,3.137421,[268  29] ; [394  26],[274.21757322  22.78242678] ; [387.78242678  32.21757322],0
p5,1,0.24636,1.343827,[ 68 231] ; [ 81 341],[ 61.79056865 237.20943135] ; [ 87.20943135 334.79056865],0
b1,1,0.261842,1.258993,[119 180] ; [151 272],[111.81440443 187.18559557] ; [158.18559557 264.81440443],0
p11,1,0.429784,0.623408,[260  39] ; [376  47],[263.38504155  35.61495845] ; [372.61495845  50.38504155],0
p12,1,0.4743,0.511941,[ 40 258] ; [ 49 372],[ 36.88734353 261.11265647] ; [ 52.11265647 368.88734353],0
p1,1,0.49146,0.473328,[ 42 255] ; [ 52 368],[ 38.93723849 258.06276151] ; [ 55.06276151 364.93723849],0
p2,1,0.916198,0.011072,[274  24] ; [388  33],[274.37552156  23.62447844] ; [387.62447844  33.37552156],0
