Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.320742,0.98592,[11  2] ; [11  5],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
p2,1,0.320742,0.98592,[11  2] ; [11  5],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
b2,1,0.390447,0.737548,[12  1] ; [13  3],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
b3,1,0.390447,0.737548,[12  1] ; [13  3],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
s3,1,0.390447,0.737548,[12  1] ; [13  3],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
s8,1,0.390447,0.737548,[12  1] ; [13  3],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
p3,1,0.403755,0.697115,[10  3] ; [10  6],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
v3,1,0.422489,0.643382,[8 1] ; [9 3],[7.28571429 1.71428571] ; [9.71428571 2.28571429],0
p8,1,0.473701,0.51333,[9 4] ; [9 7],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
s2,1,0.524967,0.404125,[11  2] ; [12  4],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
s7,1,0.524967,0.404125,[11  2] ; [12  4],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
p6,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
p7,1,0.611179,0.258462,[9 4] ; [9 6],[8.35714286 4.64285714] ; [9.64285714 5.35714286],0
p5,1,0.65591,0.198529,[5 7] ; [ 5 10],[4.44444444 7.55555556] ; [5.55555556 9.44444444],0
a5,1,0.672452,0.178748,[12  1] ; [14  2],[11.65517241  1.34482759] ; [14.34482759  1.65517241],0
s6,1,0.672452,0.178748,[12  1] ; [14  2],[11.65517241  1.34482759] ; [14.34482759  1.65517241],0
s5,1,0.67844,0.171887,[4 7] ; [ 4 10],[3.52 7.48] ; [4.48 9.52],0
b5,1,0.684498,0.165106,[8 5] ; [11  5],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
v1,1,0.70386,0.144487,[9 1] ; [11  2],[8.69565217 1.30434783] ; [11.30434783  1.69565217],0
a8,1,0.707787,0.140498,[3 7] ; [ 3 10],[2.60869565 7.39130435] ; [3.39130435 9.60869565],0
p12,1,0.729571,0.119505,[4 9] ; [ 4 12],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
u1,1,0.773675,0.082697,[5 8] ; [7 9],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
a2,1,0.773675,0.082697,[8 5] ; [9 7],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
a1,1,0.774826,0.081835,[ 3 10] ; [ 3 13],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
d3,1,0.811414,0.056931,[11  2] ; [13  3],[10.75862069  2.24137931] ; [13.24137931  2.75862069],0
n4,1,0.822729,0.050192,[11  2] ; [14  2],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
r1,1,0.822729,0.050192,[11  2] ; [14  2],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
d5,1,0.822729,0.050192,[11  2] ; [14  2],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
d2,1,0.822729,0.050192,[11  2] ; [14  2],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
v2,1,0.859234,0.031453,[8 2] ; [10  3],[7.82608696 2.17391304] ; [10.17391304  2.82608696],0
d1,1,0.878842,0.023237,[12  1] ; [15  1],[12.10344828  0.89655172] ; [14.89655172  1.10344828],0
p1,1,0.878842,0.023237,[ 1 12] ; [ 1 15],[ 0.89655172 12.10344828] ; [ 1.10344828 14.89655172],0
s1,1,0.878842,0.023237,[ 1 12] ; [ 1 15],[ 0.89655172 12.10344828] ; [ 1.10344828 14.89655172],0
b4,1,0.897001,0.016758,[7 6] ; [9 7],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
b1,1,0.897001,0.016758,[7 6] ; [9 7],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
a6,1,0.904201,0.014486,[10  3] ; [12  4],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
a4,1,0.904201,0.014486,[10  3] ; [12  4],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
s4,1,0.916299,0.011045,[ 1 12] ; [ 1 14],[ 0.92857143 12.07142857] ; [ 1.07142857 13.92857143],0
a7,1,0.977797,0.000775,[9 4] ; [11  5],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
