Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.013843,6.058033,[ 15 318] ; [12 97],[ 20.34162896 312.65837104] ; [  6.65837104 102.34162896],0
p4,1,0.014745,5.946706,[165 169] ; [38 68],[154.09545455 179.90454545] ; [48.90454545 57.09545455],0
p1,1,0.020991,5.327579,[ 16 317] ; [12 97],[ 21.09502262 311.90497738] ; [  6.90497738 102.09502262],0
p7,1,0.106083,2.611628,[160 170] ; [41 63],[152.83410138 177.16589862] ; [48.16589862 55.83410138],0
p5,1,0.189975,1.717811,[ 17 316] ; [ 9 96],[ 19.76712329 313.23287671] ; [ 6.23287671 98.76712329],0
p9,1,0.217521,1.520649,[272  60] ; [94 14],[276.16363636  55.83636364] ; [89.83636364 18.16363636],0
b1,1,0.217755,1.519104,[119 215] ; [46 63],[124.40180587 209.59819413] ; [40.59819413 68.40180587],0
p6,1,0.526442,0.401255,[ 87 245] ; [25 83],[ 84.50909091 247.49090909] ; [27.49090909 80.50909091],0
p3,1,0.897948,0.016449,[126 208] ; [40 68],[125.43891403 208.56108597] ; [40.56108597 67.43891403],0
p11,1,0.996442,2e-05,[242  92] ; [79 30],[242.01805869  91.98194131] ; [78.98194131 30.01805869],0
